,navient_male,navient_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.2280748,-2.1016574,"('uninfluential', 'influential')",-0.44376326,-0.5497067,-1.335919,-1.325682,-0.010237
10,-1.9865345,-1.5930297,"('unsympathetic', 'sympathetic')",-0.8563036,-0.910528,-1.421419,-1.2517788,-0.1696402
1,-1.8732871,-2.0804672,"('unfriendly', 'friendly')",1.6010109,1.1064907,-0.1361381,-0.4869882,0.3508501
53,-1.7512122,-1.6379964,"('uncreative', 'creative')",0.35403422,0.2012476,-0.698589,-0.7183744,0.0197854
57,-1.5840186,-1.327846,"('unimaginative', 'imaginative')",-3.3622031,-3.2959943,-2.4731109,-2.3119202,-0.1611907
46,-1.5768735,-1.3165705,"('uncompetitive', 'competitive')",-1.1716264,-1.0926429,-1.3742499,-1.2046068,-0.1696431
0,-1.5201496,-1.6393315,"('unsociable', 'sociable')",-0.3387428,-0.45427698,-0.9294462,-1.0468042,0.117358
9,-1.4968814,-1.56271,"('unaffectionate', 'caring')",1.2762152,0.8918233,-0.1103331,-0.3354434,0.2251103
8,-1.4825748,-1.4410883,"('unaffectionate', 'affectionate')",0.75098854,0.4676196,-0.3657931,-0.4867344,0.1209413
63,-1.3425883,-1.0085267,"('unperceptive', 'insightful')",0.5357755,0.40844467,-0.4034064,-0.300041,-0.1033654
77,-1.1904321,-1.3627539,"('unmotivated', 'motivated')",-1.2825024,-1.1652077,-1.2364672,-1.2639809,0.0275137
66,-1.1519659,-1.246356,"('inactive', 'active')",-0.22717477,-0.45366654,-0.6895703,-0.8500113,0.160441
45,-1.1442425,-0.7163666,"('incompetent', 'competent')",-0.34826955,-0.32979897,-0.7462561,-0.5230828,-0.2231733
28,-1.1137116,-1.3029139,"('disloyal', 'loyal')",0.99887854,0.90515465,-0.0574165,-0.1988796,0.1414631
13,-1.1116613,-0.75063926,"('impolite', 'polite')",-1.028995,-0.81006444,-1.0703282,-0.7803519,-0.2899763
73,1.109102,0.8169847,"('helpless', 'self-reliant')",-2.7179346,-2.9394133,-0.8044163,-1.0612143,0.256798
43,-1.1026747,-0.9223419,"('irresponsible', 'responsible')",-0.03139264,0.027336055,-0.5670337,-0.4475029,-0.1195308
23,-1.0559698,-0.9033997,"('insincere', 'sincere')",6.0276904,5.68982,2.4858603,2.3932099,0.0926504
6,-1.0503331,-1.2518945,"('distant', 'open')",-0.12977333,-0.45771474,-0.5900533,-0.8548046,0.2647513
69,1.0478805,0.7600963,"('lazy', 'industrious')",-0.64974105,-0.4852005,0.1990697,0.1374479,0.0616218
61,-1.0390921,-1.0396631,"('illogical', 'logical')",0.3573044,0.18588832,-0.3408938,-0.4268874,0.0859936
24,-0.98464704,-0.9220973,"('dishonest', 'honest')",0.57136714,0.3397814,-0.2066399,-0.291158,0.0845181
44,0.9483091,0.73096114,"('prejudiced', 'unprejudiced')",-1.9422789,-1.866859,-0.4969849,-0.5679489,0.070964
48,-0.8677654,-1.0016124,"('unintelligent', 'intelligent')",0.668317,0.50075877,-0.0997242,-0.2504268,0.1507026
54,-0.84863573,-0.9218511,"('incapable', 'capable')",0.8080886,0.63090557,-0.0202736,-0.1454728,0.1251992
12,-0.8106705,-0.5574925,"('unsupportive', 'supportive')",-2.005427,-2.0640368,-1.4080486,-1.3107647,-0.0972839
72,-0.79604256,-0.6319958,"('unambitious', 'ambitious')",-0.5824935,-0.6917331,-0.689268,-0.6618645,-0.0274035
38,-0.79500043,-0.7375078,"('untruthful', 'truthful')",-0.21516211,-0.1677832,-0.5050813,-0.4526455,-0.0524358
84,0.78849554,0.48704484,"('inferior', 'superior')",1.1510116,0.98746896,0.9697536,0.7372569,0.2324967
21,-0.7591084,-0.5394686,"('immoral', 'moral')",-0.5851896,-0.46768928,-0.672149,-0.5035789,-0.1685701
32,-0.753362,-0.4692737,"('unkind', 'kind')",0.46294186,0.424357,-0.1452101,-0.0224583,-0.1227518
7,-0.7286263,-0.67410505,"('insensitive', 'sensitive')",0.4713747,0.29568428,-0.1286258,-0.1892104,0.0605846
55,-0.7273887,-0.45151427,"('incompetent', 'clever')",0.04563155,0.055083442,-0.3408786,-0.1982154,-0.1426632
74,-0.70623434,-0.3295061,"('undedicated', 'dedicated')",-0.44988346,-0.4900341,-0.5780589,-0.4097701,-0.1682888
79,-0.6994488,-0.32337224,"('wavering', 'unwavering')",-0.22297384,-0.2538217,-0.4612113,-0.288597,-0.1726143
35,0.6808564,0.37193537,"('corrupt', 'incorrupt')",-0.24532178,-0.46810648,0.2177673,-0.0480856,0.2658529
26,-0.6767014,-0.8270342,"('hardhearted', 'benevolent')",1.3483499,1.1813964,0.3358243,0.1771811,0.1586432
88,-0.64858246,-0.68313634,"('low', 'eminent')",-0.32489628,-0.41158003,-0.4867394,-0.5473582,0.0606188
22,-0.61685365,-0.28200766,"('untrustworthy', 'trustworthy')",-0.98844314,-1.0792023,-0.8026484,-0.680605,-0.1220434
36,-0.58843076,-0.67731744,"('hostile', 'amicable')",0.02350409,-0.26074168,-0.2824633,-0.4690295,0.1865662
41,-0.5800493,-0.159527,"('unforgiving', 'forgiving')",-0.22027494,-0.15435201,-0.4001621,-0.1569395,-0.2432226
51,-0.57624835,-0.51000255,"('uneducated', 'educated')",0.23326279,0.08135645,-0.1714928,-0.214323,0.0428302
17,-0.5603633,-0.3293775,"('nasty', 'nice')",-0.6529743,-0.47152495,-0.6066688,-0.4004512,-0.2062176
3,-0.54319245,-0.3137192,"('repellent', 'pleasant')",0.8125892,0.89424497,0.1346984,0.2902629,-0.1555645
19,-0.53887063,-0.7043249,"('inhospitable', 'hospitable')",-0.004694985,-0.3060089,-0.2717828,-0.5051669,0.2333841
78,-0.5332048,-0.58437085,"('nonresilient', 'resilient')",0.3057673,0.18398708,-0.1137187,-0.2001919,0.0864732
56,-0.51794755,-0.3050507,"('impractical', 'practical')",-0.6001122,-0.31491488,-0.5590299,-0.3099828,-0.2490471
50,0.51127243,0.58275425,"('clumsy', 'skillful')",0.06818563,-0.1391815,0.289729,0.2217864,0.0679426
47,-0.51011,-0.2555337,"('stupid', 'smart')",5.4664116,5.4521627,2.4781508,2.5983145,-0.1201637
58,-0.50076854,-0.56190604,"('undiscriminating', 'discriminating')",0.21834557,-0.0036731996,-0.1412115,-0.2827896,0.1415781
5,-0.48231792,-0.63899636,"('distant', 'outgoing')",-0.038636338,-0.30261955,-0.2604771,-0.470808,0.2103309
82,-0.46131334,-0.2524375,"('poor', 'rich')",6.4640465,6.1228204,3.0013666,2.9351914,0.0661752
71,-0.4421758,-0.71660906,"('diffident', 'self-confident')",0.36374214,0.18203956,-0.0392168,-0.2672848,0.228068
67,0.44018868,0.4311148,"('doubtful', 'determined')",-0.82369745,-0.5466574,-0.1917544,-0.0577713,-0.1339831
80,-0.43589646,-0.24401945,"('dominated', 'dominating')",-1.0601971,-0.929515,-0.7480468,-0.5867672,-0.1612796
70,-0.42505994,-0.040421266,"('lethargic', 'energetic')",-0.12260384,-0.1440993,-0.2738319,-0.0922603,-0.1815716
81,-0.40379298,0.1467577,"('submissive', 'aggressive')",-1.1352401,-0.7420159,-0.7695165,-0.2976291,-0.4718874
