,apartment_male,apartment_female,tuple,investment_male,investment_female,&_male,&_female,mgmt_male,mgmt_female,co_male,co_female,average_male,average_female,male-female
31,-2.6260457,-2.6419063,"('evil', 'good')",-1.7327828,-1.9053284,-1.8470694,-2.2776606,-1.6077322,-1.6551589,-1.636793,-1.929907,-1.8900846,-2.0819921,0.1919075
60,2.4290094,2.5119216,"('inefficient', 'efficient')",1.2258408,1.4770942,2.513351,2.7030814,0.4795368,0.74327934,0.74014866,0.8845523,1.4775774,1.6639858,-0.1864084
52,-2.0808496,-2.0516186,"('irrational', 'rational')",-1.3650606,-1.4879236,-1.2960565,-1.4416268,-0.55313647,-0.53564686,-0.7345899,-0.83766574,-1.2059386,-1.2708962,0.0649576
16,-1.917405,-1.9769695,"('unpopular', 'popular')",-0.52565205,-0.57591164,-0.42732427,-0.4973619,-0.513251,-0.50686157,0.0050234348,-0.052859075,-0.6757218,-0.7219927,0.0462709
14,1.9115337,1.7725111,"('antisocial', 'social')",1.9707799,2.0794644,1.4257594,1.5572046,0.74793273,0.7782357,-0.18675813,-0.0800946,1.1738496,1.2214643,-0.0476147
39,1.9091647,1.9333276,"('exploitative', 'cooperative')",0.041673467,0.12387601,1.0405436,1.1777595,-0.335298,-0.0850059,0.6780549,0.7514805,0.6668277,0.7802875,-0.1134598
43,1.8776994,1.9318211,"('irresponsible', 'responsible')",1.2652094,1.4028462,1.8926672,2.1344705,0.5729609,0.6625989,1.2257496,1.362212,1.3668572,1.4987898,-0.1319326
56,1.8705018,2.0630236,"('impractical', 'practical')",0.5338845,0.78100187,0.65362746,1.0397658,0.31064337,0.7072048,-0.27546328,0.048395928,0.6186388,0.9278784,-0.3092396
1,-1.7733254,-1.7669744,"('unfriendly', 'friendly')",0.65539306,0.4647476,0.11337421,-0.00016324222,-0.69789994,-0.7778288,0.97853255,0.81464434,-0.1447851,-0.2531149,0.1083298
30,1.7429175,1.8053646,"('intolerant', 'tolerant')",1.6530154,1.8303305,1.2687317,1.3841168,0.54788834,0.8277047,0.46279195,0.75295335,1.135069,1.320094,-0.185025
