,simon_male,simon_female,tuple,property_male,property_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
36,-2.8528965,-3.2176704,"('hostile', 'amicable')",-0.016532935,0.18329054,-1.0245829,-0.8982618,0.66435796,0.46167874,-0.8074136,-0.8677408,0.0603272
56,2.672109,2.6989448,"('impractical', 'practical')",0.566962,0.3025244,0.7889517,0.7069918,-0.3460051,-0.22225113,0.9205044,0.8715524,0.048952
69,-2.5423942,-2.9840157,"('lazy', 'industrious')",1.0017824,1.10662,0.36924994,0.32129857,-0.43695658,-0.501795,-0.4020796,-0.514473,0.1123934
62,2.4841704,2.7949424,"('incompetent', 'brilliant')",-0.25324795,-0.21839535,0.8735224,0.9598305,-0.0052310713,0.11475699,0.7748035,0.9127837,-0.1379802
12,2.3865807,2.475821,"('unsupportive', 'supportive')",1.0418913,0.929374,1.2217411,1.2113683,-1.7788743,-1.8772264,0.7178347,0.6848342,0.0330005
60,2.313655,2.4374151,"('inefficient', 'efficient')",-0.3296302,-0.6709275,1.2281821,1.0013528,-0.2837409,-0.20138647,0.7321165,0.6416135,0.090503
14,2.273755,2.27698,"('antisocial', 'social')",1.0179551,0.88099957,1.6086926,1.5964656,-0.7265472,-0.5618464,1.0434639,1.0481497,-0.0046858
35,-2.2478554,-2.665879,"('corrupt', 'incorrupt')",-0.46868962,-0.19990796,-1.3384733,-1.1728721,0.21707523,0.16431017,-0.9594858,-0.9685872,0.0091014
43,2.2409775,2.216991,"('irresponsible', 'responsible')",0.77807343,0.5245558,1.1098589,1.0985287,0.62807405,0.7813884,1.1892461,1.1553659,0.0338802
70,2.2268176,2.515535,"('lethargic', 'energetic')",0.27282378,0.20564054,1.0147916,1.0554359,0.66042906,0.76292187,1.0437155,1.1348834,-0.0911679
30,2.1001768,2.1296322,"('intolerant', 'tolerant')",0.71806437,0.48876518,0.51564103,0.42383382,0.84233916,0.89772105,1.0440553,0.9849881,0.0590672
7,2.0497239,2.1596224,"('insensitive', 'sensitive')",0.72465366,0.45906717,0.587127,0.45631397,1.0795629,0.99005044,1.1102669,1.0162635,0.0940034
55,1.9273674,2.0519254,"('incompetent', 'clever')",-0.87447953,-0.9651452,0.5656936,0.4023387,-0.44842327,-0.5429006,0.2925396,0.2365546,0.055985
6,-1.8993661,-2.3319848,"('distant', 'open')",0.2904277,0.33837825,-1.4056811,-1.3599466,0.85421735,0.7864479,-0.5401006,-0.6417763,0.1016757
