,anthem_male,anthem_female,tuple,inc_male,inc_female,average_male,average_female,male-female
60,3.9239175,3.0135453,"('inefficient', 'efficient')",1.0967978,1.3185115,2.5103576,2.1660285,0.3443291
52,-3.7417784,-2.693507,"('irrational', 'rational')",-0.9754027,-0.98769253,-2.3585906,-1.8405998,-0.5179908
56,3.3632555,2.4892108,"('impractical', 'practical')",0.78969467,0.928195,2.0764751,1.7087029,0.3677722
31,-3.0115101,-2.326919,"('evil', 'good')",-1.5643876,-1.9103926,-2.2879488,-2.1186559,-0.1692929
23,2.877726,2.2563417,"('insincere', 'sincere')",6.8719296,6.071965,4.8748279,4.1641536,0.7106743
62,2.748628,1.8843423,"('incompetent', 'brilliant')",0.97383595,0.70514,1.8612319,1.2947412,0.5664907
36,-2.658035,-1.6473697,"('hostile', 'amicable')",-0.731729,-0.9066906,-1.694882,-1.2770302,-0.4178518
6,-2.5608392,-1.6747136,"('distant', 'open')",-0.1305048,-0.52182263,-1.345672,-1.0982682,-0.2474038
35,-2.3019974,-1.3905274,"('corrupt', 'incorrupt')",-0.71785957,-0.8844517,-1.5099285,-1.1374896,-0.3724389
10,2.270907,1.6834794,"('unsympathetic', 'sympathetic')",0.046360843,0.13138698,1.1586338,0.9074332,0.2512006
7,2.2232509,1.9407144,"('insensitive', 'sensitive')",0.966732,0.88888144,1.5949914,1.4147979,0.1801935
55,2.2049797,1.3484876,"('incompetent', 'clever')",0.25767952,0.45580503,1.2313296,0.9021463,0.3291833
75,-2.1965945,-1.8032204,"('meek', 'impulsive')",-0.66909665,-0.7245298,-1.4328456,-1.2638751,-0.1689705
81,2.1896389,1.3972017,"('submissive', 'aggressive')",-0.16510814,0.21209624,1.0122653,0.8046489,0.2076164
43,2.1322746,1.7153172,"('irresponsible', 'responsible')",1.2983218,1.2010434,1.7152982,1.4581803,0.2571179
5,-2.103523,-1.2191889,"('distant', 'outgoing')",-0.29770243,-0.6680377,-1.2006128,-0.9436133,-0.2569995
70,2.0695138,1.4293015,"('lethargic', 'energetic')",1.1772025,1.2577822,1.6233581,1.3435419,0.2798162
66,-2.065784,-1.6139325,"('inactive', 'active')",0.12724602,0.22734953,-0.969269,-0.6932915,-0.2759775
48,2.0656967,1.5026947,"('unintelligent', 'intelligent')",0.88668925,1.0374385,1.476193,1.2700666,0.2061264
59,-2.0229228,-1.36276,"('foolish', 'wise')",0.40698978,0.09889241,-0.8079665,-0.6319337,-0.1760328
4,-2.0087354,-1.8865625,"('disliked', 'liked')",-6.993923,-6.283449,-4.5013294,-4.0850058,-0.4163236
65,1.9618442,1.1354984,"('insecure', 'secure')",0.07828427,0.17774338,1.0200642,0.6566209,0.3634433
13,1.9051576,1.277004,"('impolite', 'polite')",-0.1353024,-0.19694012,0.8849276,0.5400319,0.3448957
16,-1.8528558,-1.5608732,"('unpopular', 'popular')",-0.08505772,-0.06511898,-0.9689568,-0.8129961,-0.1559607
21,1.7967802,1.387963,"('immoral', 'moral')",-0.42387488,0.008592078,0.6864527,0.6982776,-0.0118249
30,1.7342666,1.6616433,"('intolerant', 'tolerant')",1.4487139,1.7121917,1.5914903,1.6869175,-0.0954272
19,-1.7193519,-1.1683307,"('inhospitable', 'hospitable')",-0.116596036,-0.17652628,-0.9179739,-0.6724285,-0.2455454
85,-1.7025319,-0.42159146,"('insignificant', 'prestigious')",-0.5774086,-0.534648,-1.1399703,-0.4781197,-0.6618506
