,allegheny_male,allegheny_female,tuple,technologies_male,technologies_female,average_male,average_female,male-female
85,2.4350507,1.349605,"('insignificant', 'prestigious')",-0.73023987,-1.2352943,0.8524054,0.0571553,0.7952501
9,1.9303259,1.5822022,"('unaffectionate', 'caring')",0.8591097,0.61466926,1.3947178,1.0984358,0.296282
16,-1.8291608,-1.7079877,"('unpopular', 'popular')",0.04900634,-0.16235965,-0.8900772,-0.9351736,0.0450964
12,1.757543,2.0626872,"('unsupportive', 'supportive')",-1.1396213,-0.91407615,0.3089609,0.5743055,-0.2653446
39,1.747394,2.1202693,"('exploitative', 'cooperative')",-0.15856418,-0.35477087,0.7944149,0.8827492,-0.0883343
74,1.6848141,1.6050588,"('undedicated', 'dedicated')",-0.4418648,-0.22057694,0.6214746,0.692241,-0.0707664
66,1.5649939,1.1497576,"('inactive', 'active')",0.061513335,-0.33756664,0.8132536,0.4060955,0.4071581
40,1.5088359,0.8866343,"('stingy', 'generous')",-2.1912656,-2.2796524,-0.3412148,-0.696509,0.3552942
29,-1.492497,-1.5769031,"('unfair', 'fair')",-1.0086946,-1.3794949,-1.2505958,-1.478199,0.2276032
8,1.4415158,0.6913023,"('unaffectionate', 'affectionate')",-0.19848868,-0.5437144,0.6215135,0.0737939,0.5477196
0,-1.2816697,-0.9493185,"('unsociable', 'sociable')",-0.3777477,-0.43486032,-0.8297087,-0.6920894,-0.1376193
72,1.2714345,1.41893,"('unambitious', 'ambitious')",-0.8441664,-0.8956957,0.2136341,0.2616172,-0.0479831
45,-1.2228327,-0.88147825,"('incompetent', 'competent')",-0.26526153,-0.18044308,-0.7440471,-0.5309607,-0.2130864
26,1.2020421,0.39600056,"('hardhearted', 'benevolent')",0.2458231,-0.1473851,0.7239326,0.1243077,0.5996249
73,1.175741,1.1873139,"('helpless', 'self-reliant')",-2.9825134,-2.7721133,-0.9033862,-0.7923997,-0.1109865
71,1.1572888,0.8942668,"('diffident', 'self-confident')",0.5322622,0.37657332,0.8447755,0.6354201,0.2093554
65,-1.1569242,-0.29621664,"('insecure', 'secure')",-0.061748955,0.3032575,-0.6093366,0.0035204,-0.612857
53,1.1359843,0.7946384,"('uncreative', 'creative')",0.25653815,0.20058928,0.6962612,0.4976138,0.1986474
27,1.0860384,0.76715565,"('hardhearted', 'softhearted')",0.5273905,0.22953251,0.8067144,0.4983441,0.3083703
33,1.0839617,0.6079746,"('wrong', 'right')",0.07802926,-0.33864766,0.5809955,0.1346635,0.446332
84,1.0705504,0.97280145,"('inferior', 'superior')",-0.017903741,-0.04302755,0.5263234,0.464887,0.0614364
63,1.0688764,1.33858,"('unperceptive', 'insightful')",0.7880129,0.9136566,0.9284446,1.1261183,-0.1976737
79,1.0613544,0.43286097,"('wavering', 'unwavering')",-0.6959,-0.87204146,0.1827272,-0.2195902,0.4023174
3,-1.0589027,-0.5718838,"('repellent', 'pleasant')",0.438583,0.5819119,-0.3101599,0.0050141,-0.315174
68,-1.0278486,-0.9734375,"('dependent', 'independent')",-0.59538895,-0.6425151,-0.8116188,-0.8079763,-0.0036425
24,1.0209719,1.0957878,"('dishonest', 'honest')",-0.28481227,-0.7033923,0.3680798,0.1961977,0.1718821
55,-0.9436579,-0.45803228,"('incompetent', 'clever')",0.6806081,0.919877,-0.1315249,0.2309224,-0.3624473
82,-0.9288894,-0.52910495,"('poor', 'rich')",4.8405104,4.927261,1.9558105,2.1990781,-0.2432676
44,-0.9198279,-0.60262513,"('prejudiced', 'unprejudiced')",-1.340853,-1.1844323,-1.1303405,-0.8935287,-0.2368118
1,0.8605408,0.00023875013,"('unfriendly', 'friendly')",0.3939819,-0.15112369,0.6272613,-0.0754425,0.7027038
6,0.7906543,-0.24177508,"('distant', 'open')",-1.231047,-1.6903641,-0.2201964,-0.9660696,0.7458732
54,0.7708077,0.80204195,"('incapable', 'capable')",0.74074507,0.63687944,0.7557764,0.7194607,0.0363157
41,0.7707142,0.52138734,"('unforgiving', 'forgiving')",-0.74105406,-0.93178064,0.0148301,-0.2051966,0.2200267
25,0.7403227,0.121215835,"('egoistic', 'altruistic')",0.3680722,0.20051655,0.5541974,0.1608662,0.3933312
7,0.719584,1.1179819,"('insensitive', 'sensitive')",1.008851,1.0379838,0.8642175,1.0779829,-0.2137654
49,-0.66891444,-0.5461984,"('unable', 'able')",0.07102148,0.2641309,-0.2989465,-0.1410338,-0.1579127
5,0.6487032,-0.055098843,"('distant', 'outgoing')",-1.1442373,-1.4588342,-0.247767,-0.7569665,0.5091995
17,-0.6449094,-0.71645576,"('nasty', 'nice')",-0.77098846,-0.94708675,-0.7079489,-0.8317713,0.1238224
69,0.6296857,0.14355972,"('lazy', 'industrious')",-0.6406822,-0.6354002,-0.0054983,-0.2459202,0.2404219
22,-0.6079151,-0.30207768,"('untrustworthy', 'trustworthy')",-1.2372638,-1.1962508,-0.9225894,-0.7491642,-0.1734252
80,0.5868039,1.2962162,"('dominated', 'dominating')",0.12517816,0.15984827,0.355991,0.7280322,-0.3720412
64,-0.565762,-0.10183731,"('shy', 'confident')",-5.6455483,-4.9898467,-3.1056552,-2.5458419,-0.5598133
59,0.56524014,0.38804716,"('foolish', 'wise')",-0.39271298,-0.48257077,0.0862636,-0.0472618,0.1335254
50,0.5512105,0.63506144,"('clumsy', 'skillful')",0.034145012,0.32341817,0.2926778,0.4792398,-0.186562
