,international_male,international_female,tuple,business_male,business_female,machs_male,machs_female,cor_male,cor_female,average_male,average_female,male-female
87,1.7768341,1.7805245,"('unsuccessful', 'successful')",2.3843977,2.3969598,0.60421604,0.5505174,0.7000721,0.6384936,1.3663801,1.3416239,0.0247562
2,1.7564561,1.8204397,"('unlikable', 'likable')",2.1276693,2.059797,0.6691385,0.59999675,1.1311796,1.092879,1.4211109,1.3932781,0.0278328
62,1.7202256,1.8418012,"('incompetent', 'brilliant')",2.9595492,3.0162554,1.5233223,1.5153706,0.8456071,0.8933121,1.7621762,1.8166848,-0.0545086
56,1.6434666,1.5281328,"('impractical', 'practical')",2.7255285,2.5092852,1.8867477,1.7648114,0.6804915,0.6391413,1.7340586,1.6103427,0.1237159
69,1.5967052,1.6196649,"('lazy', 'industrious')",-0.4373559,-0.52897584,-0.35478997,-0.21240798,-0.44337124,-0.43174228,0.090297,0.1116347,-0.0213377
76,1.5633206,1.5890273,"('anxious', 'daring')",2.0557735,2.098888,1.3484118,1.2764829,0.91761065,0.8185554,1.4712791,1.4457384,0.0255407
31,-1.556074,-1.3968179,"('evil', 'good')",-2.7631311,-2.713087,-2.153247,-2.1213424,-2.3263912,-2.3427985,-2.1997108,-2.1435115,-0.0561993
51,1.5175354,1.6475291,"('uneducated', 'educated')",1.117462,1.2348682,0.5745962,0.45394936,0.12501551,-0.047058053,0.8336523,0.8223221,0.0113302
63,1.5052387,1.5582325,"('unperceptive', 'insightful')",1.0068002,1.1366352,0.7587745,0.74355716,0.19315906,0.10264752,0.8659931,0.8852681,-0.019275
66,1.4096726,1.2931312,"('inactive', 'active')",0.23638612,0.23787563,-1.1500564,-1.3304207,-0.6797237,-0.76618767,-0.0459303,-0.1414004,0.0954701
39,1.3669355,1.3327699,"('exploitative', 'cooperative')",1.7126285,1.7829951,1.2059423,1.1959864,1.4797289,1.5926461,1.4413087,1.4760994,-0.0347907
27,-1.3210047,-1.3175094,"('hardhearted', 'softhearted')",-2.0948124,-1.9489555,-1.4841746,-1.3941789,-0.13341726,0.009235369,-1.2583523,-1.162852,-0.0955003
81,1.3113661,1.2199124,"('submissive', 'aggressive')",2.944023,3.015611,1.6351732,1.5853323,0.9210381,0.81965786,1.7029002,1.6601284,0.0427718
14,1.2171085,1.1469179,"('antisocial', 'social')",2.6305814,2.5717022,1.8329825,1.7333498,1.2777048,1.1671036,1.7395943,1.6547685,0.0848258
74,1.196582,1.286146,"('undedicated', 'dedicated')",1.2136841,1.3334693,0.8178186,0.7227901,-0.026432848,-0.06213338,0.800413,0.820068,-0.019655
80,1.1824667,0.90682065,"('dominated', 'dominating')",1.8017353,1.8536534,1.5531824,1.3887275,0.5401528,0.41680142,1.2693841,1.1415008,0.1278833
13,1.1806813,0.8018066,"('impolite', 'polite')",2.351873,2.1762135,1.6292564,1.4356073,0.92985255,0.76186603,1.5229157,1.2938734,0.2290423
33,1.1772385,1.052377,"('wrong', 'right')",0.26609784,0.1434927,0.0400483,-0.034347158,-0.45959306,-0.4298609,0.2559479,0.1829154,0.0730325
17,-1.137146,-1.1282247,"('nasty', 'nice')",-0.2637297,-0.30417702,-0.71983415,-0.7964069,-0.6804882,-0.6421088,-0.7002995,-0.7177293,0.0174298
19,-1.0362602,-1.0125237,"('inhospitable', 'hospitable')",-0.77290875,-0.8241384,-1.1973064,-1.2708915,-1.6656634,-1.7495229,-1.1680347,-1.2142692,0.0462345
29,-1.0298468,-1.0333273,"('unfair', 'fair')",-1.1153316,-1.2390742,-0.9490505,-0.93779397,-1.2977754,-1.272601,-1.098001,-1.1206992,0.0226982
12,1.0170622,1.0402826,"('unsupportive', 'supportive')",1.1713274,1.1455643,-0.08619426,-0.13570768,-1.8736427,-1.9107958,0.0571381,0.0348358,0.0223023
42,0.98492473,0.77731013,"('unreliable', 'reliable')",0.9520523,0.92559475,0.26545796,0.046232827,-0.94887483,-1.1417849,0.31339,0.1518382,0.1615518
37,-0.97897667,-1.2466528,"('fake', 'genuine')",0.055872034,-0.15476835,0.3377779,0.15569702,0.030705575,0.044880193,-0.1386553,-0.300211,0.1615557
67,0.97013694,0.8321104,"('doubtful', 'determined')",0.7391289,0.51194483,1.3075802,1.1753662,0.51852167,0.4367035,0.883842,0.7390312,0.1448108
43,0.9371517,0.88852626,"('irresponsible', 'responsible')",2.003931,2.0031307,0.9093267,0.72300875,0.49134725,0.43844005,1.0854392,1.0132763,0.0721629
26,0.90038365,0.8895732,"('hardhearted', 'benevolent')",0.26697767,0.25099346,-0.44042242,-0.5314683,0.6197655,0.5132898,0.3366761,0.2805971,0.056079
21,0.8144818,0.62335443,"('immoral', 'moral')",2.5352895,2.4813814,1.2795761,1.1243255,0.5715721,0.43343917,1.3002299,1.1656251,0.1346048
58,0.8053211,0.976174,"('undiscriminating', 'discriminating')",0.5184834,0.64240015,-0.20563541,-0.24640392,0.097635984,0.04511746,0.3039513,0.3543219,-0.0503706
