,allergan_male,allergan_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.8282251,-2.3657358,"('unfriendly', 'friendly')",1.2831835,1.4839977,-0.7725208,-0.440869,-0.3316518
53,-2.3093777,-2.2069156,"('uncreative', 'creative')",0.5336841,0.48626438,-0.8878468,-0.8603256,-0.0275212
86,-2.0578232,-2.1408849,"('uninfluential', 'influential')",-0.28497273,-0.37887558,-1.1713979,-1.2598802,0.0884823
44,1.7247621,1.6917101,"('prejudiced', 'unprejudiced')",-1.2248418,-1.3482572,0.2499601,0.1717265,0.0782336
58,-1.4943149,-1.2024384,"('undiscriminating', 'discriminating')",0.04685061,-0.020981684,-0.7237322,-0.61171,-0.1120222
8,-1.4744744,-1.0195901,"('unaffectionate', 'affectionate')",0.3803746,0.7838476,-0.5470499,-0.1178713,-0.4291786
19,-1.4646449,-1.5172718,"('inhospitable', 'hospitable')",-0.069577634,-0.03891627,-0.7671113,-0.778094,0.0109827
10,-1.436801,-1.8825699,"('unsympathetic', 'sympathetic')",-0.43110394,-0.48082075,-0.9339525,-1.1816953,0.2477428
9,-1.377662,-1.1050831,"('unaffectionate', 'caring')",0.5698192,1.1730596,-0.4039214,0.0339882,-0.4379096
63,-1.271441,-1.3132786,"('unperceptive', 'insightful')",0.7693217,1.2071005,-0.2510597,-0.053089,-0.1979707
0,-1.2393186,-1.4484288,"('unsociable', 'sociable')",-0.550852,-0.5550504,-0.8950853,-1.0017395,0.1066542
57,-1.236917,-1.6623781,"('unimaginative', 'imaginative')",-2.109758,-2.6840005,-1.6733375,-2.1731892,0.4998517
61,-1.1643486,-1.3155675,"('illogical', 'logical')",0.13931918,0.18951769,-0.5125147,-0.5630249,0.0505102
31,-1.1472145,-1.2600313,"('evil', 'good')",-1.163039,-1.3806025,-1.1551268,-1.3203169,0.1651901
45,-1.1392434,-1.126323,"('incompetent', 'competent')",-0.6108407,-0.4031744,-0.875042,-0.7647487,-0.1102933
6,-1.0941485,-0.70148855,"('distant', 'open')",-0.2972196,-0.044228334,-0.6956841,-0.3728584,-0.3228257
36,-1.0916139,-1.6400999,"('hostile', 'amicable')",0.035169568,-0.34765702,-0.5282221,-0.9938785,0.4656564
27,-1.0830895,-0.73465234,"('hardhearted', 'softhearted')",0.99438167,1.2586504,-0.0443539,0.261999,-0.3063529
28,-1.0510896,-0.59815735,"('disloyal', 'loyal')",0.20608766,0.69417405,-0.422501,0.0480084,-0.4705094
81,1.0352472,0.35602355,"('submissive', 'aggressive')",-0.08083767,-0.5490822,0.4772048,-0.0965293,0.5737341
23,-1.0032393,-1.1900316,"('insincere', 'sincere')",5.3155446,6.0027647,2.1561527,2.4063666,-0.2502139
5,-0.9852872,-0.6211394,"('distant', 'outgoing')",-0.59204745,-0.21977243,-0.7886673,-0.4204559,-0.3682114
71,-0.9833288,-0.8857475,"('diffident', 'self-confident')",0.20780583,0.21969657,-0.3877615,-0.3330255,-0.054736
24,-0.9607934,-1.2154615,"('dishonest', 'honest')",0.46498156,0.6513033,-0.2479059,-0.2820791,0.0341732
78,-0.9277515,-0.41460505,"('nonresilient', 'resilient')",0.2773497,0.44022572,-0.3252009,0.0128103,-0.3380112
80,0.88969284,0.94334865,"('dominated', 'dominating')",-1.2039417,-1.0971981,-0.1571244,-0.0769247,-0.0801997
26,-0.88765234,-0.91962504,"('hardhearted', 'benevolent')",1.439432,1.0446998,0.2758898,0.0625374,0.2133524
66,-0.8787642,-1.3167609,"('inactive', 'active')",0.17769276,-0.01939495,-0.3505357,-0.6680779,0.3175422
82,-0.8502474,-0.70452195,"('poor', 'rich')",5.482524,6.196223,2.3161383,2.7458503,-0.429712
69,0.8329802,0.9129033,"('lazy', 'industrious')",-0.8196202,-0.5947963,0.00668,0.1590535,-0.1523735
29,-0.8264228,-0.558874,"('unfair', 'fair')",-0.755991,-0.3854423,-0.7912069,-0.4721581,-0.3190488
85,-0.79038477,-0.99937034,"('insignificant', 'prestigious')",0.5788046,-0.07262796,-0.1057901,-0.5359992,0.4302091
74,-0.69932884,-0.7230336,"('undedicated', 'dedicated')",-0.027162507,-0.23454623,-0.3632457,-0.4787899,0.1155442
38,-0.67804205,-0.7972939,"('untruthful', 'truthful')",0.051774,0.1440255,-0.313134,-0.3266342,0.0135002
56,0.6773323,0.32774863,"('impractical', 'practical')",0.09285043,0.17881432,0.3850914,0.2532815,0.1318099
54,-0.67588377,-0.7418089,"('incapable', 'capable')",1.2418694,1.5641315,0.2829928,0.4111613,-0.1281685
48,-0.6509514,-0.40867972,"('unintelligent', 'intelligent')",0.6027073,0.8955728,-0.024122,0.2434465,-0.2675685
16,-0.6462822,-0.6749147,"('unpopular', 'popular')",0.23281802,0.008412886,-0.2067321,-0.3332509,0.1265188
77,-0.6434227,-0.9344524,"('unmotivated', 'motivated')",-0.81247276,-1.0220779,-0.7279477,-0.9782652,0.2503175
73,0.6339921,1.0157511,"('helpless', 'self-reliant')",-2.7958724,-2.469308,-1.0809402,-0.7267784,-0.3541618
30,0.6335387,0.32628193,"('intolerant', 'tolerant')",1.4926615,1.2138612,1.0631001,0.7700716,0.2930285
7,-0.5999277,-0.59732175,"('insensitive', 'sensitive')",0.40495244,0.84139735,-0.0974876,0.1220378,-0.2195254
2,0.586848,0.23556525,"('unlikable', 'likable')",0.51503307,0.5763644,0.5509405,0.4059648,0.1449757
60,0.5824766,0.54270035,"('inefficient', 'efficient')",0.05707969,0.48633042,0.3197781,0.5145154,-0.1947373
39,0.5675875,0.24932545,"('exploitative', 'cooperative')",0.10202962,0.28520805,0.3348086,0.2672668,0.0675418
25,0.56442624,0.38600287,"('egoistic', 'altruistic')",1.7205738,1.4144307,1.1425,0.9002168,0.2422832
87,-0.548182,-0.58589053,"('unsuccessful', 'successful')",0.19652833,0.8499174,-0.1758268,0.1320134,-0.3078402
52,-0.5302285,-0.67927724,"('irrational', 'rational')",0.16035448,-0.18583737,-0.184937,-0.4325573,0.2476203
72,-0.52146345,-0.059729654,"('unambitious', 'ambitious')",-1.2346193,-0.3810962,-0.8780414,-0.2204129,-0.6576285
46,-0.501269,-0.6488333,"('uncompetitive', 'competitive')",-0.22188921,-0.5898116,-0.3615791,-0.6193224,0.2577433
20,-0.49581683,-0.30474624,"('rough', 'thoughtful')",0.71904075,0.9616475,0.111612,0.3284506,-0.2168386
76,0.49441403,0.007863641,"('anxious', 'daring')",0.3994545,0.32386422,0.4469343,0.1658639,0.2810704
12,-0.4815417,-0.4581512,"('unsupportive', 'supportive')",-1.6169136,-1.5234762,-1.0492276,-0.9908137,-0.0584139
13,-0.4725522,-1.0350059,"('impolite', 'polite')",-0.5918634,-0.67469305,-0.5322078,-0.8548495,0.3226417
37,0.4606405,0.660453,"('fake', 'genuine')",-0.27227804,0.52599484,0.0941812,0.5932239,-0.4990427
51,-0.45454392,-0.6184876,"('uneducated', 'educated')",0.6234655,0.4492532,0.0844608,-0.0846172,0.169078
22,-0.45410132,-0.37790242,"('untrustworthy', 'trustworthy')",-0.9707085,-0.5654535,-0.7124049,-0.471678,-0.2407269
75,0.4479065,0.06880207,"('meek', 'impulsive')",-0.41178903,-0.5249939,0.0180587,-0.2280959,0.2461546
14,0.41120896,0.20528181,"('antisocial', 'social')",-0.40228724,-0.25420246,0.0044609,-0.0244603,0.0289212
67,0.4111992,0.15391612,"('doubtful', 'determined')",-0.82172436,-0.88675606,-0.2052626,-0.36642,0.1611574
43,-0.3733387,-0.5878327,"('irresponsible', 'responsible')",0.5344287,0.5322999,0.080545,-0.0277664,0.1083114
4,-0.36268643,-0.33513242,"('disliked', 'liked')",-5.888335,-6.5921106,-3.1255109,-3.4636216,0.3381107
55,-0.3560411,-0.23741314,"('incompetent', 'clever')",0.11945775,0.23244956,-0.1182917,-0.0024818,-0.1158099
70,-0.35117924,-0.6681911,"('lethargic', 'energetic')",0.74241275,0.67181355,0.1956168,0.0018112,0.1938056
35,0.29711497,0.38790232,"('corrupt', 'incorrupt')",-0.6169894,-0.39180794,-0.1599372,-0.0019528,-0.1579844
11,-0.29146874,-0.59610474,"('unhelpful', 'helpful')",1.696511,1.8397679,0.7025211,0.6218316,0.0806895
42,0.278661,0.045548737,"('unreliable', 'reliable')",-3.2661722,-3.2465084,-1.4937556,-1.6004798,0.1067242
64,0.2610779,0.20583326,"('shy', 'confident')",-5.8375096,-6.2338786,-2.7882159,-3.0140226,0.2258067
62,0.24182302,0.4871348,"('incompetent', 'brilliant')",-0.01916467,0.85578585,0.1113292,0.6714603,-0.5601311
79,-0.22087586,-1.014041,"('wavering', 'unwavering')",-0.2628662,-0.27237427,-0.241871,-0.6432076,0.4013366
41,-0.20981085,-0.77735233,"('unforgiving', 'forgiving')",0.18312249,-0.18215209,-0.0133442,-0.4797522,0.466408
40,-0.19250448,0.258695,"('stingy', 'generous')",-1.5662644,-1.4488089,-0.8793845,-0.595057,-0.2843275
21,0.18015014,-0.42312625,"('immoral', 'moral')",-0.18301076,-0.5017527,-0.0014303,-0.4624395,0.4610092
15,0.16926949,-0.39683598,"('boring', 'funny')",0.52532333,0.33963877,0.3472964,-0.0285986,0.375895
59,0.15856639,0.22414851,"('foolish', 'wise')",-0.2071732,0.26493528,-0.0243034,0.2445419,-0.2688453
33,-0.15165551,-0.12786621,"('wrong', 'right')",-1.0068457,-0.6888352,-0.5792506,-0.4083507,-0.1708999
32,0.14508098,-0.42307675,"('unkind', 'kind')",1.2093661,0.8731119,0.6772236,0.2250176,0.452206
34,-0.13226616,-0.26787955,"('mean', 'honorable')",5.773713,6.23914,2.8207235,2.9856303,-0.1649068
88,-0.12396054,-0.72147715,"('low', 'eminent')",0.5644476,0.22073908,0.2202435,-0.250369,0.4706125
83,-0.11385171,0.021143097,"('powerless', 'powerful')",-0.99238807,-0.8713338,-0.5531199,-0.4250953,-0.1280246
68,-0.08629645,0.17160097,"('dependent', 'independent')",-0.45482773,0.019305691,-0.2705621,0.0954533,-0.3660154
65,-0.079276785,-0.40599245,"('insecure', 'secure')",-0.3923259,-0.116326764,-0.2358013,-0.2611596,0.0253583
18,0.077949405,0.06492427,"('disagreeable', 'welcoming')",-0.093724474,-0.15199707,-0.0078875,-0.0435364,0.0356489
49,0.06741874,0.36440784,"('unable', 'able')",-0.34599078,0.56911945,-0.139286,0.4667636,-0.6060496
84,0.06452093,0.4255411,"('inferior', 'superior')",0.5760008,1.1570082,0.3202609,0.7912747,-0.4710138
17,0.059445467,-0.3996953,"('nasty', 'nice')",-0.5609684,-0.68989146,-0.2507615,-0.5447934,0.2940319
3,-0.04936669,-0.15955491,"('repellent', 'pleasant')",0.6157755,0.50224704,0.2832044,0.1713461,0.1118583
47,0.03677076,-0.20546216,"('stupid', 'smart')",4.816675,5.1025996,2.426723,2.4485688,-0.0218458
50,-0.004369177,0.23192877,"('clumsy', 'skillful')",-0.30484965,0.32586882,-0.1546094,0.2788988,-0.4335082
