,millipore_male,millipore_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.8403516,-1.9518505,"('unsympathetic', 'sympathetic')",-0.32886955,-0.39332536,-1.0846106,-1.172588,0.0879774
86,-1.7108339,-1.9494125,"('uninfluential', 'influential')",-0.12874913,-0.2658694,-0.9197915,-1.107641,0.1878495
9,-1.5363046,-1.4671087,"('unaffectionate', 'caring')",1.3203971,1.4048376,-0.1079537,-0.0311356,-0.0768181
19,-1.4253407,-1.3572489,"('inhospitable', 'hospitable')",-0.60770506,-0.48255932,-1.0165229,-0.9199041,-0.0966188
1,-1.3881142,-1.2760692,"('unfriendly', 'friendly')",1.4439323,1.5802329,0.027909,0.1520818,-0.1241728
6,-1.2958322,-1.0445728,"('distant', 'open')",-0.7635778,-0.62881494,-1.029705,-0.8366939,-0.1930111
53,-1.2847998,-1.1372083,"('uncreative', 'creative')",0.5161325,0.61447567,-0.3843337,-0.2613663,-0.1229674
43,-1.2719021,-1.2018058,"('irresponsible', 'responsible')",0.42277485,0.34153125,-0.4245636,-0.4301373,0.0055737
63,-1.2598518,-1.1521006,"('unperceptive', 'insightful')",0.68893856,0.7488049,-0.2854566,-0.2016478,-0.0838088
45,-1.2490537,-1.297822,"('incompetent', 'competent')",-0.13827404,-0.1465951,-0.6936639,-0.7222086,0.0285447
73,1.2438525,1.235049,"('helpless', 'self-reliant')",-2.9015472,-2.8108482,-0.8288473,-0.7878996,-0.0409477
12,-1.2400975,-1.1722088,"('unsupportive', 'supportive')",-1.9217998,-1.880463,-1.5809486,-1.526336,-0.0546126
38,-1.2119498,-1.2179834,"('untruthful', 'truthful')",-0.13711053,-0.1091342,-0.6745301,-0.6635588,-0.0109713
8,-1.2087697,-1.2937706,"('unaffectionate', 'affectionate')",0.83376837,0.8788384,-0.1875007,-0.2074661,0.0199654
46,-1.1242025,-1.164413,"('uncompetitive', 'competitive')",-0.97227764,-1.0229571,-1.0482401,-1.093685,0.0454449
16,-1.0615736,-1.1007837,"('unpopular', 'popular')",-0.00043014437,0.078459665,-0.5310019,-0.511162,-0.0198399
0,-1.0470753,-1.3516797,"('unsociable', 'sociable')",-0.027457137,-0.173621,-0.5372662,-0.7626504,0.2253842
11,-1.0371644,-1.0282485,"('unhelpful', 'helpful')",1.9023681,1.7586968,0.4326018,0.3652241,0.0673777
66,-1.0066475,-1.0720509,"('inactive', 'active')",-0.38453943,-0.25117275,-0.6955935,-0.6616119,-0.0339816
85,-1.0044012,-0.951156,"('insignificant', 'prestigious')",-0.57231015,-0.4976782,-0.7883557,-0.7244171,-0.0639386
