,zions_male,zions_female,tuple,bancorporation_male,bancorporation_female,n_male,n_female,a_male,a_female,average_male,average_female,male-female
12,1.6253853,1.5186611,"('unsupportive', 'supportive')",-0.581668,-0.7216493,0.52570444,0.6754369,-1.0870708,-1.0913364,0.1205877,0.0952781,0.0253096
43,1.6172861,1.5676084,"('irresponsible', 'responsible')",-1.2320315,-1.2788721,1.1230731,1.2212254,1.4238049,1.4626272,0.7330332,0.7431472,-0.010114
36,-1.5994749,-1.3458146,"('hostile', 'amicable')",1.2497202,1.3020803,-1.3859689,-1.3551179,-0.112130836,-0.06921877,-0.4619636,-0.3670177,-0.0949459
7,1.4641804,1.2583945,"('insensitive', 'sensitive')",-0.042047933,-0.051966112,0.36095643,0.48137346,0.9272622,1.0264499,0.6775877,0.6785629,-0.0009752
56,1.422043,1.1691272,"('impractical', 'practical')",-0.049042366,-0.1286491,1.664066,1.677428,-0.024464503,-0.027442887,0.7531505,0.6726158,0.0805347
31,-1.3396991,-1.2237616,"('evil', 'good')",-0.13491812,-0.024410263,-1.1527277,-1.2452791,-0.80901647,-0.8852798,-0.8590904,-0.8446827,-0.0144077
23,1.3095691,1.0635073,"('insincere', 'sincere')",-0.16051896,-0.24517207,0.97414285,1.1518455,6.5743546,6.5175056,2.174387,2.1219215,0.0524655
74,1.244806,1.0748041,"('undedicated', 'dedicated')",-0.34142998,-0.3850098,0.6018335,0.7374178,-0.14827038,-0.2170103,0.3392348,0.3025505,0.0366843
44,-1.1580627,-1.0209733,"('prejudiced', 'unprejudiced')",0.6168295,0.6881206,-0.6501788,-0.70014775,-2.0789063,-1.9534099,-0.8175796,-0.7466026,-0.070977
35,-1.1282864,-0.95219105,"('corrupt', 'incorrupt')",1.0191641,1.1526406,-2.070294,-2.1923685,-1.1144708,-1.1258782,-0.8234718,-0.7794493,-0.0440225
