,southern_male,southern_female,tuple,co_male,co_female,average_male,average_female,male-female
14,1.870236,1.7371491,"('antisocial', 'social')",0.0988289,-0.08651911,0.9845325,0.825315,0.1592175
56,1.7426145,2.0170114,"('impractical', 'practical')",0.5754453,0.7699847,1.15903,1.3934981,-0.2344681
46,1.5989443,0.88334763,"('uncompetitive', 'competitive')",-0.034923553,-0.5229869,0.7820104,0.1801804,0.60183
7,1.5570427,1.365943,"('insensitive', 'sensitive')",0.5452986,0.14480343,1.0511706,0.7553732,0.2957974
37,1.5316439,1.168981,"('fake', 'genuine')",0.30823752,0.045807164,0.9199407,0.607394,0.3125467
16,-1.5167243,-1.3546711,"('unpopular', 'popular')",-0.3753848,-0.13076922,-0.9460546,-0.7427202,-0.2033344
31,-1.3556236,-1.5894171,"('evil', 'good')",-1.1862785,-1.3325092,-1.270951,-1.4609631,0.1900121
45,1.3332931,0.6944431,"('incompetent', 'competent')",0.30589887,-0.069394365,0.819596,0.3125244,0.5070716
35,-1.2805858,-1.1673408,"('corrupt', 'incorrupt')",-1.2159175,-1.0586591,-1.2482517,-1.1129999,-0.1352518
60,1.2654018,1.3686745,"('inefficient', 'efficient')",0.43721324,0.59019744,0.8513075,0.979436,-0.1281285
62,1.2632555,1.4908943,"('incompetent', 'brilliant')",0.47764516,0.5743271,0.8704503,1.0326107,-0.1621604
10,1.2520474,0.8225384,"('unsympathetic', 'sympathetic')",0.4351553,0.076744236,0.8436013,0.4496413,0.39396
36,-1.2112209,-1.5691898,"('hostile', 'amicable')",-0.95126045,-0.9653254,-1.0812407,-1.2672576,0.1860169
67,1.1771629,1.1422607,"('doubtful', 'determined')",-0.20865823,-0.15962595,0.4842523,0.4913174,-0.0070651
26,1.093584,0.93781495,"('hardhearted', 'benevolent')",1.5796658,1.4033453,1.3366249,1.1705801,0.1660448
24,1.0903801,1.1627358,"('dishonest', 'honest')",1.0794896,0.98318446,1.0849348,1.0729601,0.0119747
50,-1.0738766,-0.9446443,"('clumsy', 'skillful')",-0.879585,-0.66743946,-0.9767308,-0.8060418,-0.170689
70,1.0383592,0.6567086,"('lethargic', 'energetic')",0.3748171,0.12673661,0.7065881,0.3917226,0.3148655
55,1.0332205,0.75106627,"('incompetent', 'clever')",0.5553576,0.28861004,0.7942891,0.5198382,0.2744509
63,1.0204581,0.69603646,"('unperceptive', 'insightful')",0.4847481,0.41912243,0.7526031,0.5575795,0.1950236
33,1.0119874,0.7991997,"('wrong', 'right')",-0.54804707,-0.6021542,0.2319702,0.0985228,0.1334474
74,0.99750984,0.7583789,"('undedicated', 'dedicated')",0.25145087,-0.037503928,0.6244804,0.3604375,0.2640429
21,0.9960537,1.0072931,"('immoral', 'moral')",-0.59442186,-0.6928929,0.2008159,0.1572001,0.0436158
2,0.99429286,1.3447922,"('unlikable', 'likable')",0.9705225,1.1240041,0.9824077,1.2343981,-0.2519904
80,0.9844148,0.5018618,"('dominated', 'dominating')",0.09888868,-0.23263657,0.5416517,0.1346126,0.4070391
85,-0.9770949,-0.5245316,"('insignificant', 'prestigious')",-1.5623777,-1.3527255,-1.2697363,-0.9386286,-0.3311077
53,-0.9567165,-0.93458456,"('uncreative', 'creative')",0.47909737,0.29932958,-0.2388096,-0.3176275,0.0788179
9,0.94568056,0.9785465,"('unaffectionate', 'caring')",0.9022902,0.82506454,0.9239854,0.9018055,0.0221799
30,0.93274057,0.98892057,"('intolerant', 'tolerant')",0.67652607,0.9043822,0.8046333,0.9466514,-0.1420181
