,fidelity_male,fidelity_female,tuple,national_male,national_female,info_male,info_female,svcs_male,svcs_female,inc_male,inc_female,average_male,average_female,male-female
39,2.3817914,2.2962632,"('exploitative', 'cooperative')",1.7477359,1.8627007,1.4179063,1.3423553,1.7604828,1.4792757,-0.039708074,0.03221682,1.4536416,1.4025624,0.0510792
23,1.9378464,1.8686892,"('insincere', 'sincere')",1.3181819,0.9863398,1.5649594,1.4225006,0.23783553,0.072698064,4.4086018,4.247401,1.8934849,1.7195259,0.173959
44,-1.7414744,-1.4078796,"('prejudiced', 'unprejudiced')",0.2697415,0.55051523,-0.31711757,-0.0017921329,1.1638569,1.41713,-1.5976826,-1.2152369,-0.4445353,-0.1314527,-0.3130826
10,1.7198776,1.6211531,"('unsympathetic', 'sympathetic')",1.3681543,0.9574421,0.21037386,-0.02363532,0.5167999,-0.19545569,-0.12672147,-0.40871298,0.7376968,0.3901582,0.3475386
7,1.6810921,1.5660061,"('insensitive', 'sensitive')",0.78743535,0.7041673,0.52312076,0.5042791,0.96021193,0.6023897,0.40174007,0.34184206,0.8707201,0.7437368,0.1269833
12,1.677489,1.816966,"('unsupportive', 'supportive')",0.9647384,1.0035597,0.91088986,0.82552665,-0.23015913,-0.24175754,-1.5672035,-1.7266028,0.3511509,0.3355384,0.0156125
31,-1.6270489,-1.7983396,"('evil', 'good')",-1.6934285,-1.3810841,-2.0605555,-1.8824897,-1.8300525,-1.5406591,-1.03713,-1.2043067,-1.6496431,-1.5613758,-0.0882673
60,1.6265016,1.6019039,"('inefficient', 'efficient')",1.4122244,1.2167062,3.2146413,3.086202,2.4237494,1.7914457,-0.24159248,-0.12135148,1.6871048,1.5149813,0.1721235
65,1.6119617,1.5052656,"('insecure', 'secure')",1.7060858,1.454373,1.8342305,1.6566448,1.6505044,1.1953118,-0.42565745,-0.106851384,1.275425,1.1409487,0.1344763
35,-1.5880654,-1.6340686,"('corrupt', 'incorrupt')",-1.9310821,-1.4793404,-1.8832535,-1.7523209,-1.4388226,-0.97774297,0.11344854,0.029133484,-1.345555,-1.1628679,-0.1826871
30,1.5565252,1.7161634,"('intolerant', 'tolerant')",0.32430518,0.44064686,1.66424,1.5948639,1.567177,1.3955421,0.8693305,0.9960592,1.1963156,1.2286551,-0.0323395
62,1.5418464,1.808183,"('incompetent', 'brilliant')",0.5216126,0.7044032,1.3762444,1.4704252,1.3748798,1.1408789,-0.5364308,-0.31112164,0.8556305,0.9625537,-0.1069232
4,-1.5339411,-1.5298575,"('disliked', 'liked')",-1.8552104,-1.5679336,-1.9052337,-1.7873889,-0.88988256,-0.7174298,-4.8405867,-5.035661,-2.2049709,-2.1276543,-0.0773166
83,1.4612325,1.4816613,"('powerless', 'powerful')",0.5918946,0.6618395,0.6974295,0.6848158,-0.54909015,-0.4713448,-0.8979958,-0.9731161,0.2606941,0.2767712,-0.0160771
34,1.4610175,1.5983746,"('mean', 'honorable')",0.21942006,0.12656483,0.7674096,0.7916074,-0.19593756,-0.15587114,5.0038204,5.0722103,1.4511459,1.4865772,-0.0354313
61,1.4064269,1.3392875,"('illogical', 'logical')",0.18791771,0.07782632,1.673819,1.5174516,0.57244664,0.3201123,0.035584267,-0.088629976,0.7752389,0.6332096,0.1420293
75,-1.3968261,-0.91170496,"('meek', 'impulsive')",-1.6244946,-1.2641422,-0.9781232,-0.6495899,-0.5058161,-0.067124866,-0.4861665,-0.22386621,-0.9982853,-0.6232856,-0.3749997
24,1.3712358,1.4240953,"('dishonest', 'honest')",0.627558,0.72885543,0.44920155,0.30252373,0.2031509,0.117809616,0.70298076,0.58407813,0.6708254,0.6314724,0.039353
11,1.3664414,1.3200108,"('unhelpful', 'helpful')",1.1357272,0.98407173,2.5157492,2.41906,0.5589747,0.46140954,1.6844028,1.5781204,1.4522591,1.3525345,0.0997246
78,1.2984484,1.2151246,"('nonresilient', 'resilient')",-0.18572298,-0.5134904,0.05249971,-0.09512153,-0.6233579,-0.8072191,0.21934107,0.14834335,0.1522417,-0.0104726,0.1627143
5,-1.2632985,-1.1552545,"('distant', 'outgoing')",-2.2388375,-1.9617467,-1.0848581,-1.0066695,-1.5755957,-1.1361368,-0.29096594,-0.30699506,-1.2907112,-1.1133605,-0.1773507
28,1.2538865,0.97786945,"('disloyal', 'loyal')",0.777022,0.6511474,0.27449697,0.0041247495,-0.25898707,-0.6043976,1.2222351,0.82180464,0.6537308,0.3701097,0.2836211
13,1.2142677,0.9579844,"('impolite', 'polite')",1.3408408,1.2219303,1.7326779,1.5069407,1.5321826,1.2376034,-0.3091637,-0.1990367,1.1021611,0.9450844,0.1570767
6,-1.1827683,-1.1799277,"('distant', 'open')",-2.1978524,-1.8718412,-1.324465,-1.2374803,-1.8519619,-1.4824204,0.46659458,0.31469238,-1.2180906,-1.0913954,-0.1266952
9,1.1587712,0.9170059,"('unaffectionate', 'caring')",-0.8457634,-0.86266667,0.06889178,-0.13268138,-2.0700588,-2.0540905,1.0786921,0.8300858,-0.1218934,-0.2604694,0.138576
29,-1.132082,-1.0419875,"('unfair', 'fair')",-0.7613747,-0.66636825,-0.7921041,-0.6399358,-0.5560769,-0.6118473,-0.72918785,-0.7120757,-0.7941651,-0.7344429,-0.0597222
43,1.0818083,1.2122219,"('irresponsible', 'responsible')",0.711895,0.70599127,1.2160772,1.100473,0.29735208,0.18541592,0.36122018,0.3864544,0.7336705,0.7181113,0.0155592
56,1.0672225,1.2763978,"('impractical', 'practical')",1.3301928,1.2704126,1.8405321,1.8154739,0.94327474,0.8498605,-0.4070408,-0.3470015,0.9548363,0.9730287,-0.0181924
68,-1.0526209,-1.0756863,"('dependent', 'independent')",-0.026163913,-0.12142653,-0.41721886,-0.45206833,-0.28693733,-0.5048194,-0.7479493,-0.7720176,-0.506178,-0.5852036,0.0790256
46,1.010995,1.1174996,"('uncompetitive', 'competitive')",2.2020857,1.8744625,1.5457718,1.3675427,1.8165575,1.1867709,-0.07529734,-0.2070173,1.3000226,1.0678516,0.232171
21,0.98577005,0.9833205,"('immoral', 'moral')",1.8091462,1.5698786,0.99093705,0.8865616,1.8673744,1.3582976,-0.95860165,-0.966166,0.9389253,0.7663785,0.1725468
74,0.97410697,1.1599112,"('undedicated', 'dedicated')",0.9301623,1.0818918,0.28479537,0.21726935,0.6860254,0.48756358,0.61922514,0.46935177,0.698863,0.6831975,0.0156655
16,-0.96243685,-1.0887495,"('unpopular', 'popular')",-0.7833705,-0.74100184,-0.7610984,-0.6681379,-1.4347697,-1.1189368,0.65455097,0.6673813,-0.6574249,-0.589889,-0.0675359
38,0.91579354,0.96086234,"('untruthful', 'truthful')",0.105296746,0.21849293,0.5659997,0.57628125,-1.059954,-0.85550773,-0.112735316,-0.29542544,0.0828801,0.1209407,-0.0380606
