,avon_male,avon_female,tuple,products_male,products_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.5408545,-3.197468,"('evil', 'good')",-1.6887211,-1.7889726,-1.5888772,-1.7385498,-1.9394843,-2.2416635,0.3021792
36,-2.387367,-3.059965,"('hostile', 'amicable')",-2.3552663,-2.3847687,-0.5112774,-0.62793136,-1.7513035,-2.0242217,0.2729182
56,2.3657432,2.8141334,"('impractical', 'practical')",2.277639,2.5682118,0.47507733,0.6147932,1.7061531,1.9990462,-0.2928931
60,2.1062121,2.740137,"('inefficient', 'efficient')",2.4106553,2.6167114,0.5684531,0.6060954,1.6951068,1.987648,-0.2925412
81,1.8536211,2.3702235,"('submissive', 'aggressive')",1.5297699,1.3521011,0.26414233,0.23619318,1.2158444,1.3195059,-0.1036615
46,1.8283849,2.4745684,"('uncompetitive', 'competitive')",1.8554194,2.1290388,0.5615329,0.8733108,1.4151123,1.8256394,-0.4105271
52,-1.7719514,-2.5333226,"('irrational', 'rational')",-1.0500354,-1.2416947,-0.54107386,-0.78001404,-1.1210202,-1.5183438,0.3973236
35,-1.6604136,-2.2386842,"('corrupt', 'incorrupt')",-1.3286929,-1.6298349,-0.86839586,-1.205269,-1.2858342,-1.6912627,0.4054285
44,-1.6275975,-1.7906582,"('prejudiced', 'unprejudiced')",-0.9613527,-1.2318302,-1.707717,-1.8256092,-1.4322224,-1.6160326,0.1838102
10,1.6224318,2.3154118,"('unsympathetic', 'sympathetic')",0.56022453,0.7832438,0.24303906,0.74292916,0.8085651,1.2805283,-0.4719632
29,-1.5928619,-1.6776378,"('unfair', 'fair')",-0.9429074,-0.884146,-0.81391084,-0.6885597,-1.11656,-1.0834479,-0.0331121
6,-1.5789131,-1.9427627,"('distant', 'open')",-1.2821229,-1.3567936,-0.052896738,-0.24403274,-0.9713109,-1.1811964,0.2098855
71,1.5755619,1.4840522,"('diffident', 'self-confident')",0.24430372,0.49492735,0.15824589,0.3290602,0.6593705,0.7693466,-0.1099761
74,1.5480694,1.7837508,"('undedicated', 'dedicated')",0.8667974,1.118718,0.3991445,0.8384152,0.9380037,1.2469613,-0.3089576
85,-1.5291014,-2.457829,"('insignificant', 'prestigious')",-1.212635,-1.281815,-0.18560329,-0.45453882,-0.9757799,-1.398061,0.4222811
13,1.5210085,2.0098646,"('impolite', 'polite')",0.30288172,0.58033603,-0.06361696,-0.007991724,0.5867577,0.8607363,-0.2739786
30,1.4848187,1.78299,"('intolerant', 'tolerant')",0.77593356,0.8217912,0.90392554,1.0079274,1.0548925,1.2042362,-0.1493437
69,-1.4532343,-1.671892,"('lazy', 'industrious')",0.8077419,0.8036504,-0.42993504,-0.6814759,-0.3584758,-0.5165725,0.1580967
16,-1.4281639,-1.9375798,"('unpopular', 'popular')",-0.11679308,-0.2914554,0.5061766,0.28229013,-0.3462601,-0.648915,0.3026549
73,1.4177659,1.186841,"('helpless', 'self-reliant')",0.56200284,0.5459584,-2.999293,-3.188372,-0.3398414,-0.4851908,0.1453494
86,1.3978845,1.7497448,"('uninfluential', 'influential')",0.07206699,0.3254742,0.28127658,0.6979506,0.5837427,0.9243898,-0.3406471
12,1.3901564,1.2715759,"('unsupportive', 'supportive')",0.54520804,0.5691467,-1.1797771,-0.91732466,0.2518624,0.3077993,-0.0559369
79,-1.3278584,-1.6574831,"('wavering', 'unwavering')",-1.2900589,-1.1520014,0.06640956,-0.033470534,-0.8505026,-0.9476517,0.0971491
