,cisco_male,cisco_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,male-female
85,3.7197797,3.39588,"('insignificant', 'prestigious')",1.5267367,1.2732633,0.5311278,0.26356214,1.9258814,1.6442351,0.2816463
1,3.3379586,2.8897905,"('unfriendly', 'friendly')",0.79825866,0.4164385,1.3703449,1.0808245,1.8355207,1.4623512,0.3731695
6,3.0492265,2.9330542,"('distant', 'open')",0.046044216,0.018024981,0.16614294,-0.013922282,1.0871379,0.9790523,0.1080856
71,2.8558145,2.8863792,"('diffident', 'self-confident')",0.6668616,0.65460414,0.5706191,0.62497294,1.3644317,1.3886522,-0.0242205
70,-2.7569904,-2.4074955,"('lethargic', 'energetic')",-1.8732214,-1.633213,0.16256735,0.5003338,-1.4892149,-1.1801249,-0.30909
36,2.7070136,2.1439748,"('hostile', 'amicable')",0.51156604,0.01579883,0.6175452,0.14451899,1.2787083,0.7680976,0.5106107
5,2.5273502,2.4281285,"('distant', 'outgoing')",-0.2692545,-0.17257066,-0.5709739,-0.7809504,0.562374,0.4915358,0.0708382
26,2.5207624,2.255242,"('hardhearted', 'benevolent')",-0.3922268,-0.5634034,1.1684728,1.1043555,1.0990028,0.9320647,0.1669381
33,2.412134,2.160673,"('wrong', 'right')",0.94044155,0.6531798,-0.31529778,-0.7089448,1.0124259,0.701636,0.3107899
10,-2.4041972,-2.3197708,"('unsympathetic', 'sympathetic')",-1.444081,-1.4125154,-0.32583028,-0.1689398,-1.3913695,-1.3004087,-0.0909608
81,-2.337996,-2.1094015,"('submissive', 'aggressive')",-1.4446293,-1.1342921,-0.64280975,-0.31200698,-1.475145,-1.1852335,-0.2899115
52,2.3137271,1.7525703,"('irrational', 'rational')",0.4434744,0.18555892,-0.29137787,-0.69786584,0.8219413,0.4134211,0.4085202
3,-2.3091097,-2.3307512,"('repellent', 'pleasant')",0.3199578,0.23265553,0.2662246,0.21642062,-0.5743091,-0.627225,0.0529159
59,2.2999125,2.242407,"('foolish', 'wise')",0.21935263,0.032716807,-0.18624826,-0.42753455,0.7776723,0.6158631,0.1618092
64,-2.1447182,-2.082902,"('shy', 'confident')",-0.8335196,-0.8335894,-5.8801417,-5.965693,-2.9527931,-2.960728,0.0079349
76,-2.0491781,-1.8294328,"('anxious', 'daring')",-1.8512706,-1.5530741,0.25294763,0.67234933,-1.2158337,-0.9033858,-0.3124479
80,-2.0174696,-1.8956355,"('dominated', 'dominating')",-0.5683108,-0.30755654,-0.9553224,-0.7363697,-1.1803676,-0.9798539,-0.2005137
46,-2.01086,-1.6202188,"('uncompetitive', 'competitive')",0.49073946,0.6919486,-0.11881301,-0.053296223,-0.5463112,-0.3271888,-0.2191224
