,harman_male,harman_female,tuple,intl_male,intl_female,inds_male,inds_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.9056859,-1.860371,"('unsympathetic', 'sympathetic')",-1.615526,-1.7254347,-0.58373064,-1.001817,-0.2539124,-0.20843197,-1.0897137,-1.1990137,0.1093
48,-1.730708,-1.8583641,"('unintelligent', 'intelligent')",-1.2917261,-1.46175,-0.3431394,-0.58643544,0.11253041,0.005485342,-0.8132608,-0.975266,0.1620052
24,-1.5988436,-1.6083422,"('dishonest', 'honest')",-1.0326691,-1.107206,-0.38575727,-0.5941303,0.70273817,0.6804889,-0.578633,-0.6572974,0.0786644
3,-1.5972941,-1.6947361,"('repellent', 'pleasant')",-0.28924945,-0.37927103,0.1350185,-0.072873436,0.3198132,0.36673766,-0.357928,-0.4450357,0.0871077
21,-1.5340198,-1.3572737,"('immoral', 'moral')",-1.2428656,-1.1483537,-0.46450752,-0.50169235,-1.1369557,-1.1850569,-1.0945872,-1.0480942,-0.046493
86,-1.4462439,-1.7526445,"('uninfluential', 'influential')",-1.616833,-1.8884848,-1.3647524,-1.8713132,-0.23189004,-0.54051214,-1.1649299,-1.5132387,0.3483088
76,-1.4027652,-0.7963537,"('anxious', 'daring')",0.19150133,0.52645224,0.62906134,0.79497164,-0.0657429,0.25998464,-0.1619863,0.1962637,-0.35825
60,-1.3713044,-1.3306875,"('inefficient', 'efficient')",-0.74481636,-0.5870207,0.9934301,0.81802434,-0.6149645,-0.28017852,-0.4344138,-0.3449656,-0.0894482
81,-1.3650671,-0.96044517,"('submissive', 'aggressive')",-0.29468352,0.21450144,0.6344945,0.7378751,-1.3039113,-0.81117076,-0.5822918,-0.2048098,-0.377482
57,-1.3578312,-1.1658026,"('unimaginative', 'imaginative')",-0.5496065,-0.54134905,-0.3036119,-0.5253333,-2.2155123,-2.4463425,-1.1066406,-1.1697068,0.0630662
32,-1.325161,-1.2746979,"('unkind', 'kind')",-0.02892745,-0.14953667,0.6787967,0.6206035,0.77435106,0.88971627,0.0247648,0.0215213,0.0032435
46,-1.2727433,-1.1397837,"('uncompetitive', 'competitive')",-1.2307717,-1.1009576,-0.7361942,-0.9750736,-0.5775614,-0.57432944,-0.9543176,-0.9475361,-0.0067815
77,-1.2688366,-1.3133402,"('unmotivated', 'motivated')",-0.8168442,-0.80302805,-0.6081567,-0.73679566,-1.1782241,-1.1766716,-0.9680154,-1.0074589,0.0394435
35,1.258988,1.2430377,"('corrupt', 'incorrupt')",0.79042476,0.5566047,-0.27463093,-0.2803639,0.14289229,-0.061093602,0.4794185,0.3645462,0.1148723
1,-1.2347611,-1.5960025,"('unfriendly', 'friendly')",-1.6144766,-2.0900373,-1.5963302,-1.9763184,1.7842712,1.4493607,-0.6653242,-1.0532494,0.3879252
