,corning_male,corning_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-1.8219347,-1.8446395,"('unfriendly', 'friendly')",1.6367611,1.497338,-0.0925868,-0.1736507,0.0810639
31,-1.6921283,-1.693011,"('evil', 'good')",-1.034403,-1.2690698,-1.3632656,-1.4810405,0.1177749
53,-1.5724379,-1.3094327,"('uncreative', 'creative')",0.40863556,0.5472512,-0.5819012,-0.3810908,-0.2008104
5,-1.5697703,-1.3714712,"('distant', 'outgoing')",-0.42638752,-0.17059779,-0.9980789,-0.7710345,-0.2270444
36,-1.5662564,-1.5022799,"('hostile', 'amicable')",-0.20359994,-0.26068413,-0.8849282,-0.881482,-0.0034462
39,1.5186192,1.243141,"('exploitative', 'cooperative')",0.09450871,0.16235912,0.806564,0.7027501,0.1038139
6,-1.5078512,-1.2630633,"('distant', 'open')",0.16636083,0.28308362,-0.6707452,-0.4899898,-0.1807554
18,-1.387991,-1.3692031,"('disagreeable', 'welcoming')",-0.5773282,-0.67874753,-0.9826596,-1.0239754,0.0413158
88,-1.1790092,-1.4094851,"('low', 'eminent')",0.3207891,0.18989302,-0.4291101,-0.609796,0.1806859
16,-1.1028198,-1.0874606,"('unpopular', 'popular')",0.005060591,-0.20807615,-0.5488796,-0.6477684,0.0988888
80,1.0525184,1.2176373,"('dominated', 'dominating')",-1.1025766,-1.0480883,-0.0250291,0.0847745,-0.1098036
70,0.99051017,1.1670653,"('lethargic', 'energetic')",0.93609756,1.0377101,0.9633039,1.1023877,-0.1390838
42,0.9690412,1.534893,"('unreliable', 'reliable')",-2.6381297,-2.5595946,-0.8345442,-0.5123508,-0.3221934
86,-0.95921814,-1.0933299,"('uninfluential', 'influential')",0.008592837,-0.36735925,-0.4753127,-0.7303446,0.2550319
68,-0.9287328,-0.8761899,"('dependent', 'independent')",-0.53874326,-0.70155483,-0.7337381,-0.7888724,0.0551343
37,0.88806134,0.7976672,"('fake', 'genuine')",0.75013953,0.756297,0.8191004,0.7769821,0.0421183
