,staples_male,staples_female,tuple,inc_male,inc_female,average_male,average_female,male-female
64,-1.9657667,-2.0543213,"('shy', 'confident')",-7.323659,-7.1615663,-4.6447129,-4.6079435,-0.0367694
87,1.7324013,1.9072365,"('unsuccessful', 'successful')",0.7988512,0.94735414,1.2656262,1.4272953,-0.1616691
25,1.6690282,1.6056219,"('egoistic', 'altruistic')",1.72275,1.7262772,1.695889,1.6659496,0.0299394
12,1.6318766,1.642999,"('unsupportive', 'supportive')",-1.5698512,-1.4855506,0.0310127,0.0787242,-0.0477115
71,1.630827,1.6076322,"('diffident', 'self-confident')",0.5224086,0.4726056,1.0766177,1.0401189,0.0364988
9,1.5572855,1.5948464,"('unaffectionate', 'caring')",1.1499339,1.0678124,1.3536098,1.3313293,0.0222805
74,1.5387787,1.6107497,"('undedicated', 'dedicated')",-0.08036784,0.032230355,0.7292054,0.82149,-0.0922846
60,1.435497,1.6232492,"('inefficient', 'efficient')",0.11515644,0.27903342,0.7753267,0.9511413,-0.1758146
56,1.4133724,1.5304482,"('impractical', 'practical')",-0.5403601,-0.2672584,0.4365062,0.6315949,-0.1950887
75,-1.3659075,-1.4108527,"('meek', 'impulsive')",-0.37630755,-0.52295995,-0.8711076,-0.9669063,0.0957987
1,1.356985,1.4821874,"('unfriendly', 'friendly')",1.8386871,1.8009601,1.597836,1.6415737,-0.0437377
61,1.3102084,1.3366286,"('illogical', 'logical')",0.19477093,0.15963283,0.7524897,0.7481307,0.004359
27,1.2803627,1.446653,"('hardhearted', 'softhearted')",1.4602592,1.2666926,1.370311,1.3566728,0.0136382
78,1.254134,1.1469103,"('nonresilient', 'resilient')",0.27515918,0.36702725,0.7646466,0.7569688,0.0076778
26,1.2063075,1.1855341,"('hardhearted', 'benevolent')",1.3380659,1.354383,1.2721868,1.2699585,0.0022283
39,1.2045557,1.2581754,"('exploitative', 'cooperative')",0.007917888,0.18984944,0.6062368,0.7240124,-0.1177756
35,-1.104791,-1.264385,"('corrupt', 'incorrupt')",-0.09566766,-0.24527314,-0.6002294,-0.754829,0.1545996
62,1.0608431,1.1664815,"('incompetent', 'brilliant')",0.29489362,0.45187148,0.6778684,0.8091765,-0.1313081
33,1.0441631,0.97200716,"('wrong', 'right')",-0.35986963,-0.4528001,0.3421468,0.2596035,0.0825433
80,1.0253143,1.0673586,"('dominated', 'dominating')",-1.0876688,-0.9059863,-0.0311772,0.0806862,-0.1118634
44,-1.0204108,-0.8398631,"('prejudiced', 'unprejudiced')",-1.5654153,-1.3397888,-1.292913,-1.089826,-0.203087
23,0.984293,1.1613598,"('insincere', 'sincere')",6.0442758,6.03069,3.5142844,3.596025,-0.0817406
66,-0.9489533,-0.9419079,"('inactive', 'active')",0.6928941,0.54271865,-0.1280296,-0.1995946,0.071565
48,0.92687,0.9037505,"('unintelligent', 'intelligent')",0.547317,0.65850234,0.7370935,0.7811264,-0.0440329
0,0.89713085,0.9821503,"('unsociable', 'sociable')",-0.3704966,-0.49624527,0.2633171,0.2429525,0.0203646
31,-0.8956808,-1.0692583,"('evil', 'good')",-0.5514921,-0.6377576,-0.7235864,-0.853508,0.1299216
16,-0.8576838,-0.8694036,"('unpopular', 'popular')",0.3394711,0.28706926,-0.2591063,-0.2911672,0.0320609
4,-0.85099006,-1.0614644,"('disliked', 'liked')",-6.644782,-6.621938,-3.7478862,-3.8417013,0.0938151
76,0.8481376,1.128687,"('anxious', 'daring')",0.24273041,0.4133569,0.545434,0.771022,-0.225588
68,-0.83981436,-0.7700794,"('dependent', 'independent')",-0.18134819,-0.15718673,-0.5105813,-0.4636331,-0.0469482
47,0.8333027,0.8053522,"('stupid', 'smart')",5.372329,5.2434354,3.1028159,3.0243938,0.0784221
10,0.803314,0.9153426,"('unsympathetic', 'sympathetic')",-0.5459203,-0.42941386,0.1286968,0.2429644,-0.1142676
7,0.7336831,0.69290835,"('insensitive', 'sensitive')",0.94711506,0.81682694,0.8403991,0.7548677,0.0855314
29,-0.69712484,-0.7288101,"('unfair', 'fair')",-0.24681725,-0.2823551,-0.471971,-0.5055826,0.0336116
41,0.69510484,0.6786694,"('unforgiving', 'forgiving')",-0.17372555,-0.2542372,0.2606896,0.2122161,0.0484735
19,-0.6926693,-0.4101059,"('inhospitable', 'hospitable')",0.054673187,0.10574583,-0.318998,-0.15218,-0.166818
67,-0.6712427,-0.6796442,"('doubtful', 'determined')",-0.7654225,-0.62546015,-0.7183326,-0.6525522,-0.0657804
85,0.6521752,0.68027353,"('insignificant', 'prestigious')",0.4400701,0.49660543,0.5461227,0.5884395,-0.0423168
45,0.63961023,0.36442176,"('incompetent', 'competent')",-0.08249782,-0.31901613,0.2785562,0.0227028,0.2558534
46,0.6366167,0.69464356,"('uncompetitive', 'competitive')",-0.7371106,-0.6534924,-0.050247,0.0205756,-0.0708226
65,0.6116176,0.5634568,"('insecure', 'secure')",-0.6149551,-0.5399216,-0.0016688,0.0117676,-0.0134364
54,0.61104697,0.81160784,"('incapable', 'capable')",1.2874074,1.4126621,0.9492272,1.1121349,-0.1629077
40,0.6110235,0.34641412,"('stingy', 'generous')",-1.3208444,-1.4788119,-0.3549105,-0.5661989,0.2112884
32,0.59596753,0.72096914,"('unkind', 'kind')",0.98164886,0.9607004,0.7888082,0.8408347,-0.0520265
63,0.59452266,0.815202,"('unperceptive', 'insightful')",1.0251267,1.1265308,0.8098247,0.9708664,-0.1610417
86,0.591707,0.60549927,"('uninfluential', 'influential')",0.07122323,0.0050143227,0.3314651,0.3052568,0.0262083
34,0.54475105,0.7074554,"('mean', 'honorable')",6.1710553,6.1788692,3.3579032,3.4431624,-0.0852592
13,0.5226079,0.6818538,"('impolite', 'polite')",-0.4732873,-0.44726986,0.0246603,0.117292,-0.0926317
30,0.4994266,0.36100113,"('intolerant', 'tolerant')",0.9648663,0.97494364,0.7321464,0.6679724,0.064174
72,0.48647073,0.3871617,"('unambitious', 'ambitious')",-0.49325615,-0.6246483,-0.0033927,-0.1187433,0.1153506
79,-0.48487556,-0.44716612,"('wavering', 'unwavering')",0.274414,0.38989136,-0.1052308,-0.0286374,-0.0765934
