,el_male,el_female,tuple,paso_male,paso_female,corp_male,corp_female,average_male,average_female,male-female
86,-2.3429854,-2.445085,"('uninfluential', 'influential')",-1.168946,-1.097106,-0.31122863,-0.69397783,-1.2743867,-1.4120563,0.1376696
45,-2.2480981,-2.461289,"('incompetent', 'competent')",-1.1663382,-1.3075501,-0.09370758,-0.27900973,-1.1693813,-1.3492829,0.1799016
28,-2.0710998,-2.2535489,"('disloyal', 'loyal')",-0.06294544,0.0071749464,0.6267501,0.21979892,-0.5024317,-0.675525,0.1730933
10,-2.0278058,-2.0875483,"('unsympathetic', 'sympathetic')",-1.2292967,-1.3612381,-0.49306685,-0.81047213,-1.2500564,-1.4197528,0.1696964
8,-1.9953644,-1.6674743,"('unaffectionate', 'affectionate')",0.36724946,0.6746425,0.29215476,0.17247486,-0.44532,-0.2734523,-0.1718677
1,-1.892868,-1.7713298,"('unfriendly', 'friendly')",0.53536916,0.66120976,1.1092421,0.94398934,-0.0827523,-0.0553769,-0.0273754
65,-1.8131878,-1.6065241,"('insecure', 'secure')",-0.6616898,-0.66485673,-0.065847814,-0.25760013,-0.8469085,-0.8429937,-0.0039148
0,-1.5930839,-1.8317444,"('unsociable', 'sociable')",-0.50477153,-0.72951084,-0.2557578,-0.41945708,-0.7845377,-0.9935708,0.2090331
55,-1.5906427,-1.7264962,"('incompetent', 'clever')",-0.8126153,-0.9682277,0.57538766,0.19217604,-0.60929,-0.8341826,0.2248926
47,-1.579389,-1.4414785,"('stupid', 'smart')",-1.5637596,-1.3862338,5.031431,4.4676,0.6294276,0.5466292,0.0827984
22,-1.573662,-1.5423776,"('untrustworthy', 'trustworthy')",-0.89147526,-0.853465,-1.0074116,-1.1697581,-1.1575163,-1.1885335,0.0310172
14,-1.547393,-1.6305125,"('antisocial', 'social')",-1.0438542,-1.216311,0.15916122,0.13554144,-0.8106953,-0.9037607,0.0930654
43,-1.3683466,-1.151519,"('irresponsible', 'responsible')",-0.837889,-0.687938,0.5497957,0.58030564,-0.5521467,-0.4197171,-0.1324296
41,-1.348068,-1.4667574,"('unforgiving', 'forgiving')",-0.4251541,-0.5207383,-0.29812345,-0.34938985,-0.6904485,-0.7789618,0.0885133
26,-1.3303556,-1.2885375,"('hardhearted', 'benevolent')",0.66793245,0.7458469,1.6770993,1.6822475,0.3382254,0.3798523,-0.0416269
48,-1.3104098,-1.5505958,"('unintelligent', 'intelligent')",-0.023504563,-0.2240795,0.9731242,0.687679,-0.1202634,-0.3623321,0.2420687
61,-1.3002648,-1.3759512,"('illogical', 'logical')",-0.3556357,-0.26980838,0.8444391,0.7430262,-0.2704871,-0.3009111,0.030424
9,-1.2730113,-1.1816236,"('unaffectionate', 'caring')",0.692698,0.9029963,1.083423,0.85156834,0.1677032,0.1909804,-0.0232772
21,-1.2481285,-1.2619135,"('immoral', 'moral')",-1.698273,-1.6928086,-0.041973047,-0.3709432,-0.9961249,-1.1085552,0.1124303
30,-1.2375795,-1.0855546,"('intolerant', 'tolerant')",-0.6740653,-0.49717772,0.79309857,0.9584889,-0.3728487,-0.2080811,-0.1647676
32,-1.1996806,-1.2256923,"('unkind', 'kind')",-0.22937642,-0.3014366,0.5550452,0.35160527,-0.2913373,-0.3918412,0.1005039
15,-1.1688825,-0.78954256,"('boring', 'funny')",0.009214224,0.4583337,0.17560461,0.32660052,-0.3280212,-0.0015361,-0.3264851
75,1.1609313,1.2419503,"('meek', 'impulsive')",-0.089401364,-0.07295211,-0.73572,-0.5038045,0.1119367,0.2217312,-0.1097945
24,-1.1581392,-1.1105008,"('dishonest', 'honest')",0.12251708,0.3482625,0.68655246,0.6035823,-0.1163566,-0.0528853,-0.0634713
77,-1.1220869,-1.2303361,"('unmotivated', 'motivated')",-0.12757221,-0.1926552,-0.74460965,-0.85798144,-0.6647562,-0.7603242,0.095568
37,-1.089257,-1.1229664,"('fake', 'genuine')",-0.039002165,-0.013466146,-0.06634349,-0.16671446,-0.3982009,-0.4343823,0.0361814
63,-1.0830532,-1.5530275,"('unperceptive', 'insightful')",0.09473772,-0.09498331,0.44481695,0.06451128,-0.1811662,-0.5278332,0.346667
60,-1.082084,-1.1768072,"('inefficient', 'efficient')",-0.21676067,-0.35128084,0.38284945,0.18450177,-0.3053317,-0.4478621,0.1425304
44,1.0794123,1.1527802,"('prejudiced', 'unprejudiced')",-0.47401366,-0.45361814,-1.5004053,-1.1326953,-0.2983356,-0.1445111,-0.1538245
31,-1.0589211,-0.74410915,"('evil', 'good')",0.4678275,0.6218007,-0.89900666,-0.7402681,-0.4967001,-0.2875255,-0.2091746
23,-1.0014126,-1.120023,"('insincere', 'sincere')",-0.3150076,-0.32506394,5.588223,4.7671814,1.4239343,1.1073648,0.3165695
11,-0.96533513,-0.98745424,"('unhelpful', 'helpful')",-1.0225666,-1.0080545,1.6500843,1.5090888,-0.1126058,-0.16214,0.0495342
81,-0.95518416,-0.7451743,"('submissive', 'aggressive')",-1.7810931,-1.714528,-0.27245682,-0.1625388,-1.0029114,-0.8740803,-0.1288311
12,-0.9426819,-0.74804306,"('unsupportive', 'supportive')",0.19597034,0.25503635,-1.7117025,-1.5273755,-0.8194714,-0.6734607,-0.1460107
19,-0.9426525,-0.61868846,"('inhospitable', 'hospitable')",0.28123343,0.67488617,-0.7947194,-0.6607966,-0.4853795,-0.201533,-0.2838465
17,-0.8871104,-0.8235887,"('nasty', 'nice')",-0.059686407,-0.0922971,-0.3807669,-0.40026507,-0.4425213,-0.438717,-0.0038043
56,-0.87642395,-0.7605403,"('impractical', 'practical')",-0.08418532,-0.04911859,0.0029825103,-0.020980183,-0.3192089,-0.2768797,-0.0423292
7,-0.8656005,-0.98803705,"('insensitive', 'sensitive')",-0.33864912,-0.49389085,0.65300894,0.30219367,-0.1837469,-0.3932447,0.2094978
57,-0.83915555,-0.893108,"('unimaginative', 'imaginative')",-1.0286474,-0.9340333,-3.1216254,-2.7172642,-1.6631428,-1.5148018,-0.148341
73,0.8178331,1.0934509,"('helpless', 'self-reliant')",0.84419,0.9839268,-2.8528614,-2.4163866,-0.3969461,-0.1130029,-0.2839432
83,-0.8128565,-0.9075787,"('powerless', 'powerful')",-0.3584882,-0.47738189,-0.6935972,-0.8042682,-0.6216473,-0.7297429,0.1080956
52,-0.8123219,-0.6428728,"('irrational', 'rational')",0.74658483,0.8142146,-0.2794884,-0.07026073,-0.1150752,0.0336937,-0.1487689
49,-0.7610712,-0.8654043,"('unable', 'able')",-0.11704534,-0.14636551,-0.5676624,-0.7226152,-0.4819263,-0.5781283,0.096202
39,-0.7605999,-0.5468575,"('exploitative', 'cooperative')",0.1753709,0.4416512,0.4917428,0.4949081,-0.0311621,0.1299006,-0.1610627
76,0.7557002,0.72162986,"('anxious', 'daring')",-0.13772523,-0.14971913,0.23628324,-0.0450751,0.2847527,0.1756119,0.1091408
88,-0.7520614,-0.6623305,"('low', 'eminent')",-0.2931442,-0.15753254,-0.38996086,-0.56377244,-0.4783888,-0.4612118,-0.017177
53,-0.7156279,-0.59825087,"('uncreative', 'creative')",-0.52057743,-0.35134378,0.10978328,-0.030160118,-0.375474,-0.3265849,-0.0488891
36,-0.7104162,-0.4541762,"('hostile', 'amicable')",0.21970436,0.46227396,-0.9010447,-0.8349449,-0.4639188,-0.2756157,-0.1883031
62,-0.66960657,-0.654384,"('incompetent', 'brilliant')",-1.0095158,-1.0309865,0.737973,0.7363555,-0.3137165,-0.3163384,0.0026219
58,-0.6482963,-0.94147784,"('undiscriminating', 'discriminating')",0.43230706,0.1559782,0.20846568,-0.022669308,-0.0025079,-0.2693896,0.2668817
20,-0.63558966,-1.0115263,"('rough', 'thoughtful')",0.07710931,-0.27276477,0.7101748,0.58541405,0.0505648,-0.232959,0.2835238
29,-0.63197184,-0.7072183,"('unfair', 'fair')",0.3220752,0.22817922,-0.13610776,-0.23231512,-0.1486681,-0.2371181,0.08845
4,0.628105,0.38344583,"('disliked', 'liked')",0.6232249,0.6155059,-6.953191,-6.0247455,-1.9006203,-1.6752647,-0.2253556
82,-0.62618965,-0.83812344,"('poor', 'rich')",-0.7180762,-0.7310718,5.7344837,4.904693,1.4634059,1.1118326,0.3515733
