,kroger_male,kroger_female,tuple,company_male,company_female,average_male,average_female,male-female
10,-2.1722023,-2.094295,"('unsympathetic', 'sympathetic')",0.7241235,0.3437606,-0.7240394,-0.8752672,0.1512278
57,-1.9512484,-1.9382229,"('unimaginative', 'imaginative')",-2.689103,-2.9027147,-2.3201756,-2.4204688,0.1002932
53,-1.5894817,-1.5382495,"('uncreative', 'creative')",0.1071436,0.15273632,-0.741169,-0.6927566,-0.0484124
86,-1.2891896,-1.4195782,"('uninfluential', 'influential')",0.15775682,-0.23535502,-0.5657164,-0.8274666,0.2617502
1,-1.2555971,-1.3354359,"('unfriendly', 'friendly')",1.1539167,1.1346341,-0.0508402,-0.1004009,0.0495607
41,-1.2235758,-1.0389524,"('unforgiving', 'forgiving')",0.29668468,0.3565481,-0.4634456,-0.3412021,-0.1222435
73,1.2044094,1.278396,"('helpless', 'self-reliant')",-3.2064722,-3.1373394,-1.0010314,-0.9294717,-0.0715597
7,-1.1936631,-0.98365694,"('insensitive', 'sensitive')",0.70834005,0.5382785,-0.2426615,-0.2226892,-0.0199723
23,-1.1856956,-0.8741095,"('insincere', 'sincere')",6.5260897,6.575277,2.670197,2.8505836,-0.1803866
69,1.1747098,0.91837347,"('lazy', 'industrious')",-1.4734057,-1.3729029,-0.149348,-0.2272647,0.0779167
70,-1.13199,-1.0068578,"('lethargic', 'energetic')",1.0858341,0.8073977,-0.0230779,-0.09973,0.0766521
11,-1.1301258,-0.8712145,"('unhelpful', 'helpful')",2.814866,2.9862885,0.8423702,1.0575371,-0.2151669
3,-1.1192716,-0.8492917,"('repellent', 'pleasant')",0.25941446,0.30061343,-0.4299286,-0.2743391,-0.1555895
88,-1.1163945,-0.9641693,"('low', 'eminent')",0.007817294,0.31788248,-0.5542886,-0.3231434,-0.2311452
35,1.0916619,0.962141,"('corrupt', 'incorrupt')",-1.6690184,-1.514974,-0.2886782,-0.2764165,-0.0122617
14,-1.0914185,-0.650746,"('antisocial', 'social')",0.11147221,0.47362563,-0.4899732,-0.0885602,-0.401413
45,-1.0850042,-0.9103298,"('incompetent', 'competent')",0.55719423,0.41028106,-0.263905,-0.2500244,-0.0138806
12,-1.0676328,-1.1519434,"('unsupportive', 'supportive')",-1.3517833,-1.5774077,-1.209708,-1.3646755,0.1549675
59,1.0192201,1.1554161,"('foolish', 'wise')",-0.39759022,-0.1961937,0.3108149,0.4796112,-0.1687963
43,-1.0024843,-0.6745044,"('irresponsible', 'responsible')",1.4418632,1.3184036,0.2196894,0.3219496,-0.1022602
22,-0.99830115,-1.0793672,"('untrustworthy', 'trustworthy')",-0.4907891,-0.74659044,-0.7445451,-0.9129788,0.1684337
0,-0.99816465,-0.92659163,"('unsociable', 'sociable')",0.5250168,0.2873608,-0.2365739,-0.3196154,0.0830415
51,-0.9944359,-1.0359343,"('uneducated', 'educated')",0.99847126,0.83657664,0.0020177,-0.0996788,0.1016965
61,-0.9413752,-0.8159773,"('illogical', 'logical')",0.0022745766,-0.18099667,-0.4695503,-0.498487,0.0289367
65,-0.92212236,-0.6033692,"('insecure', 'secure')",0.55387807,0.4711674,-0.1841221,-0.0661009,-0.1180212
63,-0.91961884,-0.9910514,"('unperceptive', 'insightful')",1.1376065,0.76313925,0.1089938,-0.1139561,0.2229499
48,-0.8733263,-1.1229657,"('unintelligent', 'intelligent')",1.0903679,0.77497345,0.1085208,-0.1739961,0.2825169
72,-0.8678551,-0.9765981,"('unambitious', 'ambitious')",0.20972034,-0.08795317,-0.3290673,-0.5322756,0.2032083
46,-0.86246234,-0.9534274,"('uncompetitive', 'competitive')",0.40572023,0.03796933,-0.2283711,-0.457729,0.2293579
75,0.8360659,0.6472539,"('meek', 'impulsive')",-1.0935984,-1.0745704,-0.1287662,-0.2136583,0.0848921
28,-0.79586804,-0.5589531,"('disloyal', 'loyal')",1.1385186,1.3709815,0.1713253,0.4060142,-0.2346889
32,-0.75411093,-0.54686165,"('unkind', 'kind')",1.4670544,1.5943315,0.3564717,0.5237349,-0.1672632
78,-0.7448198,-0.9503114,"('nonresilient', 'resilient')",-0.032393344,-0.30157,-0.3886066,-0.6259407,0.2373341
13,-0.74206775,-0.488113,"('impolite', 'polite')",0.7349336,0.6136431,-0.0035671,0.0627651,-0.0663322
24,-0.70077276,-0.57285476,"('dishonest', 'honest')",1.0305791,0.9062761,0.1649032,0.1667107,-0.0018075
30,-0.6683336,-0.22964276,"('intolerant', 'tolerant')",1.1800786,1.4242603,0.2558725,0.5973088,-0.3414363
67,0.661041,0.7824955,"('doubtful', 'determined')",-0.21187074,-0.00058348384,0.2245851,0.390956,-0.1663709
26,-0.653525,-0.6762645,"('hardhearted', 'benevolent')",0.97771525,1.151579,0.1620951,0.2376572,-0.0755621
21,-0.6365149,-0.40188977,"('immoral', 'moral')",0.49545756,0.4420919,-0.0705287,0.0201011,-0.0906298
81,-0.6355148,-0.3114895,"('submissive', 'aggressive')",0.5911801,0.4000451,-0.0221674,0.0442778,-0.0664452
5,0.6217285,0.46322677,"('distant', 'outgoing')",-1.1782792,-1.3189068,-0.2782753,-0.42784,0.1495647
64,-0.6149802,-0.42879355,"('shy', 'confident')",-5.8507032,-5.837947,-3.2328417,-3.1333702,-0.0994715
76,-0.6122395,-0.5253921,"('anxious', 'daring')",0.3027143,0.16155586,-0.1547626,-0.1819181,0.0271555
49,-0.60874355,-0.3787907,"('unable', 'able')",0.030282978,0.22907016,-0.2892303,-0.0748603,-0.21437
55,-0.6049744,-0.58962995,"('incompetent', 'clever')",1.1900249,1.0102494,0.2925252,0.2103097,0.0822155
9,-0.59381396,-0.55985844,"('unaffectionate', 'caring')",1.2748206,1.2624367,0.3405033,0.3512892,-0.0107859
82,-0.58959764,-0.24341713,"('poor', 'rich')",6.6145263,6.7741513,3.0124643,3.265367,-0.2529027
58,-0.57134247,-0.8104607,"('undiscriminating', 'discriminating')",-0.17430077,-0.37653214,-0.3728216,-0.5934964,0.2206748
25,0.57012105,0.46106806,"('egoistic', 'altruistic')",0.6504107,0.84011656,0.6102659,0.6505923,-0.0403264
68,-0.5506296,-0.83511263,"('dependent', 'independent')",-0.9146982,-1.2416359,-0.7326639,-1.0383743,0.3057104
47,-0.54853857,-0.2867955,"('stupid', 'smart')",5.514923,5.574555,2.4831922,2.6438797,-0.1606875
66,-0.54826975,-1.0372317,"('inactive', 'active')",-0.6050778,-0.93686706,-0.5766737,-0.9870493,0.4103756
15,0.52739793,0.5120139,"('boring', 'funny')",0.57158744,0.7358875,0.5494927,0.6239507,-0.074458
38,-0.51398695,-0.5104685,"('untruthful', 'truthful')",0.20727183,0.3914235,-0.1533576,-0.0595225,-0.0938351
74,-0.47938943,-0.3660051,"('undedicated', 'dedicated')",-0.1943571,-0.15513009,-0.3368733,-0.2605676,-0.0763057
20,-0.47104612,-0.47441503,"('rough', 'thoughtful')",0.79643464,0.7367886,0.1626943,0.1311868,0.0315075
33,0.4677371,0.13958834,"('wrong', 'right')",-0.4701466,-0.638257,-0.0012047,-0.2493343,0.2481296
6,0.44998932,0.18797107,"('distant', 'open')",-1.022888,-1.194211,-0.2864493,-0.5031199,0.2166706
79,-0.44965842,-0.48583424,"('wavering', 'unwavering')",-1.0829843,-0.99961966,-0.7663214,-0.7427269,-0.0235945
37,-0.43797544,-0.5085439,"('fake', 'genuine')",0.5354593,0.17768678,0.0487419,-0.1654286,0.2141705
8,-0.43117866,-0.4450659,"('unaffectionate', 'affectionate')",0.5171205,0.67800707,0.0429709,0.1164706,-0.0734997
85,0.41651046,0.40576068,"('insignificant', 'prestigious')",-1.5365427,-0.93281925,-0.5600161,-0.2635293,-0.2964868
84,0.41457018,0.121171415,"('inferior', 'superior')",0.5294873,0.28368765,0.4720287,0.2024295,0.2695992
62,-0.40949795,-0.15173855,"('incompetent', 'brilliant')",1.7757125,1.6096613,0.6831073,0.7289614,-0.0458541
54,-0.36683255,-0.27568018,"('incapable', 'capable')",1.0327822,1.1101575,0.3329748,0.4172387,-0.0842639
