,abercrombie_male,abercrombie_female,tuple,&_male,&_female,fitch_male,fitch_female,co_male,co_female,average_male,average_female,male-female
10,-3.9802237,-4.078565,"('unsympathetic', 'sympathetic')",-3.0900767,-2.9889915,-2.048235,-1.979539,0.039612357,0.042616673,-2.2697306,-2.2511196,-0.018611
69,3.9122438,3.933791,"('lazy', 'industrious')",3.2303991,3.1976128,2.4179556,2.4915068,-1.1606884,-1.0851663,2.0999775,2.1344361,-0.0344586
45,-3.4381273,-3.436192,"('incompetent', 'competent')",-2.7086513,-2.8114982,-1.8958503,-1.7895057,-0.923738,-0.83611995,-2.2415919,-2.218329,-0.0232629
55,-3.3248434,-3.5113568,"('incompetent', 'clever')",-2.5115871,-2.6205034,-2.6724098,-2.6541364,0.33022827,0.3114178,-2.0446532,-2.1186447,0.0739915
35,3.3107429,3.3558538,"('corrupt', 'incorrupt')",2.3270063,2.2959423,1.5465184,1.4186325,-0.32033765,-0.4069677,1.7159824,1.6658653,0.0501171
86,-3.209918,-3.1403337,"('uninfluential', 'influential')",-2.0289893,-1.9303821,-1.0306218,-1.0068135,-0.36100528,-0.37444377,-1.6576337,-1.6129932,-0.0446405
46,-3.1237378,-3.0721536,"('uncompetitive', 'competitive')",-1.1736541,-1.0326385,-1.0463556,-1.054947,-0.92481923,-0.8582735,-1.5671418,-1.5045031,-0.0626387
60,-2.987752,-3.0772207,"('inefficient', 'efficient')",-2.688229,-2.608122,-1.6555783,-1.6346321,-0.08984327,0.018225912,-1.8553506,-1.8254372,-0.0299134
23,-2.884766,-2.9356117,"('insincere', 'sincere')",-2.8214447,-2.7333338,-0.63561326,-0.6048316,6.238337,5.981374,-0.0258719,-0.0731008,0.0472289
62,-2.879589,-2.682692,"('incompetent', 'brilliant')",-2.4968789,-2.3556626,-1.153135,-1.0267856,-0.03182135,0.124961525,-1.6403559,-1.4850448,-0.1553111
85,2.7766173,2.7709572,"('insignificant', 'prestigious')",2.895988,2.6807575,3.8815327,3.71396,-0.21418434,-0.26333413,2.3349884,2.225585,0.1094034
43,-2.7310402,-2.7659717,"('irresponsible', 'responsible')",-2.596866,-2.5506139,-0.6276697,-0.61299574,0.39219916,0.498142,-1.3908442,-1.3578598,-0.0329844
63,-2.6402175,-2.461488,"('unperceptive', 'insightful')",-0.92894036,-0.7767775,0.22260754,0.4293653,0.24472451,0.25818783,-0.7754564,-0.6376781,-0.1377783
