,navient_male,navient_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.6377091,-2.603738,"('unfriendly', 'friendly')",0.813298,0.57386625,-0.9122056,-1.014936,0.1027304
86,-2.1953151,-2.1270251,"('uninfluential', 'influential')",-0.60012126,-0.746197,-1.3977182,-1.4366111,0.0388929
8,-1.9843625,-1.979647,"('unaffectionate', 'affectionate')",-0.06239592,-0.24289158,-1.0233792,-1.1112694,0.0878902
9,-1.8564105,-1.7341182,"('unaffectionate', 'caring')",0.76689005,0.5296648,-0.5447602,-0.6022267,0.0574665
53,-1.7741985,-1.676181,"('uncreative', 'creative')",0.42511478,0.20297861,-0.6745419,-0.7366012,0.0620593
6,-1.6253244,-1.2334805,"('distant', 'open')",-0.5686889,-0.85968935,-1.0970067,-1.0465848,-0.0504219
57,-1.4834859,-1.3747466,"('unimaginative', 'imaginative')",-3.264864,-3.101477,-2.3741751,-2.2381117,-0.1360634
36,-1.4593327,-1.2419671,"('hostile', 'amicable')",-0.518109,-0.72022766,-0.9887209,-0.9810973,-0.0076236
0,-1.3385795,-1.381107,"('unsociable', 'sociable')",-0.6536444,-0.29178196,-0.996112,-0.8364445,-0.1596675
10,-1.3032913,-1.2418243,"('unsympathetic', 'sympathetic')",-0.5902954,-0.5331175,-0.9467933,-0.8874708,-0.0593225
77,-1.2716407,-1.0482281,"('unmotivated', 'motivated')",-0.6745636,-0.6409816,-0.9731021,-0.8446048,-0.1284973
31,-1.2490922,-1.1719238,"('evil', 'good')",-1.0868835,-1.2015554,-1.1679878,-1.1867396,0.0187518
28,-1.2400343,-1.5346143,"('disloyal', 'loyal')",0.83511275,0.51264703,-0.2024608,-0.5109836,0.3085228
26,-1.2198565,-1.1283634,"('hardhearted', 'benevolent')",0.7537513,0.8404083,-0.2330526,-0.1439775,-0.0890751
61,-1.1165751,-0.8582573,"('illogical', 'logical')",0.10034644,0.26641,-0.5081143,-0.2959237,-0.2121906
19,-1.0898088,-1.0159621,"('inhospitable', 'hospitable')",-0.36049116,-0.6989933,-0.72515,-0.8574777,0.1323277
85,-1.0492382,-0.878879,"('insignificant', 'prestigious')",-0.6027431,-0.8394832,-0.8259907,-0.8591811,0.0331904
44,1.047136,1.2144519,"('prejudiced', 'unprejudiced')",-1.6250112,-1.5472174,-0.2889376,-0.1663827,-0.1225549
24,-1.0284743,-0.69375044,"('dishonest', 'honest')",0.77877295,0.73259884,-0.1248507,0.0194242,-0.1442749
46,-1.0159848,-1.1191775,"('uncompetitive', 'competitive')",-0.75753164,-0.7673882,-0.8867582,-0.9432828,0.0565246
5,-1.0008906,-0.66696453,"('distant', 'outgoing')",-0.2337854,-0.47435614,-0.617338,-0.5706604,-0.0466776
63,-0.95720094,-1.2273358,"('unperceptive', 'insightful')",0.72892994,0.4474228,-0.1141355,-0.3899565,0.275821
66,-0.9511342,-0.5517354,"('inactive', 'active')",0.059665807,-0.01303887,-0.4457342,-0.2823871,-0.1633471
23,-0.9464283,-1.0968469,"('insincere', 'sincere')",5.482662,5.2645764,2.268117,2.0838647,0.1842523
79,-0.91990525,-0.61620593,"('wavering', 'unwavering')",-0.21499527,-0.57395464,-0.5674503,-0.5950803,0.02763
25,-0.9149847,-0.353403,"('egoistic', 'altruistic')",0.70928067,0.85685414,-0.102852,0.2517256,-0.3545776
52,-0.8900475,-0.70469457,"('irrational', 'rational')",-0.26464102,-0.37139976,-0.5773442,-0.5380472,-0.039297
45,-0.8892373,-0.948347,"('incompetent', 'competent')",-0.35332647,-0.25594607,-0.6212819,-0.6021465,-0.0191354
69,0.8437408,0.8734024,"('lazy', 'industrious')",-0.4927314,-0.36604616,0.1755047,0.2536781,-0.0781734
54,-0.7945648,-0.6422941,"('incapable', 'capable')",0.9960785,0.6279278,0.1007569,-0.0071832,0.1079401
84,0.79234403,0.6370277,"('inferior', 'superior')",1.1281217,1.1210008,0.9602329,0.8790143,0.0812186
72,-0.77791893,-0.32164195,"('unambitious', 'ambitious')",-0.5802601,-0.4529849,-0.6790895,-0.3873134,-0.2917761
