,weyerhaeuser_male,weyerhaeuser_female,tuple,co_male,co_female,average_male,average_female,male-female
69,2.946087,2.8652647,"('lazy', 'industrious')",-1.1529202,-1.0235326,0.8965833,0.920866,-0.0242827
35,2.9060905,2.8035607,"('corrupt', 'incorrupt')",-0.8471783,-0.6687358,1.0294561,1.0674125,-0.0379564
10,-2.6193163,-2.6245835,"('unsympathetic', 'sympathetic')",-0.15266456,-0.20647167,-1.3859905,-1.4155276,0.0295371
55,-2.3795843,-2.3894124,"('incompetent', 'clever')",0.2917707,0.048786152,-1.0439068,-1.1703131,0.1264063
57,-2.3458896,-2.3948836,"('unimaginative', 'imaginative')",-3.3992026,-3.4326658,-2.8725462,-2.9137747,0.0412285
48,-2.200729,-2.284482,"('unintelligent', 'intelligent')",-0.161429,-0.33387682,-1.1810789,-1.3091794,0.1281005
86,-2.1545036,-2.3614938,"('uninfluential', 'influential')",-0.6294138,-1.0245132,-1.3919587,-1.6930035,0.3010448
59,2.1410978,2.0564811,"('foolish', 'wise')",-0.0142558515,0.03903368,1.063421,1.0477574,0.0156636
0,-2.0973122,-2.1865401,"('unsociable', 'sociable')",-0.30697843,-0.6979401,-1.2021453,-1.4422401,0.2400948
14,-1.9324903,-1.9024041,"('antisocial', 'social')",-0.7018575,-0.7820582,-1.317174,-1.3422312,0.0250572
62,-1.8907864,-1.7693396,"('incompetent', 'brilliant')",0.17332688,0.23101573,-0.8587298,-0.7691619,-0.0895679
76,-1.8570614,-1.7394462,"('anxious', 'daring')",0.16263518,0.2922986,-0.8472131,-0.7235738,-0.1236393
45,-1.8074548,-1.8084444,"('incompetent', 'competent')",-0.4288843,-0.5629187,-1.1181695,-1.1856816,0.0675121
85,1.7961133,1.6359793,"('insignificant', 'prestigious')",-0.7425706,-0.77309144,0.5267713,0.4314439,0.0953274
22,-1.794442,-1.8232977,"('untrustworthy', 'trustworthy')",-0.962616,-0.9371835,-1.3785291,-1.3802407,0.0017116
60,-1.725685,-1.597868,"('inefficient', 'efficient')",0.45667377,0.30914843,-0.6345056,-0.6443598,0.0098542
3,-1.7031257,-1.6412647,"('repellent', 'pleasant')",0.35963437,0.4761119,-0.6717457,-0.5825764,-0.0891693
21,-1.6907688,-1.7086526,"('immoral', 'moral')",-0.75663364,-0.90727836,-1.2237012,-1.3079655,0.0842643
81,-1.6817049,-1.5609659,"('submissive', 'aggressive')",-0.9884053,-1.0626523,-1.3350551,-1.3118091,-0.023246
46,-1.6752927,-1.5520382,"('uncompetitive', 'competitive')",-0.547,-0.6158413,-1.1111463,-1.0839398,-0.0272065
65,-1.6667743,-1.5952399,"('insecure', 'secure')",0.097047925,0.007458754,-0.7848632,-0.7938905,0.0090273
41,-1.6212282,-1.7468302,"('unforgiving', 'forgiving')",0.12395243,-0.01924365,-0.7486379,-0.8830369,0.134399
73,1.593993,1.5466973,"('helpless', 'self-reliant')",-2.939073,-2.9213932,-0.6725401,-0.6873479,0.0148078
11,-1.5774765,-1.5084486,"('unhelpful', 'helpful')",2.4025881,2.2317739,0.4125558,0.3616626,0.0508932
6,1.5182046,1.4130087,"('distant', 'open')",-0.5755187,-0.38602692,0.4713429,0.5134909,-0.042148
23,-1.5164167,-1.4687665,"('insincere', 'sincere')",5.7530103,5.6876965,2.1182969,2.1094651,0.0088318
82,-1.4091758,-1.3315822,"('poor', 'rich')",5.5277443,5.7155247,2.0592842,2.1919713,-0.1326871
24,-1.386738,-1.5029757,"('dishonest', 'honest')",0.90658057,0.83820236,-0.2400787,-0.3323867,0.092308
72,-1.3620324,-1.3388286,"('unambitious', 'ambitious')",-0.5209735,-0.63291466,-0.9415029,-0.9858716,0.0443687
30,-1.3062584,-1.3049954,"('intolerant', 'tolerant')",0.479046,0.470231,-0.4136062,-0.4173822,0.003776
5,1.2822883,1.1497172,"('distant', 'outgoing')",-0.7664689,-0.5625562,0.2579097,0.2935805,-0.0356708
79,1.2730962,1.0953919,"('wavering', 'unwavering')",-0.4173432,-0.37752086,0.4278765,0.3589355,0.068941
13,-1.2394085,-1.2313098,"('impolite', 'polite')",-0.23884359,-0.363662,-0.739126,-0.7974859,0.0583599
63,-1.2352806,-1.2501432,"('unperceptive', 'insightful')",0.19502614,0.07014056,-0.5201272,-0.5900013,0.0698741
70,-1.2067246,-1.1876069,"('lethargic', 'energetic')",0.18594556,0.22568353,-0.5103896,-0.4809617,-0.0294279
61,-1.1926398,-1.238344,"('illogical', 'logical')",-0.22672424,-0.45940354,-0.709682,-0.8488737,0.1391917
33,1.1613808,1.0378572,"('wrong', 'right')",-0.89549416,-0.9474747,0.1329433,0.0451912,0.0877521
