,ameren_male,ameren_female,tuple,corp_male,corp_female,average_male,average_female,male-female
53,-2.1933537,-2.0963423,"('uncreative', 'creative')",0.014711136,-0.10298654,-1.0893213,-1.0996644,0.0103431
1,-2.023712,-2.3606732,"('unfriendly', 'friendly')",1.2445831,0.96581787,-0.3895644,-0.6974276,0.3078632
86,-1.7843115,-1.963624,"('uninfluential', 'influential')",-0.8071804,-0.9078415,-1.295746,-1.4357327,0.1399867
9,-1.5214932,-1.6976521,"('unaffectionate', 'caring')",1.3366048,1.0895964,-0.0924442,-0.3040279,0.2115837
19,-1.4812888,-1.4386024,"('inhospitable', 'hospitable')",-0.5386736,-0.37366712,-1.0099812,-0.9061348,-0.1038464
8,-1.3720255,-1.5061815,"('unaffectionate', 'affectionate')",0.9330958,0.7361793,-0.2194648,-0.3850011,0.1655363
6,-1.3661824,-1.3478019,"('distant', 'open')",-0.34501606,-0.49093142,-0.8555993,-0.9193667,0.0637674
5,-1.3098507,-1.278257,"('distant', 'outgoing')",-0.43929598,-0.4618302,-0.8745733,-0.8700436,-0.0045297
54,-1.3063434,-1.1689037,"('incapable', 'capable')",0.8981668,0.9765793,-0.2040883,-0.0961622,-0.1079261
10,-1.2791578,-1.5280341,"('unsympathetic', 'sympathetic')",-0.72025347,-0.8006825,-0.9997056,-1.1643583,0.1646527
79,-1.2765325,-1.2138777,"('wavering', 'unwavering')",-0.40219325,-0.44631135,-0.8393629,-0.8300945,-0.0092684
57,-1.2575741,-1.4607676,"('unimaginative', 'imaginative')",-3.6363168,-3.601247,-2.4469454,-2.5310073,0.0840619
24,-1.1720053,-1.304588,"('dishonest', 'honest')",0.49479914,0.4846277,-0.3386031,-0.4099801,0.071377
45,-1.1708659,-1.4358174,"('incompetent', 'competent')",-0.41035256,-0.488138,-0.7906092,-0.9619777,0.1713685
31,-1.0838943,-0.86678964,"('evil', 'good')",-0.8377379,-0.935121,-0.9608161,-0.9009553,-0.0598608
46,-1.0792248,-1.1445057,"('uncompetitive', 'competitive')",-1.1379981,-0.93516266,-1.1086115,-1.0398343,-0.0687772
61,-0.97857076,-1.0790088,"('illogical', 'logical')",0.21742614,0.15185603,-0.3805723,-0.4635764,0.0830041
77,-0.97737944,-0.9180944,"('unmotivated', 'motivated')",-1.2315129,-1.1238412,-1.1044462,-1.0209677,-0.0834785
73,0.94352657,0.9674394,"('helpless', 'self-reliant')",-2.9332647,-2.5857906,-0.9948691,-0.8091756,-0.1856935
23,-0.9362236,-1.0467118,"('insincere', 'sincere')",5.8104672,5.425785,2.4371219,2.1895366,0.2475853
71,-0.9356153,-0.9037221,"('diffident', 'self-confident')",0.26700512,0.26424626,-0.3343051,-0.3197379,-0.0145672
0,-0.8757042,-1.3706803,"('unsociable', 'sociable')",-0.53072816,-0.75078624,-0.7032162,-1.0607333,0.3575171
66,-0.86776817,-1.1343541,"('inactive', 'active')",0.04336317,-0.0319122,-0.4122025,-0.5831332,0.1709307
70,-0.85504097,-0.9146354,"('lethargic', 'energetic')",-0.14951698,-0.08059511,-0.502279,-0.4976153,-0.0046637
38,-0.8256591,-0.97894144,"('untruthful', 'truthful')",-0.52722263,-0.3202639,-0.6764408,-0.6496027,-0.0268381
69,0.757279,0.7136611,"('lazy', 'industrious')",-0.58130115,-0.5589234,0.0879889,0.0773688,0.0106201
63,-0.7502663,-0.7794426,"('unperceptive', 'insightful')",0.18658161,0.47731367,-0.2818424,-0.1510645,-0.1307779
43,-0.74957013,-1.0559598,"('irresponsible', 'responsible')",0.200794,0.0493782,-0.2743881,-0.5032908,0.2289027
22,-0.7478471,-0.8815472,"('untrustworthy', 'trustworthy')",-1.2082721,-1.2555796,-0.9780596,-1.0685635,0.0905039
12,-0.72080666,-0.70198804,"('unsupportive', 'supportive')",-2.3433592,-2.1212819,-1.5320829,-1.4116349,-0.120448
74,-0.70201415,-0.75889677,"('undedicated', 'dedicated')",-0.74048024,-0.7583559,-0.7212472,-0.7586263,0.0373791
32,-0.7018422,-0.79283166,"('unkind', 'kind')",0.38893017,0.2566698,-0.156456,-0.2680809,0.1116249
29,-0.6898922,-0.5692329,"('unfair', 'fair')",-0.5349501,-0.5816112,-0.6124212,-0.575422,-0.0369992
58,-0.6739415,-0.86893094,"('undiscriminating', 'discriminating')",-0.011319224,0.07669271,-0.3426304,-0.3961191,0.0534887
16,-0.6712676,-0.5309357,"('unpopular', 'popular')",0.32316247,0.34612614,-0.1740526,-0.0924048,-0.0816478
3,-0.66905165,-0.53497875,"('repellent', 'pleasant')",0.66106236,0.5962017,-0.0039946,0.0306115,-0.0346061
7,-0.664086,-0.5745343,"('insensitive', 'sensitive')",-0.02889229,0.1075003,-0.3464891,-0.233517,-0.1129721
25,-0.645755,-0.52564126,"('egoistic', 'altruistic')",1.0895851,0.99261856,0.221915,0.2334886,-0.0115736
83,-0.632203,-0.71251535,"('powerless', 'powerful')",-1.0309908,-1.0267184,-0.8315969,-0.8696169,0.03802
