,apollo_male,apollo_female,tuple,education_male,education_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
48,2.1881654,2.096047,"('unintelligent', 'intelligent')",0.9098242,0.78909487,0.16492411,-0.20061965,0.61799294,0.44353503,0.9702266,0.7820143,0.1882123
26,1.4343553,1.3112483,"('hardhearted', 'benevolent')",1.2819006,1.1510546,0.97814643,0.9756564,1.6657631,1.751971,1.3400414,1.2974825,0.0425589
44,-1.3575271,-1.1941409,"('prejudiced', 'unprejudiced')",-0.39284602,-0.4418503,-0.8107846,-0.6216177,-1.7344525,-1.6086059,-1.0739026,-0.9665537,-0.1073489
72,1.242499,1.2823647,"('unambitious', 'ambitious')",0.68127996,0.43488008,0.28617457,0.18078104,-0.788027,-0.9309397,0.3554816,0.2417715,0.1137101
12,1.2323145,1.205815,"('unsupportive', 'supportive')",1.7718828,1.6473043,1.548285,1.286737,-1.2590711,-1.3610414,0.8233528,0.6947037,0.1286491
6,-1.1981057,-1.4711856,"('distant', 'open')",-0.38693896,-0.43371847,-2.1908689,-2.3333626,-0.25617287,-0.05140428,-1.0080216,-1.0724177,0.0643961
16,-1.1809667,-1.3949882,"('unpopular', 'popular')",-0.35049522,-0.47448382,-0.209979,-0.21537018,0.26452896,0.33349973,-0.369228,-0.4378356,0.0686076
47,-1.1186616,-1.0736669,"('stupid', 'smart')",1.2506185,1.4579068,0.91849566,1.0335063,5.223721,5.26795,1.5685434,1.671424,-0.1028806
45,-1.0516155,-0.9579957,"('incompetent', 'competent')",1.0250545,1.1577373,0.27058342,0.20054224,-0.38830125,-0.526681,-0.0360697,-0.0315993,-0.0044704
42,-1.042716,-0.69468355,"('unreliable', 'reliable')",1.0732906,1.2325783,0.71044046,1.0075443,-2.9167664,-2.7686574,-0.5439379,-0.3058046,-0.2381333
22,-1.0375371,-0.9248333,"('untrustworthy', 'trustworthy')",0.37945598,0.2947331,1.30927,1.1669173,-0.78133565,-0.8617626,-0.0325367,-0.0812364,0.0486997
17,-1.0031695,-1.1322798,"('nasty', 'nice')",-0.16960967,-0.11832642,-0.80466145,-0.8514402,-0.7287785,-0.5761125,-0.6765548,-0.6695397,-0.0070151
19,-0.9954158,-1.0789212,"('inhospitable', 'hospitable')",0.15594263,0.14717236,-1.05434,-1.0059727,-0.14629161,0.121419385,-0.5100262,-0.4540755,-0.0559507
27,0.94589174,0.60367036,"('hardhearted', 'softhearted')",1.1444894,0.9678222,0.24554276,-0.008078735,1.660893,1.4421965,0.9992042,0.7514026,0.2478016
5,-0.92291576,-1.1538671,"('distant', 'outgoing')",-0.28923446,-0.31827557,-1.7476956,-1.8133636,-0.7463967,-0.48512283,-0.9265606,-0.9426573,0.0160967
73,0.907941,1.011169,"('helpless', 'self-reliant')",0.9227996,0.8327153,-0.666166,-0.5334257,-3.4017618,-3.2408044,-0.5592968,-0.4825865,-0.0767103
