,prologis_male,prologis_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.2849722,-1.6106086,"('unfriendly', 'friendly')",1.5728467,1.9897822,-0.3560628,0.1895868,-0.5456496
53,-1.7614715,-1.5119063,"('uncreative', 'creative')",0.71747905,0.95218396,-0.5219963,-0.2798612,-0.2421351
86,-1.6174563,-1.149162,"('uninfluential', 'influential')",-0.761488,-0.42973143,-1.1894722,-0.7894467,-0.4000255
9,-1.5426937,-1.1179297,"('unaffectionate', 'caring')",1.0050758,1.5040834,-0.268809,0.1930768,-0.4618858
8,-1.5297421,-1.1584518,"('unaffectionate', 'affectionate')",0.5358137,0.94861305,-0.4969642,-0.1049194,-0.3920448
6,-1.4566593,-1.2999705,"('distant', 'open')",0.31436014,0.5579827,-0.5711496,-0.3709939,-0.2001557
66,-1.4461503,-1.7748019,"('inactive', 'active')",0.015651267,0.10424623,-0.7152495,-0.8352778,0.1200283
31,-1.4252652,-1.2154499,"('evil', 'good')",-0.8849104,-0.7821869,-1.1550878,-0.9988184,-0.1562694
19,-1.4075032,-1.5208784,"('inhospitable', 'hospitable')",-0.27557766,-0.028983282,-0.8415405,-0.7749308,-0.0666097
36,-1.3830295,-1.5460192,"('hostile', 'amicable')",0.2900367,0.29686403,-0.5464964,-0.6245776,0.0780812
60,1.3190186,1.2321068,"('inefficient', 'efficient')",0.16033052,0.2625762,0.7396746,0.7473415,-0.0076669
56,1.1506531,0.80465496,"('impractical', 'practical')",0.35076895,0.08351387,0.750711,0.4440844,0.3066266
76,1.1388109,0.14642623,"('anxious', 'daring')",0.3950401,-0.11580843,0.7669255,0.0153089,0.7516166
44,1.0427077,0.686023,"('prejudiced', 'unprejudiced')",-1.15786,-1.3783569,-0.0575762,-0.346167,0.2885908
58,-1.0288221,-0.9585401,"('undiscriminating', 'discriminating')",-0.5865214,-0.43010217,-0.8076717,-0.6943212,-0.1133505
28,-1.0189224,-0.46980047,"('disloyal', 'loyal')",0.70798236,0.924094,-0.15547,0.2271468,-0.3826168
54,-1.0160408,-1.1981384,"('incapable', 'capable')",1.4168175,1.3471891,0.2003884,0.0745254,0.125863
