,tenet_male,tenet_female,tuple,healthcare_male,healthcare_female,corp_male,corp_female,average_male,average_female,male-female
1,-2.709695,-2.5904703,"('unfriendly', 'friendly')",0.8575244,0.6324618,1.0226215,1.1396233,-0.2765164,-0.2727951,-0.0037213
0,-1.8695823,-2.2717361,"('unsociable', 'sociable')",0.45563734,0.20942889,-0.050377447,-0.36268,-0.4881075,-0.8083291,0.3202216
58,-1.738971,-1.5612144,"('undiscriminating', 'discriminating')",-0.86947834,-1.0363414,-0.32187495,-0.4085115,-0.9767748,-1.0020224,0.0252476
57,-1.6403562,-1.9406506,"('unimaginative', 'imaginative')",-0.4001305,-0.5319253,-2.9436429,-3.341691,-1.6613766,-1.9380891,0.2767125
45,-1.5974512,-1.7531289,"('incompetent', 'competent')",0.11016747,-0.007863168,0.050776303,-0.20449872,-0.4788358,-0.6551636,0.1763278
53,-1.5533555,-1.4033924,"('uncreative', 'creative')",-0.11581893,-0.22720967,0.30719113,0.24644598,-0.4539944,-0.4613854,0.007391
86,-1.5487058,-1.8883508,"('uninfluential', 'influential')",0.18740647,-0.04295647,-0.2304248,-0.5397197,-0.5305747,-0.8236756,0.2931009
26,-1.3440149,-1.590857,"('hardhearted', 'benevolent')",1.5752017,1.1655127,1.4223454,0.9718616,0.5511774,0.1821724,0.369005
8,-1.2874699,-1.3887609,"('unaffectionate', 'affectionate')",0.19542535,0.100045115,0.2949712,0.345371,-0.2656911,-0.3144483,0.0487572
61,-1.1981777,-1.3134049,"('illogical', 'logical')",0.08244787,-0.056624833,0.617837,0.43107247,-0.1659643,-0.3129858,0.1470215
31,-1.1587541,-1.243623,"('evil', 'good')",-0.5489494,-0.70600086,-1.3863089,-1.3367848,-1.0313375,-1.0954696,0.0641321
48,-1.1425118,-1.1364944,"('unintelligent', 'intelligent')",0.6081126,0.60405207,0.98922974,0.8548003,0.1516102,0.1074527,0.0441575
16,-0.9503081,-0.88581693,"('unpopular', 'popular')",-0.10354592,0.038656004,0.0735264,-0.055601604,-0.3267759,-0.3009208,-0.0258551
9,-0.9008237,-0.8054951,"('unaffectionate', 'caring')",1.4168701,1.5580506,1.2244091,1.4524199,0.5801518,0.7349918,-0.15484
30,-0.8780977,-0.94452435,"('intolerant', 'tolerant')",0.7831215,0.6870158,0.6301257,0.80050623,0.1783832,0.1809992,-0.002616
17,-0.86637855,-0.881039,"('nasty', 'nice')",-0.7731705,-0.50843596,-0.84590054,-0.7593633,-0.8284832,-0.7162794,-0.1122038
38,-0.8572825,-0.4670048,"('untruthful', 'truthful')",0.4412409,0.68010366,0.04153841,0.48199505,-0.1248344,0.231698,-0.3565324
24,-0.8504222,-1.0479519,"('dishonest', 'honest')",0.1629216,0.051560625,0.7061349,0.83333504,0.0062114,-0.0543521,0.0605635
43,-0.8427616,-0.72924924,"('irresponsible', 'responsible')",1.1141914,1.0894704,0.41962305,0.30242148,0.230351,0.2208809,0.0094701
82,-0.8379512,-0.597528,"('poor', 'rich')",0.14651664,0.17777127,5.891056,6.280175,1.7332072,1.9534728,-0.2202656
54,-0.83548796,-0.57450706,"('incapable', 'capable')",0.34476012,0.4681785,0.30252048,0.8693586,-0.0627358,0.2543434,-0.3170792
19,-0.8174652,-0.66966814,"('inhospitable', 'hospitable')",0.7879788,0.8133773,-0.65651923,-0.26762304,-0.2286685,-0.0413046,-0.1873639
23,-0.8131249,-0.9591487,"('insincere', 'sincere')",0.5663574,0.65753603,5.3221216,5.701409,1.6917847,1.799932,-0.1081473
67,0.807763,0.69536966,"('doubtful', 'determined')",0.1203722,0.07800765,-0.3079499,-0.15356642,0.2067284,0.2066036,0.0001248
5,-0.8042311,-0.49470547,"('distant', 'outgoing')",0.9006549,1.0970947,-0.6346531,-0.02314478,-0.1794098,0.1930815,-0.3724913
55,-0.8005894,-1.1437545,"('incompetent', 'clever')",-0.51961607,-0.7226645,0.5287147,0.16366187,-0.2638302,-0.5675857,0.3037555
41,-0.78148293,-0.85364187,"('unforgiving', 'forgiving')",0.7775464,0.6667207,0.08543795,-0.20307723,0.0271671,-0.1299995,0.1571666
