,unum_male,unum_female,tuple,group_male,group_female,average_male,average_female,male-female
10,-2.0436318,-1.8552601,"('unsympathetic', 'sympathetic')",0.33502248,0.45128578,-0.8543047,-0.7019871,-0.1523176
53,-1.94628,-1.878248,"('uncreative', 'creative')",-0.12702894,-0.23204719,-1.0366545,-1.0551475,0.018493
46,-1.9449769,-2.0089974,"('uncompetitive', 'competitive')",0.3409512,0.36293057,-0.8020129,-0.8230335,0.0210206
57,-1.9368342,-1.8458421,"('unimaginative', 'imaginative')",-2.3449914,-2.2296624,-2.1409128,-2.0377522,-0.1031606
86,-1.921819,-1.8782252,"('uninfluential', 'influential')",0.13611682,0.24343169,-0.8928511,-0.8173968,-0.0754543
12,-1.7418559,-1.615554,"('unsupportive', 'supportive')",-1.3364091,-1.2352778,-1.5391325,-1.4254159,-0.1137166
45,-1.6382353,-1.3627012,"('incompetent', 'competent')",0.47217703,0.62216336,-0.5830292,-0.3702689,-0.2127603
0,-1.5729061,-1.5323172,"('unsociable', 'sociable')",0.6176856,0.71431404,-0.4776103,-0.4090016,-0.0686087
69,1.4321876,1.387342,"('lazy', 'industrious')",-1.2085505,-1.3323468,0.1118186,0.0274976,0.084321
58,-1.3529354,-1.1432216,"('undiscriminating', 'discriminating')",0.1237066,0.20436302,-0.6146144,-0.4694293,-0.1451851
51,-1.2899262,-1.3965691,"('uneducated', 'educated')",0.62115294,0.68582773,-0.3343866,-0.3553707,0.0209841
11,-1.2898213,-1.4414325,"('unhelpful', 'helpful')",1.9631709,1.8104156,0.3366748,0.1844916,0.1521832
55,-1.2716981,-1.241541,"('incompetent', 'clever')",1.1442953,1.2473581,-0.0637014,0.0029085,-0.0666099
1,-1.268877,-1.1095762,"('unfriendly', 'friendly')",0.9046747,0.77323145,-0.1821012,-0.1681724,-0.0139288
39,1.2320873,1.1341971,"('exploitative', 'cooperative')",1.2368264,1.287236,1.2344568,1.2107165,0.0237403
67,1.2029862,1.3138773,"('doubtful', 'determined')",0.008551402,0.131581,0.6057688,0.7227291,-0.1169603
9,-1.1961048,-1.0519422,"('unaffectionate', 'caring')",0.8374324,0.7531961,-0.1793362,-0.1493731,-0.0299631
44,1.1946466,1.10607,"('prejudiced', 'unprejudiced')",-0.66943896,-0.80172485,0.2626038,0.1521726,0.1104312
7,-1.1927154,-1.0923018,"('insensitive', 'sensitive')",0.54037225,0.6353461,-0.3261716,-0.2284779,-0.0976937
63,-1.1519892,-1.101106,"('unperceptive', 'insightful')",1.067842,1.1064667,-0.0420736,0.0026803,-0.0447539
82,-1.1309057,-1.0242792,"('poor', 'rich')",5.1524396,5.042539,2.010767,2.00913,0.001637
78,-1.1139078,-1.0486772,"('nonresilient', 'resilient')",0.39262548,0.47135842,-0.3606412,-0.2886594,-0.0719818
43,-1.1127576,-0.9476366,"('irresponsible', 'responsible')",1.2062447,1.2911462,0.0467436,0.1717548,-0.1250112
13,-1.1062329,-1.2708238,"('impolite', 'polite')",0.2809505,0.2672588,-0.4126412,-0.5017825,0.0891413
29,-1.0772196,-1.0234445,"('unfair', 'fair')",-1.0038007,-0.93568605,-1.0405102,-0.9795653,-0.0609449
22,-1.0618829,-0.94179434,"('untrustworthy', 'trustworthy')",-0.2730842,-0.1067003,-0.6674835,-0.5242473,-0.1432362
