,federated_male,federated_female,tuple,hermes_male,hermes_female,inc_male,inc_female,average_male,average_female,male-female
53,-2.4563353,-2.3913314,"('uncreative', 'creative')",-0.21326585,-0.20431237,0.66136307,0.6173365,-0.6694127,-0.6594357,-0.009977
82,-2.0488074,-1.7937566,"('poor', 'rich')",-0.5657117,-0.4221106,5.822083,5.876495,1.069188,1.2202092,-0.1510212
8,-2.0218875,-1.7989058,"('unaffectionate', 'affectionate')",-0.5256996,-0.59378225,0.69917977,0.51133597,-0.6161358,-0.6271174,0.0109816
86,-1.9174061,-1.9684381,"('uninfluential', 'influential')",1.355736,1.0506709,-0.20165893,-0.38189587,-0.254443,-0.4332211,0.1787781
1,-1.7982494,-1.5649593,"('unfriendly', 'friendly')",0.98152727,0.87616456,2.2383802,1.9537723,0.473886,0.4216592,0.0522268
39,1.7817875,1.6048169,"('exploitative', 'cooperative')",2.1083002,2.2183168,0.329468,0.38927191,1.4065186,1.4041352,0.0023834
73,1.6194905,1.7678082,"('helpless', 'self-reliant')",1.1266185,1.271463,-3.3291554,-3.074037,-0.1943488,-0.0115886,-0.1827602
67,1.5876398,1.5842487,"('doubtful', 'determined')",-0.27123585,-0.07270668,-0.60570014,-0.61003846,0.2369013,0.3005012,-0.0635999
10,-1.5808902,-1.7270306,"('unsympathetic', 'sympathetic')",-0.16441141,-0.33724502,-0.42953253,-0.4021398,-0.7249448,-0.8221385,0.0971937
55,-1.3232249,-1.4444727,"('incompetent', 'clever')",0.77300745,0.67953825,-0.20698333,-0.0754585,-0.2524003,-0.280131,0.0277307
16,-1.3072953,-1.1356133,"('unpopular', 'popular')",-1.8687291,-1.8436701,0.18292645,0.12927753,-0.9976993,-0.950002,-0.0476973
45,-1.2590464,-1.2076813,"('incompetent', 'competent')",0.7984258,0.79531866,-0.62008554,-0.58104825,-0.3602354,-0.331137,-0.0290984
9,-1.2365209,-1.1550313,"('unaffectionate', 'caring')",0.5063405,0.5074667,1.3070965,1.1866837,0.1923054,0.1797063,0.0125991
61,-1.2177099,-1.1362045,"('illogical', 'logical')",0.9570364,0.95261025,0.22165534,0.11930303,-0.0130061,-0.0214304,0.0084243
