,agilent_male,agilent_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.1543329,-2.1813664,"('unsympathetic', 'sympathetic')",-1.1448829,-1.0271744,-0.55811846,-0.5162942,-1.285778,-1.2416117,-0.0441663
45,-2.0475085,-2.347295,"('incompetent', 'competent')",-1.2034948,-1.3126816,-0.6086061,-0.70482653,-1.2865365,-1.4549343,0.1683978
82,-1.9694974,-2.085738,"('poor', 'rich')",-0.60770667,-0.43538997,5.322998,5.2643743,0.9152646,0.9144154,0.0008492
69,1.9426738,2.2305143,"('lazy', 'industrious')",1.4006143,1.5475643,0.20989488,0.44545615,1.1843943,1.4078449,-0.2234506
24,-1.815029,-1.8004026,"('dishonest', 'honest')",-2.1198668,-2.2819498,0.5355993,0.4112805,-1.1330989,-1.2236907,0.0905918
86,-1.6712463,-1.8221809,"('uninfluential', 'influential')",-0.40860736,-0.5491793,-0.1576931,-0.35210544,-0.7458489,-0.9078219,0.161973
3,-1.5884291,-1.8061465,"('repellent', 'pleasant')",-0.073328994,-0.066340774,-0.20940855,-0.17242211,-0.6237222,-0.6816365,0.0579143
55,-1.5222019,-1.7288091,"('incompetent', 'clever')",-0.22719318,-0.1696625,-0.36032826,-0.28209475,-0.7032411,-0.7268554,0.0236143
28,-1.4357915,-1.3783137,"('disloyal', 'loyal')",-0.55900764,-0.6153799,0.6890864,0.5655715,-0.4352376,-0.4760407,0.0408031
14,-1.3391702,-1.3755174,"('antisocial', 'social')",0.09736383,0.1780781,-1.2760104,-0.99800295,-0.8392723,-0.7318141,-0.1074582
32,-1.3279686,-1.2568154,"('unkind', 'kind')",-0.7221341,-0.56269133,0.60363907,0.6118795,-0.4821545,-0.4025424,-0.0796121
0,-1.3127229,-1.237266,"('unsociable', 'sociable')",-0.85189575,-0.7826015,-0.5738648,-0.45987785,-0.9128278,-0.8265818,-0.086246
73,1.3071837,1.3097614,"('helpless', 'self-reliant')",0.56705093,0.55056643,-2.9529397,-3.115068,-0.3595684,-0.4182467,0.0586783
84,1.2720865,1.4717264,"('inferior', 'superior')",0.5934758,0.62058043,0.8506425,1.0095013,0.9054016,1.033936,-0.1285344
33,1.2432214,1.2749813,"('wrong', 'right')",0.82853353,0.69688034,-0.03753662,-0.08467147,0.6780728,0.6290634,0.0490094
65,-1.2152629,-1.2016654,"('insecure', 'secure')",-0.8285754,-0.6392145,-1.0734102,-0.9300987,-1.0390828,-0.9236596,-0.1154232
76,-1.2115571,-1.1977681,"('anxious', 'daring')",0.09463431,0.30486247,-0.12002713,0.055795286,-0.4123167,-0.2790368,-0.1332799
41,-1.1319449,-1.1803511,"('unforgiving', 'forgiving')",-0.71305484,-0.80927324,0.28447902,0.19822094,-0.5201736,-0.5971345,0.0769609
81,-1.1208229,-1.4200405,"('submissive', 'aggressive')",0.3869867,0.299991,-0.81181574,-0.84124446,-0.5152173,-0.6537646,0.1385473
71,1.1205969,1.318402,"('diffident', 'self-confident')",0.94246775,1.0135722,0.85617363,0.75544035,0.9730794,1.0291382,-0.0560588
52,1.109638,1.3107009,"('irrational', 'rational')",0.15639779,-0.0106291175,0.29627565,0.23793897,0.5207705,0.5126702,0.0081003
85,1.0569844,1.1699148,"('insignificant', 'prestigious')",0.81111634,0.7851276,1.0883213,1.111493,0.985474,1.0221785,-0.0367045
62,-1.0474725,-1.1810355,"('incompetent', 'brilliant')",0.5479161,0.5292812,-0.33283478,-0.2925598,-0.2774637,-0.3147714,0.0373077
50,1.0396447,0.8719533,"('clumsy', 'skillful')",0.6520641,0.7653687,0.27097297,0.12022221,0.6542273,0.5858481,0.0683792
35,1.0198795,1.244587,"('corrupt', 'incorrupt')",-0.021382276,0.021772873,0.24062075,0.3336217,0.4130393,0.5333272,-0.1202879
51,-1.0154744,-1.244553,"('uneducated', 'educated')",-0.12545341,-0.14171365,0.2947501,0.20493653,-0.2820592,-0.3937767,0.1117175
5,1.0127624,1.3266855,"('distant', 'outgoing')",-0.16067111,-0.14421107,0.09934525,0.120132715,0.3171455,0.4342024,-0.1170569
72,-0.95915073,-0.8984577,"('unambitious', 'ambitious')",-1.2707639,-1.2826327,-1.4620396,-1.4985205,-1.2306514,-1.2265369,-0.0041145
70,-0.9493967,-1.1807011,"('lethargic', 'energetic')",-0.5274845,-0.4589087,0.2121166,0.22338526,-0.4215882,-0.4720749,0.0504867
21,-0.9425164,-0.89843744,"('immoral', 'moral')",0.08520956,0.27325612,-1.386692,-1.0206263,-0.7479997,-0.5486025,-0.1993972
38,-0.89390093,-0.88422817,"('untruthful', 'truthful')",-0.5691413,-0.58268434,0.01833481,0.048704065,-0.4815691,-0.4727362,-0.0088329
43,-0.8440901,-0.69363433,"('irresponsible', 'responsible')",-1.01506,-0.89748377,-0.028078169,0.0018354952,-0.6290761,-0.5297609,-0.0993152
59,0.8372825,0.8859065,"('foolish', 'wise')",0.41135594,0.41996184,0.45465574,0.44927132,0.5677647,0.5850466,-0.0172819
39,0.8360924,1.1030614,"('exploitative', 'cooperative')",0.99881077,1.131575,-0.026799237,0.1835971,0.6027013,0.8060778,-0.2033765
46,-0.75054836,-0.80022293,"('uncompetitive', 'competitive')",0.51724637,0.7468722,-1.0345169,-0.9730474,-0.4226063,-0.3421327,-0.0804736
60,-0.74546564,-0.71916974,"('inefficient', 'efficient')",0.436113,0.5776568,-0.54134077,-0.33487585,-0.2835645,-0.1587963,-0.1247682
15,0.74099565,0.8606239,"('boring', 'funny')",-0.17299311,-0.25752524,0.6633663,0.6450297,0.4104563,0.4160428,-0.0055865
6,0.7360568,1.0668068,"('distant', 'open')",-0.5081899,-0.5074174,0.8136514,0.80436045,0.3471727,0.4545833,-0.1074106
40,-0.72407013,-0.6937491,"('stingy', 'generous')",-0.09114145,-0.005578505,-1.2652484,-1.373267,-0.6934867,-0.6908649,-0.0026218
23,-0.685844,-0.7663321,"('insincere', 'sincere')",-0.6653628,-0.6272006,4.6043596,4.6250772,1.0843843,1.0771815,0.0072028
