,ball_male,ball_female,tuple,corp_male,corp_female,average_male,average_female,male-female
14,2.658706,2.62839,"('antisocial', 'social')",-0.0703159,-0.24458922,1.2941951,1.1919004,0.1022947
60,2.5298533,2.6260767,"('inefficient', 'efficient')",0.31669617,0.397586,1.4232748,1.5118313,-0.0885565
31,-2.067605,-2.2793226,"('evil', 'good')",-1.1729313,-1.212948,-1.6202681,-1.7461352,0.1258671
55,2.009327,2.1159263,"('incompetent', 'clever')",0.5222272,0.37619102,1.2657771,1.2460587,0.0197184
36,-1.9177167,-2.1849642,"('hostile', 'amicable')",-0.24688497,-0.50664437,-1.0823009,-1.3458042,0.2635033
35,-1.8723701,-2.0650053,"('corrupt', 'incorrupt')",-0.332137,-0.3922329,-1.1022536,-1.2286191,0.1263655
75,-1.8377134,-1.6207244,"('meek', 'impulsive')",-0.9346784,-0.8817377,-1.3861959,-1.2512311,-0.1349648
4,-1.8248463,-1.7404127,"('disliked', 'liked')",-7.050643,-7.1926537,-4.4377446,-4.4665332,0.0287886
56,1.8144155,2.0092988,"('impractical', 'practical')",-0.31387952,-0.2797934,0.750268,0.8647527,-0.1144847
62,1.813355,2.1228328,"('incompetent', 'brilliant')",0.3302398,0.48819256,1.0717974,1.3055127,-0.2337153
0,1.7858022,1.7737075,"('unsociable', 'sociable')",0.19151661,0.03915108,0.9886594,0.9064293,0.0822301
21,1.7023203,1.7473433,"('immoral', 'moral')",-0.11007567,-0.2227962,0.7961223,0.7622736,0.0338487
39,1.5308758,1.293164,"('exploitative', 'cooperative')",-0.13019492,-0.06949421,0.7003404,0.6118349,0.0885055
59,-1.4978354,-1.7098441,"('foolish', 'wise')",0.12160885,0.14669013,-0.6881133,-0.781577,0.0934637
65,1.474965,1.4224006,"('insecure', 'secure')",-0.21321428,-0.11801956,0.6308753,0.6521905,-0.0213152
79,-1.4017228,-1.3800378,"('wavering', 'unwavering')",-0.4475291,-0.3937486,-0.9246259,-0.8868932,-0.0377327
66,-1.3844758,-1.2263871,"('inactive', 'active')",0.013213016,0.033389285,-0.6856314,-0.5964989,-0.0891325
87,1.326385,1.246094,"('unsuccessful', 'successful')",0.87933826,0.9170247,1.1028616,1.0815593,0.0213023
52,-1.3184035,-1.7226684,"('irrational', 'rational')",0.043851506,-0.20478018,-0.637276,-0.9637243,0.3264483
30,1.3100034,1.3135332,"('intolerant', 'tolerant')",0.8677454,0.79985785,1.0888743,1.0566955,0.0321788
6,-1.2958472,-1.3864906,"('distant', 'open')",-0.6209873,-0.61617965,-0.9584172,-1.0013351,0.0429179
48,1.2951617,1.195474,"('unintelligent', 'intelligent')",0.79464525,0.8476186,1.0449035,1.0215464,0.0233571
64,-1.2476671,-1.2290709,"('shy', 'confident')",-6.571214,-6.5337563,-3.9094405,-3.8814135,-0.028027
10,1.2384311,1.5695212,"('unsympathetic', 'sympathetic')",-0.408746,-0.28076932,0.4148425,0.6443759,-0.2295334
81,1.2248827,1.4362664,"('submissive', 'aggressive')",-0.55028474,-0.479755,0.337299,0.4782557,-0.1409567
76,1.1739405,1.3702474,"('anxious', 'daring')",-0.031461023,-0.09617363,0.5712398,0.6370369,-0.0657971
17,-1.1354764,-1.1277066,"('nasty', 'nice')",-0.565592,-0.55092525,-0.8505342,-0.839316,-0.0112182
44,-1.1288785,-1.269417,"('prejudiced', 'unprejudiced')",-1.2506042,-1.3328553,-1.1897414,-1.3011363,0.1113949
