,archer_male,archer_female,tuple,daniels_male,daniels_female,midland_male,midland_female,co_male,co_female,average_male,average_female,male-female
69,2.0277972,2.0076845,"('lazy', 'industrious')",3.2504983,3.0941248,1.8418881,1.7648029,-0.68966955,-0.60055393,1.6076285,1.5665146,0.0411139
14,-1.6754386,-1.4313393,"('antisocial', 'social')",-2.2465208,-1.836335,-0.034445036,0.17264983,-0.43088308,-0.35821187,-1.0968219,-0.863309,-0.2335129
10,-1.4521927,-1.4967084,"('unsympathetic', 'sympathetic')",-2.68786,-2.3280656,-0.85362285,-0.6349957,0.2519522,0.035259657,-1.1854309,-1.1061275,-0.0793034
45,-1.4518095,-1.2356375,"('incompetent', 'competent')",-1.60487,-1.1819805,-0.4501573,-0.12623198,-0.31411606,-0.40242824,-0.9552382,-0.7365695,-0.2186687
57,-1.2318693,-1.2679552,"('unimaginative', 'imaginative')",-1.8946501,-1.7335005,-0.84822106,-0.7701459,-3.205676,-3.2357216,-1.7951041,-1.7518308,-0.0432733
13,-1.2121751,-1.0799973,"('impolite', 'polite')",-1.2422196,-0.95881236,-0.6329657,-0.47851557,0.20340797,0.17992774,-0.7209881,-0.5843494,-0.1366387
66,1.2063276,1.1747532,"('inactive', 'active')",1.0190191,0.8423447,1.1408101,1.0303198,0.56617606,0.48871168,0.9830831,0.8840323,0.0990508
0,-1.1957102,-1.1709694,"('unsociable', 'sociable')",-0.8760209,-0.7235444,-0.31773052,-0.225749,0.23330489,0.07852831,-0.5390391,-0.5104336,-0.0286055
47,-1.1868063,-1.193434,"('stupid', 'smart')",-1.5828202,-1.4844571,-0.44516668,-0.39069027,5.1867423,4.986136,0.4929873,0.4793886,0.0135987
60,-1.1846957,-0.7975561,"('inefficient', 'efficient')",-1.815738,-1.2490668,-0.19307621,0.22260574,0.25624445,0.4731171,-0.7343163,-0.337725,-0.3965913
55,-1.1472434,-1.1129247,"('incompetent', 'clever')",-2.9976897,-2.6041381,-1.0712756,-0.7630207,0.13012001,0.15216608,-1.2715223,-1.0819794,-0.1895429
33,1.13243,1.1333935,"('wrong', 'right')",2.1348338,1.9076368,2.075027,2.0494459,-0.6196234,-0.6720458,1.1806669,1.1046076,0.0760593
73,1.1129695,1.3647746,"('helpless', 'self-reliant')",0.96016645,0.85313565,0.21581392,0.102835886,-3.830597,-3.6058958,-0.3854118,-0.3212874,-0.0641244
22,-1.0999328,-0.95810425,"('untrustworthy', 'trustworthy')",-1.8855543,-1.7407246,-1.5276792,-1.4581,-0.96916974,-0.9053419,-1.370584,-1.2655677,-0.1050163
43,-1.0925084,-0.71057606,"('irresponsible', 'responsible')",-1.3033072,-0.9850368,-1.359629,-1.0073004,0.70320314,0.72487193,-0.7630603,-0.4945104,-0.2685499
41,-1.0889235,-0.9115984,"('unforgiving', 'forgiving')",-0.092474625,0.14037974,-0.1406273,-0.006612207,0.3850211,0.15746108,-0.2342511,-0.1550924,-0.0791587
35,1.0851567,1.0763714,"('corrupt', 'incorrupt')",1.8849463,1.4905703,0.08215305,-0.20942774,-1.17781,-1.2059218,0.4686115,0.287898,0.1807135
58,1.0693738,1.113196,"('undiscriminating', 'discriminating')",0.27539933,0.3899456,0.65076506,0.61290663,0.25180516,0.15037727,0.5618358,0.5666064,-0.0047706
17,-1.0275891,-1.4499575,"('nasty', 'nice')",-0.24758998,-0.46535414,-0.8561725,-1.0466805,-0.3059578,-0.45459488,-0.6093273,-0.8541467,0.2448194
3,-1.0213835,-0.9601919,"('repellent', 'pleasant')",-1.7307696,-1.448691,-0.3341727,-0.21942033,0.4485002,0.46137005,-0.6594564,-0.5417333,-0.1177231
27,-1.0044492,-1.1301401,"('hardhearted', 'softhearted')",0.028739858,-0.18289639,-0.5777436,-0.64982945,0.8001426,0.67520136,-0.1883276,-0.3219161,0.1335885
67,0.9944206,0.9767294,"('doubtful', 'determined')",0.67725307,0.631114,1.4298699,1.395059,-0.042750347,0.056339182,0.7646983,0.7648104,-0.0001121
84,0.9728789,0.93466073,"('inferior', 'superior')",0.7823672,0.7852744,0.81203866,0.7776617,0.45760408,0.49134287,0.7562222,0.7472349,0.0089873
53,-0.9193704,-0.7907151,"('uncreative', 'creative')",0.40636253,0.35436752,-0.37108672,-0.36407214,0.70042205,0.5944407,-0.0459181,-0.0514947,0.0055766
11,-0.9186824,-0.8580483,"('unhelpful', 'helpful')",-0.99879634,-0.88626367,-0.45333993,-0.32857907,2.7401953,2.4881375,0.0923442,0.1038116,-0.0114674
1,-0.90772355,-0.43880868,"('unfriendly', 'friendly')",1.2975429,1.263134,0.42551592,0.5344527,1.5578592,1.3116604,0.5932986,0.6676096,-0.074311
50,0.8959346,0.8003507,"('clumsy', 'skillful')",1.0440891,0.8322437,0.13544859,0.036476616,0.07783894,-0.21446949,0.5383278,0.3636504,0.1746774
74,0.8772656,1.1781367,"('undedicated', 'dedicated')",0.5202464,0.6509554,1.0805912,1.2239743,0.23532943,0.19150254,0.6783581,0.8111422,-0.1327841
71,0.8583769,1.1603503,"('diffident', 'self-confident')",2.4545727,2.3946383,0.8520383,0.9963748,0.15615492,0.13362385,1.0802858,1.1712469,-0.0909611
77,-0.8486738,-0.6666993,"('unmotivated', 'motivated')",-0.40656537,-0.097969145,-0.4590459,-0.15377647,-0.9497672,-0.7067271,-0.6660131,-0.406293,-0.2597201
79,0.8393176,0.80790937,"('wavering', 'unwavering')",1.9156891,1.7803018,0.44036683,0.41385216,-0.4855519,-0.62341875,0.6774554,0.5946611,0.0827943
21,-0.81236154,-0.91810924,"('immoral', 'moral')",-2.3269088,-1.9251384,-0.28181747,-0.15958774,-0.8582794,-0.8050427,-1.0698417,-0.9519695,-0.1178722
68,0.7942827,0.6486511,"('dependent', 'independent')",-1.1530702,-1.1145325,-0.50270474,-0.49744174,-1.5928125,-1.4996908,-0.6135762,-0.6157535,0.0021773
44,-0.7886425,-1.2169306,"('prejudiced', 'unprejudiced')",-0.97551244,-1.1230105,-1.421359,-1.6349294,-1.8485004,-1.7946516,-1.2585036,-1.4423805,0.1838769
82,-0.7559478,-0.56508434,"('poor', 'rich')",-1.2460309,-1.1569339,-1.2054576,-1.1308538,5.9229198,5.6717696,0.6788708,0.7047244,-0.0258536
86,-0.74809796,-0.59835935,"('uninfluential', 'influential')",-1.3242391,-1.0688993,-0.12625131,0.13496938,-0.44725472,-0.51785254,-0.6614608,-0.5125355,-0.1489253
23,-0.741824,-0.45309463,"('insincere', 'sincere')",-0.06688407,0.20796838,-0.43808907,-0.16054603,6.140271,5.90628,1.2233685,1.375152,-0.1517835
80,0.7317796,0.5360116,"('dominated', 'dominating')",-1.9409561,-1.5687639,0.31790116,0.4529975,-0.28228447,-0.22545385,-0.29339,-0.2013022,-0.0920878
83,0.69414574,0.62963706,"('powerless', 'powerful')",0.11685039,0.17890668,0.5785396,0.5250262,-1.3614415,-1.3995149,0.0070235,-0.0164862,0.0235097
8,-0.6911281,-0.64060175,"('unaffectionate', 'affectionate')",0.3013473,0.058285907,-0.27495474,-0.3734165,0.20612423,-0.138137,-0.1146528,-0.2734673,0.1588145
75,0.6907571,0.6028578,"('meek', 'impulsive')",0.79977244,0.6090048,-0.9125202,-0.93612295,-0.6954091,-0.776997,-0.0293499,-0.1253144,0.0959645
30,-0.6901711,-0.6420326,"('intolerant', 'tolerant')",-1.6176119,-1.6447444,-0.67816406,-0.66201025,0.38540286,0.34134907,-0.6501361,-0.6518595,0.0017234
81,-0.6878149,-1.0029159,"('submissive', 'aggressive')",-2.1953828,-1.9258304,-0.27990696,-0.20921496,-0.2882335,-0.48621243,-0.8628346,-0.9060434,0.0432088
24,-0.6351906,-0.23524308,"('dishonest', 'honest')",-1.617721,-1.3208786,-0.4228401,-0.13941023,0.8633078,0.9676251,-0.453111,-0.1819767,-0.2711343
49,-0.61164904,-0.68149465,"('unable', 'able')",-1.0730093,-1.0891733,-0.9561165,-0.93164146,-1.0080314,-0.92640185,-0.9122015,-0.9071779,-0.0050236
29,-0.59361964,-0.33557844,"('unfair', 'fair')",-0.7439807,-0.5585674,-0.831414,-0.58479416,-0.95409214,-0.66471833,-0.7807766,-0.5359146,-0.244862
12,0.5605165,0.93354714,"('unsupportive', 'supportive')",0.9946692,1.1824934,0.93852246,1.2682818,-1.478677,-1.4564548,0.2537578,0.481967,-0.2282092
62,-0.5598307,-0.21120541,"('incompetent', 'brilliant')",-1.230908,-0.7348735,-0.35629177,0.1481304,0.15986598,0.38585907,-0.4967912,-0.1030224,-0.3937688
76,-0.5216698,-0.54543555,"('anxious', 'daring')",-2.3823555,-2.0874448,-0.5687122,-0.42575058,0.0161803,-0.003555391,-0.8641393,-0.7655465,-0.0985928
37,0.49319035,0.586661,"('fake', 'genuine')",-0.14208606,-0.0489675,0.2238624,0.25562066,0.14472872,0.11881901,0.1799238,0.2280333,-0.0481095
28,-0.48732936,-0.19810839,"('disloyal', 'loyal')",-0.49762505,-0.2859157,0.19576816,0.375285,1.0675715,0.84256786,0.0695963,0.1834572,-0.1138609
59,0.48315138,0.5998738,"('foolish', 'wise')",0.9048465,0.75750405,0.46790758,0.4270672,-0.31661567,-0.2829456,0.3848224,0.3753748,0.0094476
56,-0.48225024,-0.05920433,"('impractical', 'practical')",-0.73346335,-0.34451762,0.4375806,0.7416635,0.27441508,0.44569254,-0.1259295,0.1959085,-0.321838
25,0.46696967,0.7020829,"('egoistic', 'altruistic')",1.2550163,1.2472192,0.51437336,0.61953115,0.8692831,0.8305891,0.7764106,0.8498556,-0.073445
48,-0.45575202,-0.5873687,"('unintelligent', 'intelligent')",-0.72786915,-0.7250716,-0.24318561,-0.21715748,0.14551887,-0.038841076,-0.320322,-0.3921098,0.0717878
70,-0.4419147,-0.34806314,"('lethargic', 'energetic')",-2.231363,-2.0247009,-0.58624524,-0.47328183,0.23378901,0.102437526,-0.7564335,-0.6859021,-0.0705314
7,-0.435575,-0.18458503,"('insensitive', 'sensitive')",-0.921237,-0.65896505,-0.47563544,-0.20149985,0.32316485,0.27047494,-0.3773206,-0.1936437,-0.1836769
5,-0.42264396,-0.16530153,"('distant', 'outgoing')",1.5132066,1.4662726,0.38428295,0.50073975,-0.81175274,-0.5293159,0.1657732,0.3180987,-0.1523255
65,-0.4204781,-0.48881406,"('insecure', 'secure')",-1.5676641,-1.3430789,-0.6540644,-0.5554502,0.111673,0.14820848,-0.6326334,-0.5597837,-0.0728497
18,-0.4186812,-0.21976271,"('disagreeable', 'welcoming')",0.464103,0.38584045,0.0018533468,0.017657898,-1.1327538,-1.0983349,-0.2713697,-0.2286498,-0.0427199
31,-0.4175942,-0.07683774,"('evil', 'good')",1.4450898,1.4152917,0.33826664,0.43710834,-1.3624308,-1.1999937,0.0008329,0.1438921,-0.1430592
6,-0.40759587,-0.06624816,"('distant', 'open')",0.98855317,0.9349555,0.042234793,0.11594379,-0.67071044,-0.5045885,-0.0118796,0.1200157,-0.1318953
42,0.40647563,0.4991351,"('unreliable', 'reliable')",-0.05289408,0.13359146,0.16908579,0.26200354,-2.7339063,-2.6932194,-0.5528097,-0.4496223,-0.1031874
51,0.40303284,0.37467003,"('uneducated', 'educated')",-1.4219989,-1.3312896,-0.361546,-0.38055465,0.77898985,0.586067,-0.1503805,-0.1877768,0.0373963
2,0.36148807,0.5249801,"('unlikable', 'likable')",0.50408673,0.5722393,0.8419898,0.89047474,0.8013685,0.7962462,0.6272333,0.6959851,-0.0687518
36,0.3391453,0.1856337,"('hostile', 'amicable')",2.0576656,1.6161402,0.29900235,-0.030998673,-0.7023187,-0.9624344,0.4983737,0.2020852,0.2962885
20,-0.30474955,-0.57543397,"('rough', 'thoughtful')",-0.0045248345,-0.12604447,-0.5016783,-0.5750415,0.26833147,0.06793747,-0.1356553,-0.3021456,0.1664903
61,-0.27072555,-0.058913343,"('illogical', 'logical')",-0.12642428,0.021388862,0.5290237,0.6262347,-0.22330254,-0.232151,-0.0228572,0.0891398,-0.111997
