,exxon_male,exxon_female,tuple,mobil_male,mobil_female,corp_male,corp_female,average_male,average_female,male-female
0,-1.8374531,-2.1917925,"('unsociable', 'sociable')",-1.8736757,-2.2306445,-0.079044595,-0.6383772,-1.2633911,-1.686938,0.4235469
57,-1.7574819,-2.1296825,"('unimaginative', 'imaginative')",-2.1570878,-2.5179849,-3.441753,-3.1975691,-2.4521076,-2.6150789,0.1629713
43,-1.6511819,-1.5691174,"('irresponsible', 'responsible')",-2.6209803,-2.769611,0.11457965,-0.17026132,-1.3858609,-1.5029966,0.1171357
8,-1.623737,-0.9957823,"('unaffectionate', 'affectionate')",-2.3307502,-1.914303,0.14518097,0.54031706,-1.2697688,-0.7899227,-0.4798461
10,-1.5954306,-2.1055048,"('unsympathetic', 'sympathetic')",-2.773609,-3.3548,-0.14216685,-0.6699466,-1.5037355,-2.0434171,0.5396816
65,-1.5701228,-1.740734,"('insecure', 'secure')",-1.5994899,-1.8221159,0.110278174,-0.40631202,-1.0197783,-1.323054,0.3032757
30,-1.4858224,-1.5836158,"('intolerant', 'tolerant')",-1.4910716,-1.618494,0.5062136,0.40604228,-0.8235601,-0.9320225,0.1084624
11,-1.4260824,-1.6073606,"('unhelpful', 'helpful')",-1.8555269,-2.2810276,2.30115,1.7485844,-0.3268197,-0.713268,0.3864483
63,-1.424555,-1.5766661,"('unperceptive', 'insightful')",-1.6787496,-2.0624413,0.854591,0.48454204,-0.7495712,-1.0515218,0.3019506
14,-1.377118,-1.7804955,"('antisocial', 'social')",-1.2413498,-1.5886383,-0.25519794,-0.38126937,-0.9578886,-1.2501345,0.2922459
55,-1.3738889,-1.8976722,"('incompetent', 'clever')",-2.5786881,-3.0541484,0.7643498,0.1567637,-1.0627424,-1.5983523,0.5356099
60,-1.2926735,-1.7959956,"('inefficient', 'efficient')",-1.9034443,-2.4812262,0.08357887,-0.27078813,-1.037513,-1.5160033,0.4784903
86,-1.2759866,-1.4763314,"('uninfluential', 'influential')",-2.4612508,-2.6193087,-0.19558972,-0.4357271,-1.3109424,-1.5104558,0.1995134
45,-1.2636478,-1.3785212,"('incompetent', 'competent')",-1.5908204,-1.9761378,-0.10686708,-0.37916267,-0.9871118,-1.2446073,0.2574955
70,-1.2558187,-1.7272416,"('lethargic', 'energetic')",-1.602713,-2.126505,0.4973282,0.010605035,-0.7870678,-1.2810471,0.4939793
52,-1.1740304,-0.18907644,"('irrational', 'rational')",-0.23466098,0.23340875,-0.52909464,0.013587288,-0.6459287,0.0193065,-0.6652352
18,-1.1662738,-0.653053,"('disagreeable', 'welcoming')",-0.11715093,-0.059019066,-0.6636041,-0.75408626,-0.6490096,-0.4887195,-0.1602901
