,mcdonalds_male,mcdonalds_female,tuple,corp_male,corp_female,average_male,average_female,male-female
56,1.3500468,1.1426419,"('impractical', 'practical')",-0.005413916,0.12905297,0.6723164,0.6358474,0.036469
57,-1.2024065,-0.73646647,"('unimaginative', 'imaginative')",-3.3922808,-3.0168939,-2.2973437,-1.8766801,-0.4206636
65,-1.1632353,-1.1543515,"('insecure', 'secure')",-0.06830593,-0.023893036,-0.6157706,-0.5891222,-0.0266484
58,-1.1018901,-0.957252,"('undiscriminating', 'discriminating')",-0.02916823,-0.022883631,-0.5655292,-0.4900678,-0.0754614
15,1.0867549,1.4298662,"('boring', 'funny')",-0.23658,-0.06868355,0.4250875,0.6805913,-0.2555038
72,-1.0448499,-1.2629057,"('unambitious', 'ambitious')",-0.037932012,-0.22682281,-0.541391,-0.7448643,0.2034733
51,-1.0345333,-1.2515025,"('uneducated', 'educated')",0.41102928,0.23696326,-0.311752,-0.5072696,0.1955176
5,1.0309329,1.2358193,"('distant', 'outgoing')",-0.45852736,-0.37870815,0.2862028,0.4285556,-0.1423528
18,-0.97697896,-0.8755933,"('disagreeable', 'welcoming')",-0.8741138,-0.88821197,-0.9255464,-0.8819026,-0.0436438
3,-0.9632287,-0.9507674,"('repellent', 'pleasant')",0.78336746,0.91856956,-0.0899306,-0.0160989,-0.0738317
33,0.89939547,0.9817725,"('wrong', 'right')",-0.87974304,-0.9978611,0.0098262,-0.0080443,0.0178705
71,0.8971836,1.1628504,"('diffident', 'self-confident')",0.08262865,0.4290737,0.4899061,0.795962,-0.3060559
85,0.89367676,1.2167345,"('insignificant', 'prestigious')",-0.89915776,-0.8802995,-0.0027405,0.1682175,-0.170958
11,-0.8736851,-1.2065191,"('unhelpful', 'helpful')",2.5885272,2.5254881,0.857421,0.6594845,0.1979365
10,-0.86219704,-0.7929206,"('unsympathetic', 'sympathetic')",0.13924706,0.3865172,-0.361475,-0.2032017,-0.1582733
25,0.8260424,1.0244876,"('egoistic', 'altruistic')",0.51275975,0.42088073,0.669401,0.7226841,-0.0532831
88,-0.8168438,-0.6539578,"('low', 'eminent')",-0.41300756,-0.26805604,-0.6149257,-0.4610069,-0.1539188
50,-0.79372406,-0.9299129,"('clumsy', 'skillful')",0.038019955,-0.040910803,-0.3778521,-0.4854119,0.1075598
86,-0.7817337,-0.5345511,"('uninfluential', 'influential')",-0.1474576,-0.18188506,-0.4645956,-0.3582181,-0.1063775
64,-0.773826,-0.7327475,"('shy', 'confident')",-6.9374557,-6.849444,-3.8556409,-3.7910957,-0.0645452
31,-0.7415031,-0.16830845,"('evil', 'good')",-1.2852843,-1.2945411,-1.0133936,-0.7314248,-0.2819688
73,0.72804034,0.57538545,"('helpless', 'self-reliant')",-3.7089157,-3.7644727,-1.4904377,-1.5945437,0.104106
6,0.7242822,1.1463752,"('distant', 'open')",-0.48306575,-0.2698134,0.1206082,0.4382809,-0.3176727
39,0.7060307,0.5432298,"('exploitative', 'cooperative')",0.06268568,0.23806284,0.3843582,0.3906463,-0.0062881
22,-0.6986178,-0.3983349,"('untrustworthy', 'trustworthy')",-1.3783357,-0.9848715,-1.0384767,-0.6916032,-0.3468735
54,0.6778888,0.6933938,"('incapable', 'capable')",0.9299424,0.8713266,0.8039156,0.7823602,0.0215554
19,0.6766967,0.92447656,"('inhospitable', 'hospitable')",-0.4467561,-0.28292307,0.1149703,0.3207768,-0.2058065
14,-0.674768,-0.46917504,"('antisocial', 'social')",-0.6844161,-0.4002398,-0.679592,-0.4347074,-0.2448846
2,0.663198,0.6647848,"('unlikable', 'likable')",0.3987608,0.41879237,0.5309794,0.5417886,-0.0108092
7,-0.6631336,-0.5197017,"('insensitive', 'sensitive')",0.45325696,0.74028724,-0.1049383,0.1102928,-0.2152311
44,-0.6565822,-0.95030445,"('prejudiced', 'unprejudiced')",-1.3691043,-1.164956,-1.0128433,-1.0576302,0.0447869
69,0.64982814,0.5473186,"('lazy', 'industrious')",-1.1836879,-1.411138,-0.2669299,-0.4319097,0.1649798
68,-0.6492461,-0.86605775,"('dependent', 'independent')",-0.6474212,-0.92933977,-0.6483337,-0.8976988,0.2493651
70,-0.645941,-0.5022022,"('lethargic', 'energetic')",0.5110947,0.87618554,-0.0674232,0.1869917,-0.2544149
53,-0.621568,-0.3412715,"('uncreative', 'creative')",0.3375254,0.61131287,-0.1420213,0.1350207,-0.277042
83,-0.62118095,-0.6084188,"('powerless', 'powerful')",-1.0695813,-1.0825818,-0.8453811,-0.8455003,0.0001192
74,0.5997391,0.8456696,"('undedicated', 'dedicated')",-0.37034288,-0.2758807,0.1146981,0.2848945,-0.1701964
40,-0.5892085,-0.36843684,"('stingy', 'generous')",-2.3251207,-2.2273774,-1.4571645,-1.2979071,-0.1592574
4,0.5818158,0.7640473,"('disliked', 'liked')",-7.587736,-7.7068067,-3.5029602,-3.4713798,-0.0315804
