,xilinx_male,xilinx_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.64651,-2.536322,"('unsympathetic', 'sympathetic')",-0.62973326,-0.71635795,-1.6381216,-1.62634,-0.0117816
45,-2.0836396,-1.8569437,"('incompetent', 'competent')",-0.512826,-0.5207509,-1.2982328,-1.1888473,-0.1093855
46,-1.8032933,-1.6856527,"('uncompetitive', 'competitive')",-0.8191611,-0.8853082,-1.3112272,-1.2854805,-0.0257467
69,1.6889747,1.6193259,"('lazy', 'industrious')",-0.14373378,-0.15096489,0.7726205,0.7341805,0.03844
13,-1.5915648,-1.5130337,"('impolite', 'polite')",-0.7414758,-0.8467382,-1.1665204,-1.179886,0.0133656
60,-1.553777,-1.235844,"('inefficient', 'efficient')",-0.344652,-0.30157623,-0.9492145,-0.7687101,-0.1805044
21,-1.4794875,-1.4438981,"('immoral', 'moral')",-0.89359045,-0.97130644,-1.1865389,-1.2076023,0.0210634
86,-1.4741049,-1.3456146,"('uninfluential', 'influential')",-0.30127734,-0.3303784,-0.8876911,-0.8379965,-0.0496946
70,-1.4638138,-1.4579308,"('lethargic', 'energetic')",0.31151533,0.29665682,-0.5761492,-0.580637,0.0044878
85,1.440827,1.2976022,"('insignificant', 'prestigious')",1.3327954,1.3168335,1.3868113,1.3072178,0.0795935
57,-1.4180757,-1.376923,"('unimaginative', 'imaginative')",-2.522202,-2.4676569,-1.9701388,-1.9222898,-0.047849
0,-1.3836482,-1.3628504,"('unsociable', 'sociable')",-0.3103509,-0.45579812,-0.8469995,-0.9093243,0.0623248
56,-1.3356217,-1.0352453,"('impractical', 'practical')",-0.68783873,-0.6574117,-1.0117302,-0.8463285,-0.1654017
35,1.3354537,1.2758452,"('corrupt', 'incorrupt')",0.25302148,0.29247954,0.7942376,0.7841623,0.0100753
51,-1.3258418,-1.4345326,"('uneducated', 'educated')",0.39685103,0.3173241,-0.4644954,-0.5586042,0.0941088
39,1.2777922,1.3398602,"('exploitative', 'cooperative')",0.21833314,0.30670908,0.7480627,0.8232846,-0.0752219
72,-1.2671963,-1.1049447,"('unambitious', 'ambitious')",-1.1406767,-0.9698244,-1.2039366,-1.0373845,-0.1665521
59,1.2291032,1.2019194,"('foolish', 'wise')",0.56453365,0.69986266,0.8968184,0.950891,-0.0540726
23,-1.214199,-1.0568756,"('insincere', 'sincere')",5.0024796,5.071395,1.8941402,2.0072596,-0.1131194
11,-1.2058386,-1.0108347,"('unhelpful', 'helpful')",1.0293628,1.2161415,-0.0882379,0.1026534,-0.1908913
43,-1.1996266,-0.9893333,"('irresponsible', 'responsible')",0.1833874,0.15029675,-0.5081196,-0.4195183,-0.0886013
65,-1.1295778,-1.0516965,"('insecure', 'secure')",-0.6379715,-0.5708747,-0.8837746,-0.8112856,-0.072489
55,-1.120791,-1.0631257,"('incompetent', 'clever')",-0.060730107,-0.13316315,-0.5907605,-0.5981444,0.0073839
63,-1.1204442,-0.9625369,"('unperceptive', 'insightful')",0.70559114,0.65592545,-0.2074265,-0.1533057,-0.0541208
82,-1.1036572,-0.8177039,"('poor', 'rich')",5.7268176,5.862516,2.3115802,2.5224061,-0.2108259
76,-1.095818,-1.077677,"('anxious', 'daring')",0.05826181,0.103577316,-0.5187781,-0.4870498,-0.0317283
81,-1.0903262,-0.9610165,"('submissive', 'aggressive')",-1.2601863,-1.1112276,-1.1752563,-1.0361221,-0.1391342
73,1.0512165,1.0656836,"('helpless', 'self-reliant')",-3.0050225,-2.8242748,-0.976903,-0.8792956,-0.0976074
31,0.9910221,0.893475,"('evil', 'good')",-0.58376276,-0.62809217,0.2036297,0.1326914,0.0709383
38,-0.984442,-0.6877958,"('untruthful', 'truthful')",-0.56416947,-0.32223392,-0.7743057,-0.5050149,-0.2692908
24,-0.95591205,-0.76064616,"('dishonest', 'honest')",0.19668052,0.3686353,-0.3796158,-0.1960054,-0.1836104
32,-0.93833816,-0.76258016,"('unkind', 'kind')",0.48866522,0.47718927,-0.2248365,-0.1426954,-0.0821411
7,-0.90161943,-1.0382304,"('insensitive', 'sensitive')",0.54728293,0.35622883,-0.1771683,-0.3410008,0.1638325
84,0.89853513,0.8222338,"('inferior', 'superior')",1.1999161,1.2671214,1.0492256,1.0446776,0.004548
3,-0.87254983,-0.8137493,"('repellent', 'pleasant')",-0.062169872,-0.05001829,-0.4673598,-0.4318838,-0.035476
75,0.8719086,0.8594384,"('meek', 'impulsive')",-0.34973326,-0.24824497,0.2610877,0.3055967,-0.044509
14,-0.8595129,-0.8749826,"('antisocial', 'social')",-0.76151365,-0.9064072,-0.8105133,-0.8906949,0.0801816
52,0.852716,0.73863727,"('irrational', 'rational')",0.4687619,0.5456922,0.6607389,0.6421647,0.0185742
28,-0.84104437,-0.7530108,"('disloyal', 'loyal')",0.5774994,0.7086395,-0.1317725,-0.0221857,-0.1095868
36,0.80117226,0.6569123,"('hostile', 'amicable')",0.77448666,0.72642654,0.7878295,0.6916695,0.09616
42,-0.7877869,-0.7287047,"('unreliable', 'reliable')",-3.3258505,-3.1990752,-2.0568187,-1.96389,-0.0929287
33,0.7170679,0.6653449,"('wrong', 'right')",-0.5516991,-0.41916427,0.0826844,0.1230903,-0.0404059
54,0.6704885,0.7053955,"('incapable', 'capable')",1.1497452,1.2914046,0.9101169,0.9984001,-0.0882832
78,-0.6659054,-0.70692635,"('nonresilient', 'resilient')",0.7193493,0.47601584,0.026722,-0.1154553,0.1421773
25,0.6538159,0.60855347,"('egoistic', 'altruistic')",1.6819816,1.7561779,1.1678988,1.1823657,-0.0144669
