,pnc_male,pnc_female,tuple,financial_male,financial_female,services_male,services_female,grp_male,grp_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.5127172,-1.1356732,"('unfriendly', 'friendly')",1.1101546,1.434092,-1.5996897,-1.0775149,-1.0339893,-0.7024279,1.4633298,1.7995178,-0.3145823,0.0635988,-0.3781811
31,-1.3955868,-0.6758218,"('evil', 'good')",-0.78786147,-0.462144,-3.1830447,-2.836849,-2.358065,-2.0322907,-1.9504031,-1.6551403,-1.9349922,-1.5324492,-0.402543
42,1.3769603,1.6236405,"('unreliable', 'reliable')",1.3954939,1.4188236,1.4511809,1.3268837,1.6329167,1.721059,-2.4605005,-2.02894,0.6792103,0.8122934,-0.1330831
2,1.3744519,1.2530388,"('unlikable', 'likable')",2.2695434,2.1369512,1.729683,1.5555347,1.7239652,1.5975884,0.9916056,0.8871469,1.6178497,1.486052,0.1317977
8,-1.1407881,-0.86831,"('unaffectionate', 'affectionate')",0.48654184,0.68193114,-1.6260946,-1.1791844,-1.7068853,-1.4757211,0.24630095,0.52049637,-0.748185,-0.4641576,-0.2840274
56,1.075427,0.7073957,"('impractical', 'practical')",0.922058,0.6731777,1.5965489,1.2713008,1.86738,1.5646529,0.28029707,0.18724532,1.1483422,0.8807545,0.2675877
87,1.0323981,0.6300538,"('unsuccessful', 'successful')",1.332365,1.0781126,1.5523297,1.1079174,0.9997912,0.663803,0.55799264,0.3584435,1.0949753,0.7676661,0.3273092
67,0.97206736,0.6763026,"('doubtful', 'determined')",0.67906743,0.45183325,0.22677545,0.056503594,1.0067328,0.7755002,-0.49500376,-0.8209217,0.4779279,0.2278436,0.2500843
21,0.93904585,0.38858426,"('immoral', 'moral')",0.78494585,0.5848436,2.3167856,1.8970021,1.7234852,1.4534395,-0.04790304,-0.29789406,1.1432718,0.8051951,0.3380767
60,0.91013134,0.60952127,"('inefficient', 'efficient')",-0.554832,-0.73859596,3.380309,3.0429103,1.7086691,1.6736953,0.7651064,0.67267996,1.2418768,1.0520422,0.1898346
6,-0.9035768,-0.56113005,"('distant', 'open')",0.3367471,0.6450502,-2.3206906,-1.7959087,-1.4818536,-0.9023121,-0.16961372,0.26821968,-0.9077975,-0.4692162,-0.4385813
32,0.8790865,0.6997654,"('unkind', 'kind')",0.2632352,0.22754753,1.4272479,1.4135929,1.699319,1.5876893,1.8382634,1.790667,1.2214304,1.1438524,0.077578
76,0.8634984,0.44238445,"('anxious', 'daring')",-0.11961188,-0.30026156,2.1849868,1.7953866,1.5863508,1.2880305,1.0170832,0.83204615,1.1064614,0.8115172,0.2949442
78,-0.786344,-0.726779,"('nonresilient', 'resilient')",0.5452937,0.5358657,1.976435,2.0222638,-0.6296701,-0.72332585,0.5757676,0.6379251,0.3362964,0.3491899,-0.0128935
70,0.7808518,0.28337604,"('lethargic', 'energetic')",-0.12109665,-0.24244802,2.3487477,2.0613139,1.4637276,1.3130736,1.4853078,1.3944201,1.1915076,0.9619472,0.2295604
