,graham_male,graham_female,tuple,holdings_male,holdings_female,co_male,co_female,average_male,average_female,male-female
56,2.0493658,2.640761,"('impractical', 'practical')",1.0855582,1.2007568,0.14010167,0.56089693,1.0916752,1.4674716,-0.3757964
36,-1.96165,-2.3684258,"('hostile', 'amicable')",-1.1013285,-1.5666083,-0.32656506,-0.9464507,-1.1298478,-1.6271617,0.4973139
16,-1.877178,-2.1860993,"('unpopular', 'popular')",-1.3067489,-1.4162174,-0.10548727,-0.55397505,-1.0964714,-1.3854307,0.2889593
24,1.8737658,1.9406509,"('dishonest', 'honest')",0.09667949,-0.30995625,1.1744306,0.8212368,1.048292,0.8173105,0.2309815
62,1.8516912,2.17818,"('incompetent', 'brilliant')",0.94545144,1.2626053,-0.14771149,0.41727307,0.8831437,1.2860195,-0.4028758
70,1.7528653,1.9821323,"('lethargic', 'energetic')",1.4391402,1.2981951,0.77159476,0.72518605,1.3212001,1.3351711,-0.013971
39,1.5629195,1.8503131,"('exploitative', 'cooperative')",-0.6529158,-0.38163486,0.2339093,0.33822837,0.3813043,0.6023022,-0.2209979
76,1.452237,1.5067623,"('anxious', 'daring')",0.35607377,0.5901198,0.3254612,0.40816286,0.7112573,0.835015,-0.1237577
67,1.4137083,1.4733536,"('doubtful', 'determined')",0.8040284,0.95817095,-0.033891827,0.108872965,0.7279483,0.8467991,-0.1188508
23,1.374954,1.7051097,"('insincere', 'sincere')",0.050394475,-0.18398143,5.5767083,5.072101,2.334019,2.1977431,0.1362759
43,1.3660511,1.713054,"('irresponsible', 'responsible')",0.57938045,0.55742353,1.0067592,1.0203294,0.9840635,1.0969356,-0.1128721
52,-1.264189,-1.4436274,"('irrational', 'rational')",-1.3912534,-1.4166145,-0.71272266,-1.0520115,-1.1227217,-1.3040845,0.1813628
30,1.2382147,1.6145533,"('intolerant', 'tolerant')",1.3964906,1.3843697,0.07677785,0.57099575,0.9038277,1.189973,-0.2861453
46,1.2233884,1.4400429,"('uncompetitive', 'competitive')",1.5818818,1.2019016,0.38351429,0.35960555,1.0629282,1.0005167,0.0624115
45,1.2007804,1.2419583,"('incompetent', 'competent')",0.8488255,0.62937903,0.26821488,0.2173743,0.7726069,0.6962372,0.0763697
85,-1.1817096,-1.3780795,"('insignificant', 'prestigious')",-0.25781527,-0.4138504,-1.0178196,-1.3711008,-0.8191148,-1.0543435,0.2352287
35,-1.1714152,-1.611465,"('corrupt', 'incorrupt')",-1.4996228,-1.4279474,-0.86475056,-1.1537104,-1.1785963,-1.3977076,0.2191113
