,bank_male,bank_female,tuple,of_male,of_female,america_male,america_female,corp_male,corp_female,average_male,average_female,male-female
71,2.0498421,2.097883,"('diffident', 'self-confident')",0.20408821,0.35478073,0.8880224,0.9247918,0.25133836,0.3561473,0.8483227,0.9334007,-0.085078
2,1.7519556,1.894869,"('unlikable', 'likable')",0.90273106,0.9237629,1.2399976,1.3258162,0.6796013,0.8051197,1.1435714,1.2373919,-0.0938205
9,1.6747254,1.7017274,"('unaffectionate', 'caring')",-0.97159755,-0.98698413,0.4954051,0.52924275,1.4124757,1.3775265,0.6527522,0.6553781,-0.0026259
1,1.6593726,1.5902563,"('unfriendly', 'friendly')",-1.1682899,-1.3564903,0.5474392,0.40499976,1.5351087,1.4457363,0.6434076,0.5211256,0.122282
68,-1.4849945,-1.5974828,"('dependent', 'independent')",0.41822663,0.44905847,0.606787,0.34747738,-1.2227815,-1.327163,-0.4206906,-0.5320275,0.1113369
34,1.4587647,1.4202452,"('mean', 'honorable')",-0.5074459,-0.5222763,-0.9025479,-1.0819875,5.538673,5.5106006,1.396861,1.3316455,0.0652155
26,1.4504753,1.2936742,"('hardhearted', 'benevolent')",1.0611327,0.7730544,2.1466057,2.037959,2.0921872,2.1303794,1.6876001,1.5587668,0.1288333
61,1.38104,1.2685155,"('illogical', 'logical')",-0.6460607,-0.85975474,0.34352368,0.08460739,0.4875655,0.39446533,0.3915171,0.2219584,0.1695587
83,1.3657938,1.3210793,"('powerless', 'powerful')",0.92711014,0.8750271,-0.36194837,-0.58550555,-0.68890035,-0.70379925,0.3105138,0.2267004,0.0838134
32,1.273166,1.4889925,"('unkind', 'kind')",0.024510534,0.13890162,-0.35725844,-0.36291704,0.66875464,0.71500003,0.4022931,0.4949943,-0.0927012
56,1.2157501,1.2821174,"('impractical', 'practical')",-1.3098154,-1.071691,-0.48480725,-0.5321253,-0.72569144,-0.56241333,-0.326141,-0.2210281,-0.1051129
14,1.2066933,1.1645536,"('antisocial', 'social')",-0.010796919,-0.1941452,-0.3784826,-0.65375847,-0.20572668,-0.2849058,0.1529218,0.007936,0.1449858
75,-1.1792755,-1.0287565,"('meek', 'impulsive')",0.36101985,0.7809855,0.47855034,0.7807928,-0.73682153,-0.6210166,-0.2691317,-0.0219987,-0.247133
50,-1.1530738,-0.93361926,"('clumsy', 'skillful')",0.35823208,0.79309714,0.15539673,0.30941558,-0.04177626,0.1534865,-0.1703053,0.080595,-0.2509003
63,1.1204472,1.2639495,"('unperceptive', 'insightful')",-0.40273225,0.012307778,0.6973887,0.7087343,0.07280993,0.2626517,0.3719784,0.5619108,-0.1899324
42,1.1203401,1.2677171,"('unreliable', 'reliable')",1.4912705,1.8172314,0.97435504,1.1492313,-3.11589,-2.8187687,0.1175189,0.3538528,-0.2363339
41,1.1101172,1.2406697,"('unforgiving', 'forgiving')",-0.39085165,-0.28763607,-0.36456275,-0.23036145,-0.010795606,-0.14472397,0.0859768,0.1444871,-0.0585103
54,1.1054631,1.2600799,"('incapable', 'capable')",-0.21409024,0.15001744,0.5538714,0.6483435,0.93211454,1.0912306,0.5943397,0.7874179,-0.1930782
39,1.0953664,1.0988777,"('exploitative', 'cooperative')",-0.11492203,-0.099174105,0.6941174,0.47624335,0.6491397,0.66398996,0.5809253,0.5349842,0.0459411
37,-1.0717977,-0.9805556,"('fake', 'genuine')",-0.33815044,-0.30101717,-0.57799435,-0.7112185,0.12335133,0.25804427,-0.4661478,-0.4336868,-0.032461
40,1.0441544,1.0860896,"('stingy', 'generous')",1.4278708,1.4253025,1.0873353,1.1332605,-1.9193442,-1.9426925,0.4100041,0.42549,-0.0154859
15,1.007031,0.91253287,"('boring', 'funny')",0.25703987,0.24320976,0.4170087,0.42767546,-0.032634936,-0.020905817,0.4121112,0.3906281,0.0214831
12,0.96543443,1.2485209,"('unsupportive', 'supportive')",-0.33335295,0.12977402,0.2797495,0.46798465,-2.3344834,-2.1359248,-0.3556631,-0.0724113,-0.2832518
62,0.9548605,1.1710254,"('incompetent', 'brilliant')",-1.2676976,-0.9937531,-0.38933596,-0.304074,-0.008011533,0.27111605,-0.1775461,0.0360786,-0.2136247
78,0.8947051,1.0307133,"('nonresilient', 'resilient')",-0.4677623,-0.25757146,-0.26501828,-0.18248087,-0.28459966,-0.26147786,-0.0306688,0.0822958,-0.1129646
43,0.8577131,1.0858533,"('irresponsible', 'responsible')",-1.0020504,-0.7267894,-0.8264906,-0.7998567,0.23516461,0.40519926,-0.1839158,-0.0088984,-0.1750174
23,0.8554066,1.0228566,"('insincere', 'sincere')",-1.838187,-1.6985146,-0.83184904,-0.85364425,6.1790104,6.208253,1.0910952,1.1697377,-0.0786425
13,0.85241616,0.90712786,"('impolite', 'polite')",-1.1358931,-1.2614648,-0.5097069,-0.6767365,-1.0392106,-1.1795065,-0.4580986,-0.552645,0.0945464
87,0.8414826,0.76397705,"('unsuccessful', 'successful')",-0.8602972,-0.9867434,0.28975946,-0.0058961213,0.45603573,0.4325507,0.1817451,0.0509721,0.130773
