,mccormick_male,mccormick_female,tuple,&_male,&_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
71,2.3562448,2.4012632,"('diffident', 'self-confident')",0.2680059,0.23492524,0.1539248,-0.018052451,0.9483704,1.0891986,0.9316365,0.9268337,0.0048028
85,2.3036885,2.2229931,"('insignificant', 'prestigious')",2.7457051,2.4792714,2.25431,1.8505921,1.9708925,1.7810463,2.3186491,2.0834758,0.2351733
69,2.3006413,2.3957965,"('lazy', 'industrious')",1.6799136,1.3953425,3.4642112,3.1537976,0.4250849,0.32389027,1.9674628,1.8172067,0.1502561
5,2.2631161,2.0846496,"('distant', 'outgoing')",1.1733762,0.9349647,1.6438702,1.2472255,0.7387945,0.5668906,1.4547893,1.2084327,0.2463566
6,2.1728017,1.8462611,"('distant', 'open')",1.2096889,1.0019683,1.1474596,0.7484197,1.3462113,1.1078984,1.4690404,1.1761369,0.2929035
44,-2.0908103,-1.7920932,"('prejudiced', 'unprejudiced')",-1.6196287,-1.3788104,-1.0827186,-0.8603235,-1.8959891,-1.8327465,-1.6722866,-1.4659934,-0.2062932
74,1.9928452,1.9849137,"('undedicated', 'dedicated')",0.30083942,0.5631332,-0.52348846,-0.38500863,0.53232604,0.5509287,0.5756305,0.6784917,-0.1028612
9,1.8937252,1.6318966,"('unaffectionate', 'caring')",0.63763934,0.35517952,0.2793016,-0.062427618,2.0979514,1.9727958,1.2271544,0.9743611,0.2527933
12,1.8296597,1.7432264,"('unsupportive', 'supportive')",0.3190918,0.36460802,-1.0899053,-1.0779393,-1.2172356,-1.274838,-0.0395973,-0.0612357,0.0216384
30,-1.7793424,-1.9427716,"('intolerant', 'tolerant')",-0.9792687,-0.88766503,-1.6613277,-1.4030662,0.2939229,0.43469262,-1.031504,-0.9497026,-0.0818014
82,-1.7753799,-1.7739995,"('poor', 'rich')",-1.2487954,-0.90724564,-1.6499405,-1.5618888,5.3943152,5.492163,0.1800499,0.3122573,-0.1322074
19,1.7350756,1.6357923,"('inhospitable', 'hospitable')",-0.09087429,-0.12732548,0.009482995,-0.24189255,0.371354,0.3956062,0.5062596,0.4155451,0.0907145
