,zions_male,zions_female,tuple,bancorporation_male,bancorporation_female,n_male,n_female,a_male,a_female,average_male,average_female,male-female
43,1.857096,1.3043915,"('irresponsible', 'responsible')",-1.0137862,-1.2357401,1.44195,1.253288,1.3932132,1.3378432,0.9196182,0.6649457,0.2546725
56,1.5577979,1.021248,"('impractical', 'practical')",0.2765584,0.0982335,1.984485,1.8635238,0.52329504,0.33922613,1.0855341,0.8305578,0.2549763
12,1.4711134,1.3182381,"('unsupportive', 'supportive')",-0.6536728,-0.931133,0.6134388,0.55676734,-1.2940421,-1.2510195,0.0342093,-0.0767867,0.110996
31,-1.426008,-1.1570411,"('evil', 'good')",-0.17281023,-0.1615853,-1.4025311,-1.4040098,-0.83364713,-0.8669334,-0.9587492,-0.8973924,-0.0613568
36,-1.3455999,-0.88508856,"('hostile', 'amicable')",1.3425832,1.2420099,-1.2663208,-1.1139318,0.38940087,0.5106368,-0.2199842,-0.0615934,-0.1583908
23,1.3063204,0.8012736,"('insincere', 'sincere')",-0.12919971,-0.3502928,1.2542212,1.2318959,6.348468,6.1341023,2.1949525,1.9542447,0.2407078
39,1.1746697,0.7853062,"('exploitative', 'cooperative')",0.616766,0.50651145,0.37410808,0.135079,-0.4798873,-0.6534257,0.4214141,0.1933677,0.2280464
29,-1.1610912,-0.93704927,"('unfair', 'fair')",-0.9241845,-0.85552746,-0.12661988,0.01859484,-1.0883234,-0.8887488,-0.8250547,-0.6656827,-0.159372
7,1.1373498,0.79896814,"('insensitive', 'sensitive')",-0.12298888,-0.2833082,0.2548463,0.2597738,0.74163556,0.6678999,0.5027107,0.3608334,0.1418773
68,-1.1087385,-1.1922039,"('dependent', 'independent')",-2.1260705,-1.991584,-1.0642192,-0.9615681,-0.5708167,-0.3514841,-1.2174612,-1.1242101,-0.0932511
16,-1.0512044,-0.82385635,"('unpopular', 'popular')",-0.19252734,-0.11189403,-0.49820393,-0.39649186,0.9485475,0.82968444,-0.1983471,-0.1256395,-0.0727076
25,-1.0458488,-0.6864945,"('egoistic', 'altruistic')",0.82447344,0.7608517,-0.22097397,-0.27930826,0.80349594,0.61151284,0.0902866,0.1016404,-0.0113538
38,1.0288732,0.72883874,"('untruthful', 'truthful')",0.3110415,0.15970695,0.6252616,0.63498926,1.3829242,1.3007693,0.8370252,0.7060761,0.1309491
74,1.0176193,0.8331066,"('undedicated', 'dedicated')",-0.3387289,-0.4993323,0.64870423,0.6950917,-0.22561307,-0.13686119,0.2754954,0.2230012,0.0524942
11,1.0133655,0.4618789,"('unhelpful', 'helpful')",-0.60512614,-0.7871282,1.5242261,1.4298539,2.374877,2.3026323,1.0768356,0.8518093,0.2250263
60,0.9976917,0.483266,"('inefficient', 'efficient')",-0.4354169,-0.53688055,1.243774,1.2735002,0.3658594,0.36427855,0.5429771,0.396041,0.1469361
2,0.93847823,0.908607,"('unlikable', 'likable')",1.6781454,1.6493225,1.6431173,1.7688731,1.0179739,1.0445518,1.3194287,1.3428386,-0.0234099
35,-0.9248203,-0.6536864,"('corrupt', 'incorrupt')",1.075233,1.1087595,-2.2461398,-2.265574,-0.74952143,-0.7691821,-0.7113121,-0.6449207,-0.0663914
1,-0.88465023,-0.7963241,"('unfriendly', 'friendly')",-0.4691813,-0.80504227,-0.24679005,-0.3624928,1.38442,1.1266805,-0.0540504,-0.2092946,0.1552442
61,-0.88289505,-1.0376006,"('illogical', 'logical')",-0.4165557,-0.51792735,0.59793293,0.5896386,0.82830185,0.83393276,0.031696,-0.0329891,0.0646851
80,0.8723652,0.7912481,"('dominated', 'dominating')",-0.36089686,-0.29628092,1.0612897,1.1202159,-0.4625414,-0.32565203,0.2775542,0.3223828,-0.0448286
6,-0.84583604,-0.6090323,"('distant', 'open')",0.511324,0.4011209,-0.9575411,-1.2037818,0.057075143,-0.017879497,-0.3087445,-0.3573932,0.0486487
84,-0.8309856,-0.9611432,"('inferior', 'superior')",-0.72318226,-0.71780384,-0.4650835,-0.68416774,-0.7844708,-0.6916208,-0.7009305,-0.7636839,0.0627534
42,0.8273141,0.5607874,"('unreliable', 'reliable')",0.62350416,0.5228456,0.18076482,-0.016547581,-3.4442227,-3.4320989,-0.4531599,-0.5912534,0.1380935
44,-0.822611,-0.91667104,"('prejudiced', 'unprejudiced')",0.61697304,0.71703655,-0.32541603,-0.63650113,-1.679811,-1.7862852,-0.5527163,-0.6556052,0.1028889
52,-0.8173411,-0.44545275,"('irrational', 'rational')",-0.21001568,-0.1944143,-0.385283,-0.5114539,1.1343193,1.0061831,-0.0695801,-0.0362844,-0.0332957
75,-0.7980275,-0.64442277,"('meek', 'impulsive')",0.7411248,0.827307,-1.1142532,-0.9578921,-0.62883514,-0.6019805,-0.4499978,-0.3442471,-0.1057507
73,0.78252554,0.69041926,"('helpless', 'self-reliant')",1.2215538,1.1473043,-0.6798284,-0.8357712,-3.6605716,-3.7354722,-0.5840802,-0.68338,0.0992998
76,0.7727843,0.57476777,"('anxious', 'daring')",0.032333605,0.08594391,0.5852181,0.5262822,-0.7859365,-0.72161686,0.1510999,0.1163442,0.0347557
88,-0.7679045,-0.4555593,"('low', 'eminent')",-1.2447108,-1.1379536,-0.21521585,-0.015516125,-0.52689445,-0.44316852,-0.6886814,-0.5130494,-0.175632
63,0.7672629,0.41172794,"('unperceptive', 'insightful')",-0.32397944,-0.56122285,0.45533478,0.50186944,1.1891195,1.203323,0.5219344,0.3889244,0.13301
19,-0.7460888,-0.8281953,"('inhospitable', 'hospitable')",-1.2291954,-1.4031675,-0.30030158,-0.38642085,-0.56393325,-0.6327168,-0.7098798,-0.8126251,0.1027453
41,0.7377772,0.5751904,"('unforgiving', 'forgiving')",0.49798578,0.48558018,0.45697662,0.6718538,0.3523291,0.4528171,0.5112672,0.5463604,-0.0350932
85,-0.7278981,-0.43847403,"('insignificant', 'prestigious')",0.416594,0.36135226,-0.98717207,-0.99486226,-0.19098139,-0.35175997,-0.3723644,-0.355936,-0.0164284
70,0.7193597,0.22183129,"('lethargic', 'energetic')",-0.98078346,-1.1132327,1.3963935,1.1590506,0.6307306,0.5922258,0.4414251,0.2149687,0.2264564
5,-0.7047689,-0.52946544,"('distant', 'outgoing')",0.89775395,0.817047,-0.92672306,-1.1347206,-0.8395087,-0.8506636,-0.3933117,-0.4244506,0.0311389
53,-0.7009033,-0.7108032,"('uncreative', 'creative')",-0.6290113,-0.9574015,0.19545631,0.1597856,0.5343962,0.4246014,-0.1500155,-0.2709544,0.1209389
49,-0.6870784,-0.74230623,"('unable', 'able')",-0.7041977,-0.77558655,0.656863,0.60094774,0.30053455,0.2403758,-0.1084697,-0.1691423,0.0606726
62,0.63598496,0.36449704,"('incompetent', 'brilliant')",-0.30096564,-0.38535383,1.8637887,1.7714547,1.3810148,1.2642059,0.8949557,0.753701,0.1412547
40,0.63018197,0.7158948,"('stingy', 'generous')",1.0290477,0.96193266,0.22399583,0.28547084,-2.023425,-1.8856602,-0.0350499,0.0194095,-0.0544594
17,-0.6070599,-0.45445102,"('nasty', 'nice')",0.23347539,0.3077523,-0.6465219,-0.5532395,-0.77783585,-0.7468753,-0.4494856,-0.3617034,-0.0877822
26,0.57651496,0.80872065,"('hardhearted', 'benevolent')",1.0133443,0.828136,0.8709255,0.648779,0.74013364,0.65511954,0.8002295,0.7351888,0.0650407
47,-0.5323502,-0.6615126,"('stupid', 'smart')",0.16550334,0.16012955,1.0873606,1.0252272,5.5019584,5.4188185,1.555618,1.4856657,0.0699523
32,0.5115028,0.23249486,"('unkind', 'kind')",0.40886712,0.23200835,1.5837297,1.6291797,1.4016967,1.3598105,0.9764491,0.8633734,0.1130757
57,-0.50683707,-0.6916985,"('unimaginative', 'imaginative')",-0.994228,-1.2855624,0.26040983,0.18489063,-2.9516728,-2.9967601,-1.048082,-1.1972826,0.1492006
13,0.4990187,-0.07921548,"('impolite', 'polite')",0.08418691,-0.042295642,0.40845907,0.3465695,0.26024207,0.25611115,0.3129767,0.1202924,0.1926843
21,0.49886823,0.21583243,"('immoral', 'moral')",-0.87184685,-0.9831133,1.3012967,1.4519783,0.18898863,0.27953595,0.2793267,0.2410583,0.0382684
65,0.48962075,0.15705752,"('insecure', 'secure')",-0.63179004,-0.6396802,1.2612246,1.2885842,0.38572478,0.43560535,0.376195,0.3103917,0.0658033
30,0.48153526,0.05026397,"('intolerant', 'tolerant')",-0.3175016,-0.34234807,0.2538681,0.22967854,0.35008976,0.30798173,0.1919979,0.061394,0.1306039
83,-0.44689265,-0.5370621,"('powerless', 'powerful')",0.39991686,0.3521733,-1.0188649,-1.1747265,-1.1309235,-1.2118748,-0.5491911,-0.6428726,0.0936815
64,-0.44456828,-0.68290377,"('shy', 'confident')",-0.4985461,-0.48118585,-0.3770351,-0.49474877,-6.1843243,-6.049547,-1.8761184,-1.9270964,0.050978
58,-0.43400288,-0.27823925,"('undiscriminating', 'discriminating')",0.35276672,0.33462882,-0.7413781,-0.46563092,-0.50855964,-0.28823975,-0.3327935,-0.1743703,-0.1584232
20,-0.43333068,-0.33045292,"('rough', 'thoughtful')",-0.32071573,-0.27562708,-0.30301246,-0.21560383,0.14089152,0.03973648,-0.2290418,-0.1954868,-0.033555
54,-0.41369846,-0.38142532,"('incapable', 'capable')",0.22357053,0.13018626,0.5504401,0.50747204,1.6103805,1.508408,0.4926732,0.4411602,0.051513
67,0.39751494,0.21844903,"('doubtful', 'determined')",1.0724839,1.1277786,0.32334208,0.3346081,-0.7333647,-0.70998585,0.2649941,0.2427125,0.0222816
72,0.3939131,0.4460354,"('unambitious', 'ambitious')",-0.7866766,-0.61869645,0.5619381,0.6456978,0.91827923,0.9513475,0.2718635,0.356096,-0.0842325
28,0.39302465,0.13735062,"('disloyal', 'loyal')",-0.99595696,-1.3299787,1.1212028,0.92065984,1.8412787,1.6651403,0.5898873,0.348293,0.2415943
14,0.392724,0.28732672,"('antisocial', 'social')",-0.012535322,0.14398679,1.3546326,1.5427969,-0.5338876,-0.60641545,0.3002334,0.3419237,-0.0416903
18,0.3737288,0.57088965,"('disagreeable', 'welcoming')",0.16153361,0.21646138,-0.17882633,-0.075779244,-0.36113277,-0.27130175,-0.0011742,0.1100675,-0.1112417
4,-0.36885223,0.10079008,"('disliked', 'liked')",0.4120889,0.45551312,0.13827798,0.28795654,-6.3081193,-6.184212,-1.5316511,-1.3349881,-0.196663
50,-0.35771197,-0.4220689,"('clumsy', 'skillful')",0.07483739,-0.1147062,0.064455725,0.0034851432,0.8320041,0.8045762,0.1533963,0.0678216,0.0855747
79,0.35605663,0.45120946,"('wavering', 'unwavering')",0.015057793,-0.14569202,-0.30267605,-0.3175903,0.10133211,0.20831612,0.0424426,0.0490608,-0.0066182
59,0.3514521,0.5208034,"('foolish', 'wise')",0.22374526,0.18666051,0.4436643,0.25823855,1.1941946,1.2451856,0.553264,0.552722,0.000542
86,0.30121112,0.34275812,"('uninfluential', 'influential')",-1.9997293,-2.130805,0.06278972,0.20004971,0.46928856,0.49982712,-0.29161,-0.2720425,-0.0195675
81,0.29836267,0.13230358,"('submissive', 'aggressive')",-0.88581264,-0.7497226,0.6959724,1.0958751,-0.10375328,-0.008142188,0.0011923,0.1175785,-0.1163862
51,0.28873423,0.22232872,"('uneducated', 'educated')",-1.7238692,-1.5712998,1.8887733,2.1742787,-0.036909714,0.1133163,0.1041822,0.234656,-0.1304738
66,-0.27638596,-0.19845197,"('inactive', 'active')",0.8269393,0.74335265,-0.37291634,-0.48659322,0.46439803,0.56038463,0.1605088,0.154673,0.0058358
9,0.26060706,0.058826167,"('unaffectionate', 'caring')",0.042085465,-0.30406418,0.31488508,0.066285044,1.5927914,1.4460622,0.5525923,0.3167773,0.235815
78,-0.24436828,-0.21477187,"('nonresilient', 'resilient')",-0.14435124,-0.33072528,-0.10505516,-0.030164063,-0.111334525,0.05146253,-0.1512773,-0.1310497,-0.0202276
45,-0.227617,-0.492963,"('incompetent', 'competent')",-1.5732101,-1.690492,1.2647849,1.0508736,0.70341045,0.5676046,0.0418421,-0.1412442,0.1830863
71,0.22209081,0.28626665,"('diffident', 'self-confident')",0.6761272,0.54571384,0.027661532,-0.20717828,-0.04399596,-0.20067257,0.2204709,0.1060324,0.1144385
8,-0.21761364,-0.123070896,"('unaffectionate', 'affectionate')",-0.85244143,-1.0316374,-0.23496476,-0.41536468,0.53330517,0.34475943,-0.1929286,-0.3063284,0.1133998
82,-0.20072469,-0.32537493,"('poor', 'rich')",-0.7746115,-0.7413409,1.8639371,1.8294319,6.699112,6.50395,1.8969282,1.8166666,0.0802616
48,-0.16285406,-0.21358861,"('unintelligent', 'intelligent')",-1.6901997,-1.7526429,-0.16099821,0.010131535,0.9308798,0.9171643,-0.270793,-0.2597339,-0.0110591
22,-0.16051866,-0.36778966,"('untrustworthy', 'trustworthy')",-1.1240153,-1.0453556,0.63238686,0.7085123,-0.8364535,-0.7181028,-0.3721502,-0.3556839,-0.0164663
3,-0.15904215,-0.34385604,"('repellent', 'pleasant')",-0.27614632,-0.31008673,1.1149693,1.2234473,1.3344321,1.2297659,0.5035532,0.4498176,0.0537356
10,0.15264913,-0.35236245,"('unsympathetic', 'sympathetic')",-2.215807,-2.3650959,0.5890259,0.55729055,0.33842358,0.4204906,-0.2839271,-0.4349193,0.1509922
34,0.15132686,-0.19378999,"('mean', 'honorable')",0.44213548,0.27797076,0.7286199,0.6404297,5.48354,5.3134575,1.7014055,1.509517,0.1918885
15,-0.11659308,0.18969434,"('boring', 'funny')",0.9059673,0.8963316,0.9673654,0.9442721,-0.0059235767,0.097273365,0.437704,0.5318928,-0.0941888
37,-0.114365645,-0.6052348,"('fake', 'genuine')",-1.3691472,-1.5780555,-0.19904329,-0.3261071,0.3718423,0.29060078,-0.3276785,-0.5546991,0.2270206
0,-0.108336955,-0.10525714,"('unsociable', 'sociable')",-0.34627488,-0.4485247,1.2079262,1.32432,-0.119686596,-0.08281754,0.1584069,0.1719301,-0.0135232
46,0.099562064,-0.40047392,"('uncompetitive', 'competitive')",-0.9312719,-1.1277173,-0.047355935,-0.01569213,-0.17688996,-0.09977525,-0.2639889,-0.4109146,0.1469257
27,0.09826736,0.21895488,"('hardhearted', 'softhearted')",-0.4031893,-0.4209489,-0.59023535,-0.6235438,0.79752547,0.95624447,-0.024408,0.0326767,-0.0570847
24,0.086523056,-0.046304833,"('dishonest', 'honest')",-1.4368218,-1.4465216,-0.39748868,-0.3330634,1.4143474,1.3705226,-0.08336,-0.1138418,0.0304818
87,-0.07938329,0.064163804,"('unsuccessful', 'successful')",0.5636484,0.54661316,1.8905311,1.902685,1.1580703,1.1338959,0.8832166,0.9118395,-0.0286229
33,0.064555116,0.14059213,"('wrong', 'right')",1.1289281,1.1110299,0.30438566,0.32274684,-0.19049737,-0.15147185,0.3268429,0.3557242,-0.0288813
55,0.060994446,-0.21185596,"('incompetent', 'clever')",-2.082311,-2.0292292,1.2042887,1.085949,0.3213931,0.25444663,-0.1239087,-0.2251724,0.1012637
69,-0.030437822,0.32646182,"('lazy', 'industrious')",2.5037665,2.4938602,-0.90966636,-0.9121755,-1.01164,-1.0095,0.1380056,0.2246616,-0.086656
77,0.020572288,-0.41683134,"('unmotivated', 'motivated')",0.2517007,0.0100378115,-0.717059,-0.6677923,-0.3248023,-0.39207637,-0.1923971,-0.3666656,0.1742685
