,schwab_male,schwab_female,tuple,charles_male,charles_female,corp_male,corp_female,average_male,average_female,male-female
57,-2.2294729,-2.1290686,"('unimaginative', 'imaginative')",0.8778757,0.8648723,-3.1655066,-3.2636204,-1.5057012,-1.5092723,0.0035711
1,-2.156024,-1.6771666,"('unfriendly', 'friendly')",-2.438859,-2.4448879,0.46004054,0.6322971,-1.3782808,-1.1632525,-0.2150283
86,-2.0538461,-2.011098,"('uninfluential', 'influential')",0.90826184,0.559295,-0.7692662,-0.74408954,-0.6382835,-0.7319642,0.0936807
10,-2.0110667,-2.1185682,"('unsympathetic', 'sympathetic')",2.3660471,2.2069905,-0.24471301,-0.24929743,0.0367558,-0.053625,0.0903808
28,-1.9134212,-1.8371252,"('disloyal', 'loyal')",0.5576258,0.5283437,0.94495094,1.0413443,-0.1369481,-0.0891457,-0.0478024
0,-1.8418063,-1.8335803,"('unsociable', 'sociable')",1.9680822,1.6568524,-0.14133316,-0.15318756,-0.0050191,-0.1099718,0.1049527
53,-1.8349158,-1.6502094,"('uncreative', 'creative')",-1.5763481,-1.4836916,-0.09435871,-0.025717579,-1.1685409,-1.0532062,-0.1153347
23,-1.788435,-1.748031,"('insincere', 'sincere')",1.8001767,1.5710022,5.662317,5.936507,1.8913528,1.9198262,-0.0284734
45,-1.4293936,-1.1912606,"('incompetent', 'competent')",2.1286838,2.103415,-0.41095585,-0.37200487,0.0961114,0.1800499,-0.0839385
35,1.4234616,1.575023,"('corrupt', 'incorrupt')",-3.0984282,-2.4577937,-0.9299941,-0.81569755,-0.8683203,-0.5661561,-0.3021642
73,1.4173263,1.3896711,"('helpless', 'self-reliant')",-0.24233647,0.061328255,-3.0626235,-3.0511112,-0.6292112,-0.5333706,-0.0958406
14,-1.4061795,-1.3859369,"('antisocial', 'social')",2.358563,2.0436492,-0.3540828,-0.5616623,0.1994335,0.0320167,0.1674168
7,-1.3384812,-1.5421554,"('insensitive', 'sensitive')",0.8913083,0.59420013,0.07296029,0.06697282,-0.1247375,-0.2936608,0.1689233
9,-1.332345,-1.2365158,"('unaffectionate', 'caring')",-0.89275175,-0.83912283,1.1340386,1.2658399,-0.363686,-0.2699329,-0.0937531
