,ppl_male,ppl_female,tuple,corp_male,corp_female,average_male,average_female,male-female
60,2.4946852,2.1647282,"('inefficient', 'efficient')",0.688365,0.6019032,1.5915251,1.3833157,0.2082094
36,-2.017614,-1.9366723,"('hostile', 'amicable')",-0.36677527,-0.33868787,-1.1921946,-1.1376801,-0.0545145
31,-1.811739,-1.6597354,"('evil', 'good')",-1.2251382,-1.4151101,-1.5184386,-1.5374228,0.0189842
62,1.8106048,1.9176714,"('incompetent', 'brilliant')",1.0728611,1.1028578,1.4417329,1.5102646,-0.0685317
79,-1.7845893,-1.305998,"('wavering', 'unwavering')",-0.7172385,-0.5350248,-1.2509139,-0.9205114,-0.3304025
14,1.7049634,1.8871063,"('antisocial', 'social')",0.17528696,0.36117634,0.9401252,1.1241413,-0.1840161
56,1.6881335,2.002589,"('impractical', 'practical')",-0.36653963,-0.040084362,0.6607969,0.9812523,-0.3204554
1,-1.6352774,-1.636657,"('unfriendly', 'friendly')",1.1209905,1.0385594,-0.2571434,-0.2990488,0.0419054
8,-1.6279825,-1.7196251,"('unaffectionate', 'affectionate')",0.42040282,0.27390435,-0.6037898,-0.7228604,0.1190706
76,1.5324936,1.618013,"('anxious', 'daring')",-0.13737126,0.17254223,0.6975611,0.8952776,-0.1977165
6,-1.471505,-1.5485805,"('distant', 'open')",-0.54943895,-0.8055664,-1.0104721,-1.1770735,0.1666014
80,1.4150416,1.3375036,"('dominated', 'dominating')",-0.5867451,-0.4017559,0.4141482,0.4678738,-0.0537256
26,-1.4029081,-1.1371415,"('hardhearted', 'benevolent')",1.2927,1.443857,-0.055104,0.1533577,-0.2084617
39,1.3878231,0.9718129,"('exploitative', 'cooperative')",0.049760986,0.14297101,0.718792,0.5573919,0.1614001
42,1.3148037,1.3225274,"('unreliable', 'reliable')",-3.1632733,-3.1354408,-0.9242348,-0.9064567,-0.0177781
87,1.2311412,1.07035,"('unsuccessful', 'successful')",1.1383582,0.97491974,1.1847497,1.0226349,0.1621148
61,1.211142,1.1400872,"('illogical', 'logical')",0.7733554,0.81610125,0.9922487,0.9780942,0.0141545
35,-1.1984863,-1.4073266,"('corrupt', 'incorrupt')",-0.7353804,-0.87587535,-0.9669334,-1.141601,0.1746676
86,-1.1650605,-0.8206068,"('uninfluential', 'influential')",-0.38338822,-0.33434668,-0.7742244,-0.5774767,-0.1967477
52,-1.1533004,-1.1874019,"('irrational', 'rational')",-0.3849054,-0.45783472,-0.7691029,-0.8226183,0.0535154
77,1.1413723,0.87285054,"('unmotivated', 'motivated')",-0.5548345,-0.68590796,0.2932689,0.0934713,0.1997976
81,1.0942466,1.2971119,"('submissive', 'aggressive')",-0.2702707,0.025493778,0.411988,0.6613028,-0.2493148
5,-1.079957,-1.1206868,"('distant', 'outgoing')",-0.61571014,-0.9836111,-0.8478336,-1.0521489,0.2043153
21,1.0710086,1.24162,"('immoral', 'moral')",-0.15106183,0.11399198,0.4599734,0.677806,-0.2178326
9,-1.0419909,-1.2225852,"('unaffectionate', 'caring')",1.0280317,0.9041877,-0.0069796,-0.1591988,0.1522192
18,-0.9992256,-1.1906102,"('disagreeable', 'welcoming')",-0.48896012,-0.66030264,-0.7440929,-0.9254564,0.1813635
2,0.9986791,1.1873801,"('unlikable', 'likable')",0.6402332,0.8783861,0.8194562,1.032883,-0.2134268
88,-0.98266155,-0.6922305,"('low', 'eminent')",-0.33643764,-0.15394107,-0.6595496,-0.4230858,-0.2364638
53,-0.97748804,-0.803064,"('uncreative', 'creative')",0.4659429,0.49847,-0.2557726,-0.152297,-0.1034756
85,-0.890083,-0.8458454,"('insignificant', 'prestigious')",-0.23638624,-0.32828256,-0.5632346,-0.587064,0.0238294
65,0.8749196,0.7216125,"('insecure', 'secure')",-0.11035663,0.14877397,0.3822815,0.4351932,-0.0529117
