,wachovia_male,wachovia_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.4401526,-1.779727,"('unsympathetic', 'sympathetic')",-0.2950383,-0.21290308,-1.3675954,-0.996315,-0.3712804
77,-2.070148,-1.4468188,"('unmotivated', 'motivated')",-1.3591435,-1.0626624,-1.7146457,-1.2547406,-0.4599051
11,-1.9898155,-1.5179371,"('unhelpful', 'helpful')",1.8786539,1.8630928,-0.0555808,0.1725779,-0.2281587
28,-1.8719491,-1.5662444,"('disloyal', 'loyal')",0.847734,0.95432013,-0.5121076,-0.3059621,-0.2061455
86,-1.843595,-1.4430655,"('uninfluential', 'influential')",-0.4040199,-0.43339863,-1.1238074,-0.9382321,-0.1855753
23,-1.6423415,-1.2750634,"('insincere', 'sincere')",6.0997334,6.176468,2.2286959,2.4507022,-0.2220063
46,-1.6260774,-1.087579,"('uncompetitive', 'competitive')",-0.712617,-0.7250899,-1.1693472,-0.9063345,-0.2630127
63,-1.4752584,-0.99623215,"('unperceptive', 'insightful')",0.5154133,0.5113793,-0.4799225,-0.2424264,-0.2374961
69,1.4377087,0.8557062,"('lazy', 'industrious')",-1.3987905,-1.4498948,0.0194591,-0.2970943,0.3165534
81,-1.4293461,-1.1061797,"('submissive', 'aggressive')",-0.46271032,-0.5832157,-0.9460282,-0.8446977,-0.1013305
45,-1.4130324,-0.98205334,"('incompetent', 'competent')",-0.19061036,-0.004591435,-0.8018214,-0.4933224,-0.308499
43,-1.4084237,-0.82706136,"('irresponsible', 'responsible')",0.33564043,0.5359969,-0.5363916,-0.1455322,-0.3908594
21,-1.3776201,-0.74339914,"('immoral', 'moral')",-0.21962824,0.021977514,-0.7986242,-0.3607108,-0.4379134
32,-1.3541546,-1.0714139,"('unkind', 'kind')",0.7725133,0.7691209,-0.2908207,-0.1511465,-0.1396742
60,-1.3457932,-0.76039845,"('inefficient', 'efficient')",0.3639574,0.5509997,-0.4909179,-0.1046994,-0.3862185
0,-1.3365482,-1.1910163,"('unsociable', 'sociable')",-0.09433484,-0.117112204,-0.7154415,-0.6540642,-0.0613773
55,-1.3299586,-0.8069847,"('incompetent', 'clever')",0.76149374,0.8987452,-0.2842324,0.0458802,-0.3301126
7,-1.306164,-0.9439028,"('insensitive', 'sensitive')",0.5450931,0.66387177,-0.3805355,-0.1400155,-0.24052
38,-1.2662002,-1.0826677,"('untruthful', 'truthful')",-0.38346413,-0.31974703,-0.8248321,-0.7012074,-0.1236247
57,-1.2619393,-1.1343869,"('unimaginative', 'imaginative')",-3.0390034,-3.1350794,-2.1504712,-2.1347332,-0.015738
9,-1.2520165,-1.1206692,"('unaffectionate', 'caring')",0.9279171,0.8982411,-0.1620497,-0.1112141,-0.0508356
44,1.2411071,0.7793932,"('prejudiced', 'unprejudiced')",-1.3983214,-1.5082315,-0.0786071,-0.3644192,0.2858121
73,1.1702594,1.0253347,"('helpless', 'self-reliant')",-2.971324,-2.938415,-0.9005323,-0.9565402,0.0560079
53,-1.1177953,-0.92403734,"('uncreative', 'creative')",0.2071483,0.20861147,-0.4553235,-0.3577129,-0.0976106
78,-1.0974951,-0.63351065,"('nonresilient', 'resilient')",0.05351335,0.18616752,-0.5219908,-0.2236716,-0.2983192
62,-1.081373,-0.7754946,"('incompetent', 'brilliant')",0.5787002,0.75998235,-0.2513364,-0.0077561,-0.2435803
41,-1.0600145,-0.7153348,"('unforgiving', 'forgiving')",-0.08614086,-0.22523452,-0.5730777,-0.4702846,-0.1027931
3,-1.052114,-0.7901936,"('repellent', 'pleasant')",1.0129915,1.0313767,-0.0195612,0.1205916,-0.1401528
8,-1.0478833,-1.1210834,"('unaffectionate', 'affectionate')",0.44810113,0.31869143,-0.2998911,-0.401196,0.1013049
33,1.0469034,0.8147421,"('wrong', 'right')",-0.6632553,-0.71143496,0.191824,0.0516536,0.1401704
1,-1.0382309,-1.129486,"('unfriendly', 'friendly')",0.885172,0.84001106,-0.0765294,-0.1447375,0.0682081
35,1.0281256,0.5115525,"('corrupt', 'incorrupt')",-0.99635875,-1.0024265,0.0158834,-0.245437,0.2613204
85,1.0205923,0.66437364,"('insignificant', 'prestigious')",-1.1859635,-1.3244184,-0.0826856,-0.3300224,0.2473368
