,novellus_male,novellus_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.4786992,-1.1884431,"('unsympathetic', 'sympathetic')",-1.1181203,-0.6872706,-0.7383575,-0.5941429,-1.1117256,-0.8232855,-0.2884401
43,-1.2608587,-1.0635059,"('irresponsible', 'responsible')",-1.0013905,-0.7874961,-0.17248395,0.041837998,-0.8115776,-0.6030546,-0.208523
45,-1.1358505,-0.8905716,"('incompetent', 'competent')",-0.6841248,-0.19858676,-0.7100548,-0.46174368,-0.8433434,-0.5169673,-0.3263761
38,-1.1288141,-1.1862141,"('untruthful', 'truthful')",-1.2047186,-1.0907307,-0.19168097,-0.055274703,-0.8417379,-0.7774065,-0.0643314
84,1.0422964,1.0190573,"('inferior', 'superior')",0.44788545,0.37308607,1.1272871,1.0353819,0.8724897,0.8091751,0.0633146
85,1.0066844,0.18324421,"('insignificant', 'prestigious')",0.10712208,-0.52593267,1.0867568,0.57950974,0.7335211,0.0789404,0.6545807
74,-1.0041556,-0.8901321,"('undedicated', 'dedicated')",0.22099844,0.42364633,-0.23529476,-0.10472618,-0.339484,-0.190404,-0.14908
69,0.9887831,0.5809796,"('lazy', 'industrious')",0.5192734,0.17403337,0.20608853,-0.051754646,0.5713817,0.2344194,0.3369623
19,-0.9776661,-1.1960466,"('inhospitable', 'hospitable')",-1.2657238,-1.4381502,0.16411023,0.1745047,-0.6930932,-0.8198973,0.1268041
0,-0.9742283,-1.0072672,"('unsociable', 'sociable')",0.00012280326,0.20914184,-0.7593475,-0.82735753,-0.5778177,-0.5418276,-0.0359901
86,-0.95821154,-1.2875891,"('uninfluential', 'influential')",-0.3528472,-0.2997737,-0.4138672,-0.51279265,-0.5749753,-0.7000518,0.1250765
13,-0.95417047,-0.7334377,"('impolite', 'polite')",0.018438183,0.31705207,-0.3672273,-0.36226696,-0.4343199,-0.2595509,-0.174769
28,-0.9183911,-1.2433885,"('disloyal', 'loyal')",-0.44596547,-0.6014458,0.62452286,0.72047216,-0.2466112,-0.3747874,0.1281762
40,0.89880675,0.7711761,"('stingy', 'generous')",0.15230903,0.16412643,-1.4991758,-1.5470202,-0.1493533,-0.2039059,0.0545526
39,0.881917,0.89827174,"('exploitative', 'cooperative')",1.7765661,1.7554666,0.1789184,0.10044354,0.9458005,0.9180606,0.0277399
65,-0.8658287,-0.68636286,"('insecure', 'secure')",0.104888126,0.39039797,-0.8757476,-0.74923575,-0.5455627,-0.3484002,-0.1971625
58,-0.82971895,-0.9987829,"('undiscriminating', 'discriminating')",0.23878169,0.22521785,-0.081974536,-0.14465208,-0.2243039,-0.3060724,0.0817685
51,-0.82725537,-0.6735884,"('uneducated', 'educated')",-0.6119545,-0.37603706,0.16094638,0.22464778,-0.4260879,-0.2749925,-0.1510954
63,-0.8184058,-0.78373194,"('unperceptive', 'insightful')",-0.068284445,0.17736572,0.55586606,0.80144364,-0.1102747,0.0650258,-0.1753005
11,-0.81680477,-0.6923904,"('unhelpful', 'helpful')",0.58588374,0.79553056,1.3400735,1.6237941,0.3697175,0.5756447,-0.2059272
75,0.8116434,0.82109445,"('meek', 'impulsive')",-1.2162062,-1.3088504,-0.12298265,0.04145494,-0.1758485,-0.148767,-0.0270815
32,-0.80231553,-0.89343846,"('unkind', 'kind')",-0.91520125,-0.8461867,0.21596551,0.36789006,-0.5005171,-0.457245,-0.0432721
78,-0.8003049,-0.91760284,"('nonresilient', 'resilient')",1.2681663,1.3595,0.47964627,0.43047294,0.3158359,0.29079,0.0250459
27,-0.7906229,-0.9304851,"('hardhearted', 'softhearted')",-0.23548262,-0.36566776,1.6376824,1.3912474,0.203859,0.0316982,0.1721608
67,0.789171,0.8942286,"('doubtful', 'determined')",0.47869343,0.60322505,-0.38838387,-0.34684753,0.2931602,0.3835354,-0.0903752
57,-0.77914643,-0.831404,"('unimaginative', 'imaginative')",-0.4864201,-0.30030322,-2.6130745,-2.6930506,-1.2928804,-1.2749193,-0.0179611
70,-0.72028524,-0.31919718,"('lethargic', 'energetic')",-0.9102637,-0.5445056,0.14561345,0.45435056,-0.4949785,-0.1364507,-0.3585278
72,-0.6966582,-0.7707252,"('unambitious', 'ambitious')",-1.3868381,-1.2886156,-1.0891956,-0.8776728,-1.0575639,-0.9790045,-0.0785594
42,-0.684094,-0.43805194,"('unreliable', 'reliable')",-1.6615471,-1.4845892,-3.303214,-3.1352096,-1.8829517,-1.6859503,-0.1970014
83,0.6639563,0.5724076,"('powerless', 'powerful')",0.1972166,0.29819846,-1.0491011,-0.92874163,-0.0626427,-0.0193785,-0.0432642
82,-0.6609674,-0.56077415,"('poor', 'rich')",-1.0652505,-0.879912,5.9078016,6.2653465,1.3938611,1.6082201,-0.214359
56,-0.657666,-0.33517206,"('impractical', 'practical')",-0.020251928,0.5013018,-0.76994056,-0.48300442,-0.4826195,-0.1056249,-0.3769946
31,-0.6552654,-1.2328529,"('evil', 'good')",-0.81665295,-1.1792085,-0.40826842,-0.57466334,-0.6267289,-0.995575,0.3688461
22,-0.61517704,-0.36529398,"('untrustworthy', 'trustworthy')",-0.21295913,-0.016495971,-1.2499709,-1.0253097,-0.6927024,-0.4690332,-0.2236692
9,-0.60684717,-1.1732419,"('unaffectionate', 'caring')",-0.34806547,-0.68652356,1.1734815,1.0834681,0.0728563,-0.2587658,0.3316221
46,-0.59298664,-0.23378956,"('uncompetitive', 'competitive')",0.81330615,1.264357,-1.1909455,-1.1119559,-0.323542,-0.0271295,-0.2964125
1,-0.5846382,-1.2980955,"('unfriendly', 'friendly')",0.019293273,-0.41667178,1.8135923,1.6469189,0.4160825,-0.0226161,0.4386986
23,-0.5725606,-0.6314596,"('insincere', 'sincere')",0.48370168,0.6623236,5.368753,5.6099644,1.7599646,1.880276,-0.1203114
12,-0.5693682,-0.6551171,"('unsupportive', 'supportive')",-0.19575848,-0.0806259,-2.1014612,-2.059189,-0.9555293,-0.931644,-0.0238853
73,0.529461,0.63455623,"('helpless', 'self-reliant')",-0.0967925,-0.19063628,-3.151539,-3.0987692,-0.9062902,-0.8849498,-0.0213404
8,-0.48311466,-1.0170093,"('unaffectionate', 'affectionate')",-0.9150412,-1.3655428,0.7524225,0.6609743,-0.2152445,-0.5738593,0.3586148
79,-0.45667097,-0.69551015,"('wavering', 'unwavering')",-1.6308849,-1.876559,0.26500335,0.2929406,-0.6075175,-0.7597095,0.152192
21,-0.45613885,-0.21265702,"('immoral', 'moral')",0.45503926,0.757086,-1.19026,-1.1900778,-0.3971199,-0.2152163,-0.1819036
30,-0.45479643,-0.35393092,"('intolerant', 'tolerant')",1.039329,1.194977,0.8241539,0.8856313,0.4695622,0.5755591,-0.1059969
50,-0.44222844,-0.45767522,"('clumsy', 'skillful')",-0.6763214,-0.72917974,0.33878422,0.48277134,-0.2599219,-0.2346945,-0.0252274
33,0.43935987,0.052772015,"('wrong', 'right')",0.08282167,-0.08223921,-0.053492896,-0.21441607,0.1562295,-0.0812944,0.2375239
24,-0.43282083,-0.31463698,"('dishonest', 'honest')",-1.783291,-1.7057871,0.28960904,0.5962647,-0.6421676,-0.4747198,-0.1674478
