,comcast_male,comcast_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.3347313,-2.0916402,"('unsympathetic', 'sympathetic')",-0.26316282,-0.1681109,-1.2989471,-1.1298755,-0.1690716
45,-1.8600804,-1.6041223,"('incompetent', 'competent')",-0.06751399,0.017720995,-0.9637972,-0.7932007,-0.1705965
0,-1.7984583,-1.6204257,"('unsociable', 'sociable')",-0.4150999,-0.3746187,-1.1067791,-0.9975222,-0.1092569
57,-1.7895268,-1.6720679,"('unimaginative', 'imaginative')",-3.3248496,-2.9167783,-2.5571883,-2.2944231,-0.2627652
46,-1.6316285,-1.4381824,"('uncompetitive', 'competitive')",-0.68912417,-0.49666485,-1.1603763,-0.9674236,-0.1929527
43,-1.416632,-1.0964875,"('irresponsible', 'responsible')",0.2813344,0.5006256,-0.5676488,-0.297931,-0.2697178
55,-1.410052,-1.2891271,"('incompetent', 'clever')",0.4549675,0.6595193,-0.4775422,-0.3148039,-0.1627383
70,-1.3455713,-1.2220892,"('lethargic', 'energetic')",0.36249435,0.46689537,-0.4915385,-0.3775969,-0.1139416
73,1.2391416,1.2105224,"('helpless', 'self-reliant')",-3.266666,-3.2099915,-1.0137622,-0.9997345,-0.0140277
86,-1.2164897,-1.1862016,"('uninfluential', 'influential')",-0.5090628,-0.27810884,-0.8627763,-0.7321552,-0.1306211
85,1.1793526,1.319312,"('insignificant', 'prestigious')",-0.79703516,-0.63450134,0.1911587,0.3424053,-0.1512466
37,-1.1645405,-0.9856001,"('fake', 'genuine')",0.122013666,0.06649967,-0.5212634,-0.4595502,-0.0617132
3,-1.1502291,-1.1832393,"('repellent', 'pleasant')",0.8508554,0.7610231,-0.1496868,-0.2111081,0.0614213
21,-1.1349983,-0.9181985,"('immoral', 'moral')",-0.3675112,-0.05527784,-0.7512548,-0.4867382,-0.2645166
22,-1.0540873,-0.9230242,"('untrustworthy', 'trustworthy')",-1.1895027,-1.1135985,-1.1217949,-1.0183113,-0.1034836
77,-1.040275,-0.98664445,"('unmotivated', 'motivated')",-0.6634756,-0.7690466,-0.8518753,-0.8778455,0.0259702
7,-1.0253211,-1.113657,"('insensitive', 'sensitive')",0.048404634,-0.060598955,-0.4884582,-0.587128,0.0986698
69,1.008168,0.93379194,"('lazy', 'industrious')",-0.8937334,-0.94059485,0.0572173,-0.0034015,0.0606188
63,-0.9465284,-0.879792,"('unperceptive', 'insightful')",0.7281484,0.6388729,-0.10919,-0.1204595,0.0112695
41,-0.94235516,-0.6007368,"('unforgiving', 'forgiving')",-0.3494501,0.0016770195,-0.6459026,-0.2995299,-0.3463727
71,0.90792036,0.9470563,"('diffident', 'self-confident')",0.09600729,-0.06697896,0.5019639,0.4400387,0.0619252
13,-0.88513166,-0.9658194,"('impolite', 'polite')",-0.6147174,-0.7887889,-0.7499245,-0.8773042,0.1273797
27,-0.8821411,-0.9528944,"('hardhearted', 'softhearted')",0.66728926,0.42094198,-0.1074259,-0.2659762,0.1585503
