,first_male,first_female,tuple,horizon_male,horizon_female,corp_male,corp_female,average_male,average_female,male-female
36,-2.5368848,-2.6343875,"('hostile', 'amicable')",-0.5219814,-0.749009,0.08439268,-0.0015230905,-0.9914912,-1.1283065,0.1368153
31,-2.0856838,-2.1376576,"('evil', 'good')",-1.012102,-1.1370493,-0.8449889,-0.93854624,-1.3142583,-1.4044177,0.0901594
85,-1.9753919,-2.0149045,"('insignificant', 'prestigious')",0.44653904,0.13782795,-0.12142528,-0.31533486,-0.5500927,-0.7308038,0.1807111
35,-1.8270394,-1.7633362,"('corrupt', 'incorrupt')",-0.44067144,-0.54923517,-0.49899113,-0.4911938,-0.9222339,-0.9345884,0.0123545
21,1.7890897,1.980657,"('immoral', 'moral')",0.23497048,0.46686116,-0.7647244,-0.64074945,0.4197786,0.6022562,-0.1824776
16,-1.690284,-1.791977,"('unpopular', 'popular')",-0.21554402,-0.31057748,0.57572925,0.5170164,-0.4433662,-0.5285127,0.0851465
26,-1.6749154,-1.6565394,"('hardhearted', 'benevolent')",0.58306414,0.28799322,1.2305056,1.098154,0.0462181,-0.0901308,0.1363489
60,1.6564553,1.8635638,"('inefficient', 'efficient')",1.3616669,1.721599,-0.03189534,0.16114087,0.9954089,1.2487679,-0.253359
5,-1.6504215,-1.7700475,"('distant', 'outgoing')",-1.2836179,-1.5056108,-0.1525956,-0.30685472,-1.0288783,-1.194171,0.1652927
1,-1.644037,-1.6034048,"('unfriendly', 'friendly')",-0.51111084,-0.6889086,1.6485789,1.445676,-0.1688563,-0.2822125,0.1133562
80,1.6397818,1.7026614,"('dominated', 'dominating')",0.8699698,1.1094948,-1.0219227,-0.96664035,0.495943,0.6151719,-0.1192289
8,-1.632745,-1.57327,"('unaffectionate', 'affectionate')",-0.6494143,-0.8478013,0.80728686,0.70183694,-0.4916242,-0.5730781,0.0814539
62,1.6129142,1.799788,"('incompetent', 'brilliant')",1.6167173,1.7487603,0.6779746,0.75536954,1.3025354,1.4346393,-0.1321039
39,1.5042987,1.6060872,"('exploitative', 'cooperative')",1.0531188,1.1688641,-0.0961792,-0.02888973,0.8204127,0.9153539,-0.0949412
6,-1.4914716,-1.4908062,"('distant', 'open')",-1.7158991,-1.9191903,-0.25499713,-0.3175648,-1.1541227,-1.2425204,0.0883977
81,1.4889278,1.5409917,"('submissive', 'aggressive')",0.71280515,0.8913583,-0.6927799,-0.4976159,0.5029844,0.6449113,-0.1419269
19,-1.438448,-1.5375814,"('inhospitable', 'hospitable')",-1.1366986,-1.2059437,-0.48738027,-0.50005245,-1.0208423,-1.0811925,0.0603502
25,-1.3847615,-1.1538516,"('egoistic', 'altruistic')",-0.1049531,-7.034838e-05,1.0196073,1.110544,-0.1567024,-0.0144593,-0.1422431
67,1.2949784,1.1890466,"('doubtful', 'determined')",0.31005266,0.23602922,-0.5720655,-0.56432617,0.3443218,0.2869166,0.0574052
56,1.2837069,1.3783516,"('impractical', 'practical')",1.1062714,1.2603726,-0.7499612,-0.7427425,0.5466724,0.6319939,-0.0853215
82,-1.2689922,-1.2248018,"('poor', 'rich')",-0.7203973,-0.59283245,6.4984803,6.590029,1.5030303,1.5907982,-0.0877679
37,1.1810682,1.2070618,"('fake', 'genuine')",-0.14963502,-0.18424968,0.11875341,0.17560223,0.3833955,0.3994714,-0.0160759
53,-1.1566025,-1.0311413,"('uncreative', 'creative')",-0.99439365,-0.9524977,0.44152611,0.36503395,-0.5698233,-0.539535,-0.0302883
46,1.1214558,1.3758416,"('uncompetitive', 'competitive')",-0.10855049,0.21949857,-1.0834385,-1.0016091,-0.0235111,0.1979104,-0.2214215
69,-1.1161923,-1.1138504,"('lazy', 'industrious')",1.0128536,1.0512437,-0.34757373,-0.28280884,-0.1503041,-0.1151385,-0.0351656
13,1.1133852,0.9253475,"('impolite', 'polite')",0.65030074,0.63031316,-0.6257398,-0.7081739,0.3793154,0.2824956,0.0968198
79,-1.1122626,-1.241169,"('wavering', 'unwavering')",-0.7003765,-1.0664533,-0.29585958,-0.4260545,-0.7028329,-0.9112256,0.2083927
78,-1.0937083,-0.65292513,"('nonresilient', 'resilient')",0.13018304,0.36906648,0.49374858,0.5317271,-0.1565922,0.0826228,-0.239215
57,-1.0667561,-0.9701611,"('unimaginative', 'imaginative')",-1.1258593,-1.0894482,-3.445253,-3.5059173,-1.8792895,-1.8551757,-0.0241138
68,0.98827636,0.96436965,"('dependent', 'independent')",0.4215523,0.40443802,-0.6643478,-0.64117765,0.2484936,0.2425433,0.0059503
76,0.983288,1.0950966,"('anxious', 'daring')",-0.3386253,-0.24072215,-0.36388445,-0.28609154,0.0935927,0.1894276,-0.0958349
7,0.9670192,1.3309426,"('insensitive', 'sensitive')",0.67203176,0.9384731,0.092211075,0.23996484,0.5770874,0.8364603,-0.2593729
23,0.92921877,1.1565951,"('insincere', 'sincere')",0.9153011,1.0664005,6.1021433,6.0767326,2.6488876,2.7665761,-0.1176885
4,-0.89240295,-0.90529525,"('disliked', 'liked')",-0.16824415,-0.13699651,-6.994375,-7.1368394,-2.6850074,-2.7263772,0.0413698
75,-0.8290815,-0.7781032,"('meek', 'impulsive')",-0.11351622,-0.14736256,-0.6016468,-0.6377382,-0.5147482,-0.521068,0.0063198
50,-0.8202341,-0.667534,"('clumsy', 'skillful')",-0.01084433,0.06632683,0.45526925,0.4022599,-0.1252697,-0.0663158,-0.0589539
86,-0.75502944,-0.63831955,"('uninfluential', 'influential')",-0.34528902,-0.30734408,-0.8617215,-0.9157035,-0.6540133,-0.6204557,-0.0335576
52,-0.7470679,-0.97084427,"('irrational', 'rational')",0.29449064,-0.19911806,0.46222076,0.30684838,0.0032145,-0.2877046,0.2909191
84,0.7357086,0.84415805,"('inferior', 'superior')",0.9379601,0.80801374,0.92248917,0.9254765,0.8653859,0.8592161,0.0061698
66,-0.69496274,-0.8238683,"('inactive', 'active')",-0.7282883,-0.9537639,0.45699012,0.35336798,-0.322087,-0.4747547,0.1526677
17,-0.6941165,-0.76075476,"('nasty', 'nice')",0.07829544,0.15091854,-0.6507366,-0.6982458,-0.4221859,-0.4360274,0.0138415
0,-0.68658453,-0.8247676,"('unsociable', 'sociable')",-0.51976264,-0.5300493,-0.40972948,-0.45588362,-0.5386922,-0.6035668,0.0648746
59,-0.6829798,-0.74982864,"('foolish', 'wise')",1.0554011,0.94583684,0.40838405,0.403971,0.2602684,0.1999931,0.0602753
24,0.67279863,0.7794749,"('dishonest', 'honest')",-0.04258816,0.022502033,0.5538473,0.6659441,0.3946859,0.489307,-0.0946211
54,-0.6648169,-0.6008598,"('incapable', 'capable')",0.4734762,0.37589374,0.9383119,1.0124332,0.2489904,0.262489,-0.0134986
11,0.65739197,0.87087286,"('unhelpful', 'helpful')",-0.021361094,0.18517268,1.9502904,1.9849125,0.8621071,1.0136526,-0.1515455
70,0.6319178,0.77834487,"('lethargic', 'energetic')",-0.0052979123,0.14698376,-0.19301721,-0.10370155,0.1445342,0.2738757,-0.1293415
18,-0.62638414,-0.39441848,"('disagreeable', 'welcoming')",-0.4996323,-0.31821677,-0.66867346,-0.58052266,-0.59823,-0.4310526,-0.1671774
55,0.5671744,0.7122705,"('incompetent', 'clever')",0.15630019,0.4125404,-0.1251021,0.07557307,0.1994575,0.400128,-0.2006705
87,0.56657183,0.522216,"('unsuccessful', 'successful')",0.53766143,0.57080173,0.6802886,0.753498,0.5948406,0.6155053,-0.0206647
51,0.5446344,0.4279847,"('uneducated', 'educated')",-0.029771779,0.07796258,-0.24034464,-0.27165428,0.091506,0.0780977,0.0134083
58,-0.5397603,-0.55598307,"('undiscriminating', 'discriminating')",-0.70129436,-0.748749,0.13327144,0.011552032,-0.3692611,-0.43106,0.0617989
38,-0.49213383,-0.32440424,"('untruthful', 'truthful')",0.31356975,0.38828638,0.28567642,0.30359423,0.0357041,0.1224921,-0.086788
30,0.47082865,0.6513653,"('intolerant', 'tolerant')",0.9996955,1.094553,0.48132885,0.609533,0.6506176,0.7851504,-0.1345328
32,0.47065794,0.6987817,"('unkind', 'kind')",-0.23905623,-0.14459586,0.6879207,0.6468177,0.3065075,0.4003345,-0.093827
3,0.45364472,0.59466827,"('repellent', 'pleasant')",0.16019018,0.39120755,0.59634525,0.6811124,0.4033934,0.5556628,-0.1522694
