,eaton_male,eaton_female,tuple,corp_male,corp_female,plc_male,plc_female,average_male,average_female,male-female
26,2.829982,3.1062536,"('hardhearted', 'benevolent')",1.8635308,2.0492446,2.6063368,3.0603,2.4332832,2.7385995,-0.3053163
71,2.3846755,2.5728674,"('diffident', 'self-confident')",0.56498575,0.52604246,1.1592891,1.13905,1.3696502,1.4126533,-0.0430031
44,-1.7868518,-1.9656793,"('prejudiced', 'unprejudiced')",-0.9255518,-0.7363152,-1.5199282,-1.2999429,-1.4107773,-1.3339791,-0.0767982
61,1.6690434,1.605137,"('illogical', 'logical')",0.52957773,0.43584082,0.97915,1.2453526,1.0592571,1.0954434,-0.0361863
77,-1.4318212,-1.5096385,"('unmotivated', 'motivated')",-1.3184748,-1.4725708,-1.3564224,-1.3184259,-1.3689062,-1.4335451,0.0646389
58,1.4216992,1.2508534,"('undiscriminating', 'discriminating')",1.1254649,0.9849084,0.85103434,0.9592201,1.1327328,1.064994,0.0677388
87,1.3804462,1.1526833,"('unsuccessful', 'successful')",2.486261,2.3204284,1.790074,2.1251051,1.8855937,1.8660723,0.0195214
56,1.2236059,0.9778059,"('impractical', 'practical')",-1.0744746,-1.4421602,0.12399869,0.008425431,0.0910433,-0.1519763,0.2430196
14,1.2219709,1.0430391,"('antisocial', 'social')",0.36282897,0.20279394,-0.085615635,0.30497825,0.4997281,0.5169371,-0.017209
74,1.2068609,1.3252021,"('undedicated', 'dedicated')",0.5954091,0.5705673,0.56644404,0.908071,0.7895713,0.9346135,-0.1450422
39,1.156237,1.461536,"('exploitative', 'cooperative')",0.29956478,0.5368537,-0.117841125,0.35209417,0.4459869,0.7834946,-0.3375077
16,-1.0981623,-1.004241,"('unpopular', 'popular')",0.34163088,0.4433405,0.4822599,0.47275358,-0.0914238,-0.0293823,-0.0620415
43,1.0796546,1.0094873,"('irresponsible', 'responsible')",-0.96728694,-1.2581288,0.77130556,0.79930025,0.2945577,0.1835529,0.1110048
12,1.0632479,0.96917486,"('unsupportive', 'supportive')",-0.023068022,-0.19238731,-1.3181722,-1.0907999,-0.0926641,-0.1046708,0.0120067
1,1.0256231,1.4559964,"('unfriendly', 'friendly')",-0.2542797,-0.124527946,2.5859475,2.4899347,1.1190969,1.273801,-0.1547041
75,-0.9549194,-1.1031181,"('meek', 'impulsive')",0.6585824,0.4687844,-0.5716944,-0.9327431,-0.2893438,-0.5223589,0.2330151
63,0.9143304,0.59109235,"('unperceptive', 'insightful')",0.25027066,-0.097165585,1.2287958,0.9541752,0.797799,0.4827007,0.3150983
5,0.8491752,1.1583624,"('distant', 'outgoing')",0.702049,0.7809043,1.0399957,1.031457,0.86374,0.9902412,-0.1265012
86,0.8034502,0.72334814,"('uninfluential', 'influential')",-0.61639184,-0.9356106,0.0935027,0.15268512,0.0935204,-0.0198591,0.1133795
18,-0.78529394,-0.3076294,"('disagreeable', 'welcoming')",-0.7437293,-0.49001122,-0.8615889,-0.6264975,-0.7968707,-0.4747127,-0.322158
50,-0.7838185,-0.61939335,"('clumsy', 'skillful')",-0.11124133,-0.13918033,0.04926148,0.026449546,-0.2819328,-0.2440414,-0.0378914
85,-0.7679794,-0.1578331,"('insignificant', 'prestigious')",0.86674947,1.2775335,0.7852876,1.0578753,0.2946859,0.7258585,-0.4311726
21,-0.76337075,-0.91580427,"('immoral', 'moral')",-1.6062175,-1.7722929,-1.8978125,-1.6271827,-1.4224669,-1.4384267,0.0159598
37,-0.75367874,-0.88578606,"('fake', 'genuine')",-1.4107145,-1.6081415,0.4862978,0.2363769,-0.5593651,-0.7525168,0.1931517
48,0.7421011,0.4936584,"('unintelligent', 'intelligent')",-1.1507363,-1.472594,-0.23737422,-0.33374166,-0.2153365,-0.4375591,0.2222226
20,0.7041616,0.42263246,"('rough', 'thoughtful')",-0.038296137,-0.07844207,1.1185055,1.0957264,0.5947903,0.4799722,0.1148181
13,-0.6906679,-0.9519775,"('impolite', 'polite')",-1.4318743,-1.7452189,-0.5813113,-0.60263824,-0.9012845,-1.0999449,0.1986604
76,-0.68597764,-0.90827125,"('anxious', 'daring')",-0.95245194,-1.156466,-0.6242058,-0.61999404,-0.7542118,-0.8949105,0.1406987
52,-0.6557327,-0.31673813,"('irrational', 'rational')",-0.34304315,-0.040906798,0.30268836,0.2829882,-0.2320292,-0.0248856,-0.2071436
25,-0.64189035,-0.40519089,"('egoistic', 'altruistic')",0.30218747,0.5811195,1.2892134,1.4143306,0.3165035,0.5300864,-0.2135829
9,0.6372419,1.0156258,"('unaffectionate', 'caring')",-0.27121744,-0.029321946,1.5769037,1.4999396,0.6476427,0.8287478,-0.1811051
54,-0.6207593,-0.47662467,"('incapable', 'capable')",-0.7323524,-0.6832859,1.10158,0.8048467,-0.0838439,-0.1183546,0.0345107
82,0.59481883,0.49774322,"('poor', 'rich')",-0.45218536,-0.604322,5.7711062,4.592583,1.9712466,1.4953348,0.4759118
7,0.56143796,0.508971,"('insensitive', 'sensitive')",-1.2659724,-1.389282,0.49112868,0.4038592,-0.0711352,-0.1588173,0.0876821
72,0.48300642,0.26515058,"('unambitious', 'ambitious')",-0.828108,-0.9376235,0.4446711,0.28307807,0.0331898,-0.1297983,0.1629881
67,0.4703665,0.3946053,"('doubtful', 'determined')",0.061241515,-0.013797166,-0.6299175,-0.82072663,-0.0327698,-0.1466395,0.1138697
24,0.46604025,0.46307126,"('dishonest', 'honest')",-1.1945775,-1.2592461,0.46540484,0.6444385,-0.0877108,-0.0505788,-0.037132
64,-0.44429225,-0.3313957,"('shy', 'confident')",0.58971804,0.5225621,-6.009826,-4.884143,-1.9548001,-1.5643255,-0.3904746
32,-0.43986332,-0.16200066,"('unkind', 'kind')",-1.3250545,-1.456729,0.4402548,0.3628896,-0.4415543,-0.4186134,-0.0229409
51,-0.4377188,-0.5485666,"('uneducated', 'educated')",-0.108827055,-0.39185977,-0.05480714,-0.028486416,-0.200451,-0.3229709,0.1225199
79,-0.4216445,-0.42946106,"('wavering', 'unwavering')",-0.2696075,-0.10599743,0.3905555,0.19078906,-0.1002322,-0.1148898,0.0146576
49,-0.4048366,-0.51847327,"('unable', 'able')",-1.2129843,-1.4744495,-0.3287758,-0.39841288,-0.6488656,-0.7971119,0.1482463
33,0.4010423,0.61345387,"('wrong', 'right')",0.5048226,0.6014087,0.23897018,0.31641522,0.3816117,0.5104259,-0.1288142
2,-0.39649048,-0.11728754,"('unlikable', 'likable')",0.787948,0.92591286,0.17584126,0.43640924,0.1890996,0.4150115,-0.2259119
8,0.39644894,0.78252786,"('unaffectionate', 'affectionate')",-0.08634971,0.15586698,1.3617134,1.1462814,0.5572709,0.6948921,-0.1376212
28,-0.3550714,-0.30698022,"('disloyal', 'loyal')",-0.75642115,-0.7809051,0.9339925,0.85940194,-0.0591667,-0.0761611,0.0169944
73,0.3478403,0.5826417,"('helpless', 'self-reliant')",1.6565942,1.7082186,-2.6543655,-2.1122482,-0.2166437,0.0595373,-0.276181
27,0.33520538,0.40767765,"('hardhearted', 'softhearted')",-0.34283975,-0.49365628,0.6776722,0.4875109,0.223346,0.1338441,0.0895019
