,cincinnati_male,cincinnati_female,tuple,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
60,2.741872,2.4387438,"('inefficient', 'efficient')",-0.120601505,-0.4675945,0.8498559,0.6390529,1.1570422,0.8700674,0.2869748
23,2.261486,2.0106275,"('insincere', 'sincere')",0.51627666,0.06365458,6.1441584,5.700437,2.9739736,2.5915731,0.3824005
32,2.039868,1.7373683,"('unkind', 'kind')",0.10061742,-0.14119993,1.1811733,1.074889,1.1072196,0.8903524,0.2168672
63,2.0070703,1.9408406,"('unperceptive', 'insightful')",1.0242985,0.8383312,0.98147374,1.0712464,1.3376142,1.2834728,0.0541414
10,1.7959869,1.7921451,"('unsympathetic', 'sympathetic')",-1.0289477,-1.3852397,0.28845036,0.18549895,0.3518298,0.1974681,0.1543617
36,-1.7182759,-1.73857,"('hostile', 'amicable')",0.49363944,0.6518869,-1.3687372,-1.4263569,-0.8644579,-0.83768,-0.0267779
56,1.7005424,1.4110833,"('impractical', 'practical')",0.71566933,0.502483,0.16644655,0.10511192,0.8608861,0.6728927,0.1879934
71,1.6463358,1.5320761,"('diffident', 'self-confident')",1.8827314,1.8018123,0.026867136,0.1269677,1.1853115,1.1536187,0.0316928
24,1.6182942,1.658269,"('dishonest', 'honest')",0.27261558,0.18304138,0.8029244,0.9912462,0.8979448,0.9441856,-0.0462408
43,1.5856713,1.4051695,"('irresponsible', 'responsible')",0.66415,0.26017973,0.8918452,0.72231925,1.0472221,0.7958895,0.2513326
11,1.5688133,1.3648306,"('unhelpful', 'helpful')",0.2613331,-0.047258254,2.6116097,2.5829413,1.4805854,1.3001712,0.1804142
74,1.567855,1.4368731,"('undedicated', 'dedicated')",0.4434667,0.3212143,-0.34145382,-0.27910715,0.5566227,0.4929934,0.0636293
70,1.5234604,1.4428265,"('lethargic', 'energetic')",-0.06380351,-0.3338914,0.9684462,0.9482961,0.8093677,0.6857437,0.123624
16,-1.4802529,-1.6150686,"('unpopular', 'popular')",-0.40305856,-0.39876252,-0.043194853,-0.27097416,-0.6421688,-0.7616018,0.119433
35,-1.4437674,-1.3668785,"('corrupt', 'incorrupt')",-0.80253744,-0.39869827,-1.7826018,-1.5849211,-1.3429689,-1.1168327,-0.2261362
7,1.3908547,1.2477971,"('insensitive', 'sensitive')",0.4702151,0.15685523,0.62158364,0.49708113,0.8275511,0.6339112,0.1936399
31,-1.3760467,-1.1089556,"('evil', 'good')",-0.445958,-0.09809467,-2.3369155,-2.0925443,-1.3863068,-1.0998649,-0.2864419
51,1.3191336,0.96400225,"('uneducated', 'educated')",-0.19155732,-0.34890825,0.6020956,0.39652318,0.5765573,0.3372057,0.2393516
39,1.2198578,1.1605018,"('exploitative', 'cooperative')",0.6439168,0.54404104,0.2960197,0.3858666,0.7199314,0.6968032,0.0231282
14,1.1949548,0.9191216,"('antisocial', 'social')",1.7143506,1.4925253,0.4130093,0.07788744,1.1074382,0.8298448,0.2775934
17,-1.1535721,-1.187175,"('nasty', 'nice')",-0.28680193,-0.16941398,-0.8813686,-0.8638415,-0.7739142,-0.7401435,-0.0337707
12,1.145927,0.94682306,"('unsupportive', 'supportive')",1.3551105,1.1534454,-1.7279727,-1.5714927,0.2576883,0.1762586,0.0814297
30,1.1419339,1.1034952,"('intolerant', 'tolerant')",0.6598019,0.45536035,0.3924854,0.41499996,0.7314071,0.6579518,0.0734553
26,1.1385335,1.3102376,"('hardhearted', 'benevolent')",1.7732044,1.7524204,1.1759746,1.4553254,1.3625708,1.5059945,-0.1434237
8,-1.1337755,-1.0281829,"('unaffectionate', 'affectionate')",0.32984167,0.46924654,-0.4544559,-0.14437927,-0.4194632,-0.2344385,-0.1850247
13,1.120953,0.6726426,"('impolite', 'polite')",0.20830679,-0.065486096,-0.020708293,-0.12211305,0.4361838,0.1616812,0.2745026
52,-1.1083832,-1.0639783,"('irrational', 'rational')",0.51848686,0.6529704,-0.9064068,-0.7806548,-0.4987677,-0.3972209,-0.1015468
9,1.0772533,0.9930807,"('unaffectionate', 'caring')",1.517892,1.4987386,0.59723455,0.80717516,1.0641266,1.0996648,-0.0355382
75,-1.0771792,-0.7935825,"('meek', 'impulsive')",0.06030678,0.37313795,-0.77157336,-0.59809744,-0.5961486,-0.339514,-0.2566346
38,1.0451264,0.8923566,"('untruthful', 'truthful')",1.0745357,1.0509545,0.14559364,0.29787827,0.7550853,0.7470631,0.0080222
27,1.0333871,1.1615505,"('hardhearted', 'softhearted')",-0.69136703,-0.5900108,-0.08701101,0.04581217,0.085003,0.205784,-0.120781
21,1.0315078,0.7217107,"('immoral', 'moral')",1.0770562,0.6354053,0.35713187,-0.08862372,0.8218986,0.4228307,0.3990679
4,-1.0041738,-0.9673039,"('disliked', 'liked')",0.337539,0.47423056,-6.852161,-6.399116,-2.5062653,-2.2973965,-0.2088688
72,0.9754741,0.98798555,"('unambitious', 'ambitious')",0.01793237,0.14288828,-0.54155505,-0.47196496,0.1506171,0.2196363,-0.0690192
