,darden_male,darden_female,tuple,restaurants_male,restaurants_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.0240376,-2.4545124,"('unfriendly', 'friendly')",0.060276475,-0.17056832,1.5558428,1.5615333,-0.1359728,-0.3545158,0.218543
57,-1.8049643,-1.6849334,"('unimaginative', 'imaginative')",0.21208875,0.253887,-2.5551052,-2.8566403,-1.3826602,-1.4292289,0.0465687
86,-1.5476185,-1.728413,"('uninfluential', 'influential')",0.5224261,0.49825805,0.10203471,-0.23895757,-0.3077192,-0.4897042,0.181985
58,-1.1843189,-1.1104405,"('undiscriminating', 'discriminating')",-0.009312607,-0.049501605,-0.12492863,-0.4017287,-0.43952,-0.5205569,0.0810369
17,-1.1297052,-1.1415672,"('nasty', 'nice')",-0.68697774,-0.75607616,-0.45008814,-0.5448425,-0.7555904,-0.8141619,0.0585715
0,-1.1293416,-1.2349272,"('unsociable', 'sociable')",1.7209088,1.620015,-0.23835875,-0.48141316,0.1177361,-0.0321084,0.1498445
35,1.1087818,0.93602085,"('corrupt', 'incorrupt')",-1.6960926,-1.881313,-0.41285682,-0.34724903,-0.3333892,-0.430847,0.0974578
10,-1.0926229,-0.89321303,"('unsympathetic', 'sympathetic')",0.2300385,0.44254652,-0.086075954,-0.12835082,-0.3162201,-0.1930058,-0.1232143
27,-1.007679,-1.1497552,"('hardhearted', 'softhearted')",0.27410737,0.30145493,1.5942601,1.3831614,0.2868961,0.178287,0.1086091
41,-0.986114,-0.85614836,"('unforgiving', 'forgiving')",0.5150808,0.7671298,-0.04952523,-0.26789534,-0.1735195,-0.1189713,-0.0545482
37,0.97140265,0.813028,"('fake', 'genuine')",-0.0234879,-0.11777817,0.47798818,0.54741144,0.4753009,0.4142204,0.0610805
39,0.93613666,0.69526446,"('exploitative', 'cooperative')",1.4070246,1.3783906,0.4381212,0.36705714,0.9270941,0.8135707,0.1135234
77,-0.89325196,-1.1244254,"('unmotivated', 'motivated')",0.06341596,0.023905259,-0.9564967,-1.1575167,-0.5954442,-0.752679,0.1572348
83,-0.85584736,-0.95796484,"('powerless', 'powerful')",-0.20867778,-0.26012224,-1.2242602,-1.2633333,-0.7629285,-0.8271402,0.0642117
69,0.79926777,0.7901381,"('lazy', 'industrious')",-0.16045128,-0.1888566,-0.43838608,-0.50950074,0.0668101,0.0305936,0.0362165
48,-0.7984048,-1.0458815,"('unintelligent', 'intelligent')",0.42937064,0.45873395,0.49937278,0.33020732,0.0434462,-0.0856468,0.129093
59,0.7628442,0.61387926,"('foolish', 'wise')",-0.6335393,-0.7155261,0.23789686,0.30753922,0.1224006,0.0686308,0.0537698
61,-0.7574548,-0.86370456,"('illogical', 'logical')",0.718443,0.71024805,0.3493478,0.22344069,0.1034453,0.0233281,0.0801172
36,-0.7516858,-0.89889586,"('hostile', 'amicable')",-1.4859731,-1.6163456,-0.15365408,-0.049147185,-0.7971044,-0.8547963,0.0576919
72,-0.74185234,-0.6600269,"('unambitious', 'ambitious')",-0.52989185,-0.5186777,-0.75946164,-0.67264396,-0.6770686,-0.6171162,-0.0599524
28,-0.73679847,-1.0040905,"('disloyal', 'loyal')",-0.31511942,-0.40551648,0.8324936,0.84616506,-0.0731414,-0.187814,0.1146726
23,-0.7169405,-0.97002596,"('insincere', 'sincere')",0.19228216,0.34397224,5.809372,6.0891266,1.7615712,1.8210243,-0.0594531
9,-0.6885801,-0.9735149,"('unaffectionate', 'caring')",0.15877289,0.0090048835,1.1296664,1.1767944,0.1999531,0.0707615,0.1291916
53,-0.68265826,-0.9159404,"('uncreative', 'creative')",-0.1303924,-0.134793,0.8109782,0.81092846,-0.0006908,-0.079935,0.0792442
3,-0.6826405,-0.52635527,"('repellent', 'pleasant')",-0.5566858,-0.41030434,0.07650793,0.24890041,-0.3876061,-0.2292531,-0.158353
55,0.666174,0.43079132,"('incompetent', 'clever')",1.4693537,1.6610751,0.29210976,-0.057157554,0.8092124,0.6782363,0.1309761
20,-0.6581787,-0.52555925,"('rough', 'thoughtful')",-0.2527399,-0.06689021,1.2389674,1.1520493,0.1093496,0.1865333,-0.0771837
43,-0.65219027,-0.5652186,"('irresponsible', 'responsible')",1.4789227,1.6764,0.95508933,0.9305657,0.5939406,0.6805824,-0.0866418
26,-0.60825044,-0.85325885,"('hardhearted', 'benevolent')",0.49934968,0.5277261,1.2075708,1.2157155,0.3662233,0.2967276,0.0694957
21,-0.56749254,-0.39988932,"('immoral', 'moral')",1.3137877,1.5005293,-0.47803405,-0.65654624,0.0894204,0.1480312,-0.0586108
44,0.54491407,0.7399967,"('prejudiced', 'unprejudiced')",-0.62668806,-0.5175244,-1.4417825,-1.2333289,-0.5078522,-0.3369522,-0.1709
11,-0.52478343,-0.40380237,"('unhelpful', 'helpful')",0.0022886433,0.24455647,2.0162036,2.0906422,0.4979029,0.6437988,-0.1458959
45,-0.5145306,-0.57852864,"('incompetent', 'competent')",0.8389461,1.1044995,0.033641517,-0.19091217,0.1193523,0.1116862,0.0076661
49,-0.5051485,-0.451323,"('unable', 'able')",-0.18696122,-0.0072896257,-0.24524084,-0.102942735,-0.3124502,-0.1871851,-0.1252651
78,-0.48035097,-0.6793353,"('nonresilient', 'resilient')",0.8358471,0.849835,0.6302273,0.4420567,0.3285745,0.2041854,0.1243891
32,-0.47655648,-0.5414388,"('unkind', 'kind')",0.24385878,0.41371912,0.59997785,0.78721446,0.1224267,0.2198316,-0.0974049
65,-0.4741324,-0.5319095,"('insecure', 'secure')",-0.0052452646,0.06702465,-0.18256429,-0.27033553,-0.2206473,-0.2450735,0.0244262
19,-0.44432044,-0.4870131,"('inhospitable', 'hospitable')",-0.61287236,-0.67062515,0.06643586,0.023175921,-0.3302523,-0.3781541,0.0479018
42,0.43869755,0.529525,"('unreliable', 'reliable')",0.56559986,0.7196785,-2.4033527,-2.6147733,-0.4663518,-0.4551899,-0.0111619
63,-0.43807578,-0.24331342,"('unperceptive', 'insightful')",0.7420544,1.0316966,1.4376588,1.2269186,0.5805458,0.6717672,-0.0912214
73,0.42474708,0.80007344,"('helpless', 'self-reliant')",0.34309462,0.2507863,-3.216194,-3.3567271,-0.8161174,-0.7686225,-0.0474949
31,-0.38472617,-0.6153568,"('evil', 'good')",-1.5561557,-1.6399318,-1.0441269,-1.1441394,-0.9950029,-1.1331426,0.1381397
67,0.3837514,0.7261782,"('doubtful', 'determined')",0.083294734,0.25797498,-0.17826834,-0.19277628,0.0962593,0.2637923,-0.167533
40,-0.37359017,-0.44133824,"('stingy', 'generous')",-0.012346661,-0.055698797,-1.3532906,-1.8376257,-0.5797425,-0.778221,0.1984785
47,-0.35704124,-0.11515628,"('stupid', 'smart')",0.68709576,0.8806875,5.8635774,6.229347,2.064544,2.3316261,-0.2670821
64,0.35669544,0.2690184,"('shy', 'confident')",-0.23884168,-0.43060267,-6.4915247,-6.989365,-2.124557,-2.3836498,0.2590928
2,0.35575786,0.54025346,"('unlikable', 'likable')",1.4187871,1.5819362,0.47107846,0.5595637,0.7485411,0.8939178,-0.1453767
81,-0.3490713,-0.1295418,"('submissive', 'aggressive')",0.749159,0.8401088,-0.54052186,-0.6848787,-0.0468114,0.0085628,-0.0553742
29,0.3457067,0.4074127,"('unfair', 'fair')",-0.43288735,-0.4189668,-0.4827014,-0.56710917,-0.1899607,-0.1928877,0.002927
60,-0.33408907,-0.4248248,"('inefficient', 'efficient')",2.1815996,2.36574,0.43090385,0.2467669,0.7594715,0.7292274,0.0302441
84,0.32148448,0.19870728,"('inferior', 'superior')",-0.08269678,-0.18847468,0.66316843,0.5516877,0.300652,0.1873068,0.1133452
