,valero_male,valero_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,male-female
6,-2.2595012,-1.92938,"('distant', 'open')",-0.83085454,-0.6592792,-1.7258769,-1.1870964,-1.6054109,-1.2585852,-0.3468257
8,-1.7083979,-1.628712,"('unaffectionate', 'affectionate')",-0.8265501,-0.6589292,-0.14571127,0.2801658,-0.893553,-0.6691585,-0.2243945
86,-1.6766322,-1.7605458,"('uninfluential', 'influential')",0.6022775,0.5509696,-0.29492593,-0.20087035,-0.4564269,-0.4701489,0.013722
19,-1.6331614,-1.4462138,"('inhospitable', 'hospitable')",-1.1564312,-1.0746119,-1.0088912,-0.66243786,-1.2661613,-1.0610879,-0.2050734
1,-1.5546889,-1.5127993,"('unfriendly', 'friendly')",0.27263677,0.2920271,0.35694605,0.72126055,-0.3083687,-0.1665039,-0.1418648
5,-1.5266036,-1.2563745,"('distant', 'outgoing')",-0.20011742,-0.10561104,-1.3135188,-0.77366924,-1.0134133,-0.711885,-0.3015283
53,-1.4418637,-1.4276499,"('uncreative', 'creative')",0.381084,0.34756005,0.16513923,0.14672816,-0.2985468,-0.3111205,0.0125737
0,-1.4082836,-1.6988139,"('unsociable', 'sociable')",0.3679316,0.16857828,0.06657658,-0.13152109,-0.3245918,-0.5539189,0.2293271
9,-1.3500849,-1.4790459,"('unaffectionate', 'caring')",0.2792873,0.35606223,0.6440852,0.96034396,-0.1422374,-0.0542132,-0.0880242
26,-1.3067592,-1.301074,"('hardhearted', 'benevolent')",0.33738992,0.31117028,0.78389984,0.86133033,-0.0618231,-0.0428578,-0.0189653
45,-1.2694536,-1.3084623,"('incompetent', 'competent')",-0.06920253,-0.22078007,0.026317332,0.10767552,-0.4374463,-0.4738556,0.0364093
57,-1.2678022,-1.3221498,"('unimaginative', 'imaginative')",0.50926346,0.500221,-3.121232,-3.115712,-1.2932569,-1.3125469,0.01929
18,-1.2429593,-1.0482426,"('disagreeable', 'welcoming')",-0.7480687,-0.69962996,-0.76396084,-0.60162485,-0.9183296,-0.7831658,-0.1351638
79,-1.2221274,-0.99118716,"('wavering', 'unwavering')",-0.8859764,-0.8001218,-0.93251014,-0.64234465,-1.013538,-0.8112179,-0.2023201
73,1.1347717,1.1507305,"('helpless', 'self-reliant')",1.2813306,1.365435,-3.2839484,-3.301943,-0.289282,-0.2619259,-0.0273561
31,-1.1055862,-0.59984994,"('evil', 'good')",-1.4286271,-1.2234634,-1.9601899,-1.484742,-1.4981345,-1.1026851,-0.3954494
85,-1.0650458,-0.7373661,"('insignificant', 'prestigious')",-0.28461915,-0.1472053,-1.2187796,-0.9608357,-0.8561482,-0.6151357,-0.2410125
43,-1.0456672,-1.284528,"('irresponsible', 'responsible')",0.834417,0.7416332,0.28678718,0.14228044,0.025179,-0.1335381,0.1587171
54,-1.0241786,-1.0852108,"('incapable', 'capable')",-0.56516033,-0.6239901,0.40689388,0.51357496,-0.3941484,-0.398542,0.0043936
71,-0.97118115,-0.8468494,"('diffident', 'self-confident')",1.357273,1.3507874,0.0033462346,0.11020502,0.1298127,0.2047143,-0.0749016
76,0.9627787,0.75197244,"('anxious', 'daring')",0.050953634,-0.015247179,0.32627273,0.049622945,0.4466683,0.2621161,0.1845522
61,-0.87010396,-0.96269625,"('illogical', 'logical')",1.0065237,0.89132833,0.5762296,0.6066576,0.2375498,0.1784299,0.0591199
88,-0.8674909,-0.8428474,"('low', 'eminent')",-0.22187649,-0.26230836,-0.345558,-0.46946073,-0.4783084,-0.5248721,0.0465637
10,-0.83986914,-1.0155473,"('unsympathetic', 'sympathetic')",-0.3544871,-0.43787533,-0.38268176,-0.44971505,-0.5256793,-0.6343792,0.1086999
80,0.82650447,0.7637035,"('dominated', 'dominating')",0.5628965,0.5894995,0.44927734,0.34221825,0.6128928,0.5651404,0.0477524
