,marshall_male,marshall_female,tuple,&_male,&_female,ilsley_male,ilsley_female,corp_male,corp_female,average_male,average_female,male-female
4,-1.7501858,-1.6849033,"('disliked', 'liked')",-0.20499848,0.37579662,0.005524613,0.6389689,-6.7486935,-7.0534005,-2.1745882,-1.9308846,-0.2437036
39,1.6234205,1.3787944,"('exploitative', 'cooperative')",0.38485926,-0.053505175,0.34668422,0.2077451,0.27603254,0.43073574,0.6577491,0.4909425,0.1668066
82,-1.5284246,-0.9543662,"('poor', 'rich')",-0.07279988,0.21121243,-0.42222345,-0.16062474,5.3673644,5.823342,0.8359791,1.2298908,-0.3939117
41,-1.3263793,-0.6137352,"('unforgiving', 'forgiving')",-0.69540083,-0.6432314,-1.5349884,-0.85099864,0.13993414,0.15472876,-0.8542086,-0.4883091,-0.3658995
69,1.301156,0.35197917,"('lazy', 'industrious')",0.7996542,1.0111886,0.95767593,0.6048914,-0.84550065,-1.3853387,0.5532464,0.1456801,0.4075663
67,1.2575928,1.287211,"('doubtful', 'determined')",0.013433285,-0.056760564,0.7911981,0.47924495,-0.23424295,-0.33482063,0.4569953,0.3437187,0.1132766
30,-1.1990896,-0.44261962,"('intolerant', 'tolerant')",-0.4808439,-0.5507444,-0.45060635,-0.0054431185,0.46502498,0.6014292,-0.4163787,-0.0993445,-0.3170342
1,-1.1737624,-1.3857825,"('unfriendly', 'friendly')",-1.3433551,-1.1362301,-2.5775669,-2.2998974,0.8556394,0.8097352,-1.0597613,-1.0030437,-0.0567176
48,-1.0829175,-0.47193384,"('unintelligent', 'intelligent')",-0.4519017,-0.42373952,-1.6387124,-1.2774689,0.22741647,0.49267188,-0.7365288,-0.4201176,-0.3164112
36,-1.0807557,-1.9215465,"('hostile', 'amicable')",-1.2237542,-0.9154522,-0.85392845,-0.8771243,-0.45667553,-0.9948306,-0.9037784,-1.1772385,0.2734601
64,-1.0774885,-1.3915168,"('shy', 'confident')",0.77085537,0.52325726,1.0751712,1.0046724,-5.392851,-5.496494,-1.1560782,-1.3400202,0.183942
16,-1.0768803,-1.2411711,"('unpopular', 'popular')",-0.03999275,0.009751953,-0.8350819,-0.9207592,-0.24751882,-0.48217195,-0.5498684,-0.6585876,0.1087192
31,-1.0765699,-1.3018684,"('evil', 'good')",-1.0873389,-0.6077864,-0.81503844,-0.8207897,-0.9920679,-1.3447946,-0.9927538,-1.0188098,0.026056
63,-1.0561507,-0.46324408,"('unperceptive', 'insightful')",0.4137543,0.6409511,-1.8485069,-1.1947932,0.7433132,1.2363553,-0.4368975,0.0548173,-0.4917148
74,1.0050368,1.3792253,"('undedicated', 'dedicated')",0.47604507,0.54773474,-0.60934937,-0.13566236,-0.064226076,0.0691479,0.2018766,0.4651114,-0.2632348
53,-0.9973091,-0.737804,"('uncreative', 'creative')",-0.2474967,-0.13803177,-1.5001934,-1.209334,0.031916436,0.09298713,-0.6782707,-0.4980457,-0.180225
78,-0.9266027,-0.9196019,"('nonresilient', 'resilient')",0.48909432,0.57658577,-0.8638169,-0.61715907,0.2662723,0.46921432,-0.2587633,-0.1227402,-0.1360231
84,0.92091495,0.6671806,"('inferior', 'superior')",0.873969,0.7898328,-0.10572381,-0.18463123,1.2842126,1.0555897,0.7433432,0.581993,0.1613502
86,-0.90802634,-0.0056200735,"('uninfluential', 'influential')",-0.16424249,0.2611082,-1.8041636,-1.1524045,-0.34129167,0.4054076,-0.804431,-0.1228772,-0.6815538
40,-0.9071806,-0.44913378,"('stingy', 'generous')",-0.27394468,-0.3094604,-0.9759597,-0.5828517,-2.1389034,-2.2265823,-1.073997,-0.8920071,-0.1819899
32,-0.9005609,-0.12118752,"('unkind', 'kind')",-0.22888869,-0.32396883,-1.7982033,-1.4734588,0.5246356,0.8490771,-0.6007543,-0.2673845,-0.3333698
