,nyse_male,nyse_female,tuple,euronext_male,euronext_female,average_male,average_female,male-female
36,3.664461,3.1216826,"('hostile', 'amicable')",2.3029256,1.9090123,2.9836931,2.5153475,0.4683456
69,2.990947,2.7598307,"('lazy', 'industrious')",2.1827216,2.0395563,2.5868344,2.3996935,0.1871409
45,-2.715097,-2.6198475,"('incompetent', 'competent')",-2.29515,-2.0940206,-2.5051236,-2.3569341,-0.1481895
66,2.6450002,2.1535978,"('inactive', 'active')",2.0132654,1.700956,2.3291328,1.9272768,0.401856
10,-2.579429,-2.3995733,"('unsympathetic', 'sympathetic')",-2.7812145,-2.5709155,-2.6803217,-2.4852443,-0.1950774
55,-2.3946154,-2.2026706,"('incompetent', 'clever')",-1.8915234,-1.65494,-2.1430693,-1.9288054,-0.2142639
48,-2.3804152,-2.218112,"('unintelligent', 'intelligent')",-1.9361441,-1.7924758,-2.1582797,-2.0052938,-0.1529859
30,-2.3276365,-1.9989908,"('intolerant', 'tolerant')",-1.8831735,-1.4979336,-2.1054049,-1.7484622,-0.3569427
28,-2.3053818,-2.3639076,"('disloyal', 'loyal')",-1.442957,-1.3751982,-1.8741693,-1.8695529,-0.0046164
24,-2.0627406,-1.9532934,"('dishonest', 'honest')",-1.2516512,-1.1701417,-1.6571958,-1.5617175,-0.0954783
11,-2.0604796,-1.9222361,"('unhelpful', 'helpful')",-1.1021913,-0.93902534,-1.5813355,-1.4306307,-0.1507048
6,2.0448852,1.5431384,"('distant', 'open')",1.4530872,1.1311057,1.7489862,1.337122,0.4118642
86,-2.0273044,-2.0381057,"('uninfluential', 'influential')",-2.439625,-2.2657895,-2.2334647,-2.1519475,-0.0815172
23,-1.9361112,-1.7212029,"('insincere', 'sincere')",-0.25233188,0.026591226,-1.0942216,-0.8473058,-0.2469158
62,-1.9181656,-1.5940317,"('incompetent', 'brilliant')",-1.1600677,-0.80436647,-1.5391166,-1.1991991,-0.3399175
81,-1.8334304,-1.4019991,"('submissive', 'aggressive')",-1.7771444,-1.4129012,-1.8052874,-1.4074502,-0.3978372
2,1.8219582,1.8680707,"('unlikable', 'likable')",0.9423194,1.1107135,1.3821387,1.489392,-0.1072533
60,-1.7756038,-1.4404341,"('inefficient', 'efficient')",-1.69188,-1.2872696,-1.7337419,-1.3638518,-0.3698901
5,1.7734601,1.4067031,"('distant', 'outgoing')",1.0072682,0.838581,1.3903642,1.122642,0.2677222
51,-1.7496219,-1.3558481,"('uneducated', 'educated')",-1.8546792,-1.5265911,-1.8021505,-1.4412196,-0.3609309
37,-1.7321976,-1.6161556,"('fake', 'genuine')",-0.89343274,-0.85358304,-1.3128152,-1.2348694,-0.0779458
70,-1.726296,-1.6676873,"('lethargic', 'energetic')",-0.8488533,-0.78191495,-1.2875746,-1.2248011,-0.0627735
56,-1.6461351,-1.2069063,"('impractical', 'practical')",-1.1426672,-0.76835155,-1.3944011,-0.9876289,-0.4067722
35,1.6438142,1.2924875,"('corrupt', 'incorrupt')",1.3840456,1.0790979,1.5139298,1.1857927,0.3281371
13,-1.6159897,-1.1244831,"('impolite', 'polite')",-1.4928126,-1.2057278,-1.5544012,-1.1651055,-0.3892957
71,1.6001651,1.2978972,"('diffident', 'self-confident')",1.4254321,1.2026469,1.5127985,1.250272,0.2625265
85,1.5709434,0.83726203,"('insignificant', 'prestigious')",2.162384,1.7188097,1.8666637,1.2780359,0.5886278
38,-1.4833384,-1.5020436,"('untruthful', 'truthful')",-0.9331578,-0.74307173,-1.2082481,-1.1225576,-0.0856905
31,1.4505385,0.99849993,"('evil', 'good')",1.0438153,0.8889557,1.2471769,0.9437279,0.303449
26,1.4400507,1.057183,"('hardhearted', 'benevolent')",0.63304496,0.29642192,1.0365479,0.6768025,0.3597454
88,-1.438861,-1.410215,"('low', 'eminent')",-1.0050873,-0.9864629,-1.2219741,-1.198339,-0.0236351
40,1.4289225,1.27109,"('stingy', 'generous')",0.3180798,0.25633115,0.8735012,0.7637106,0.1097906
52,1.3670851,1.0423234,"('irrational', 'rational')",0.9139099,0.70030147,1.1404974,0.8713124,0.269185
21,-1.3646461,-0.99087745,"('immoral', 'moral')",-1.7433084,-1.4593647,-1.5539773,-1.225121,-0.3288563
43,-1.3450868,-1.2660623,"('irresponsible', 'responsible')",-1.2969023,-1.1639408,-1.3209946,-1.2150016,-0.105993
15,1.2543389,1.2355239,"('boring', 'funny')",1.1404399,1.0453289,1.1973894,1.1404264,0.056963
53,1.1574636,0.80602676,"('uncreative', 'creative')",0.27327502,0.15870647,0.7153693,0.4823666,0.2330027
33,1.1408662,0.98654395,"('wrong', 'right')",0.8600599,0.8217706,1.000463,0.9041573,0.0963057
68,-1.1241066,-1.042888,"('dependent', 'independent')",-0.84215295,-0.75031203,-0.9831298,-0.8966,-0.0865298
46,-1.1139678,-0.88104,"('uncompetitive', 'competitive')",-1.5599341,-1.4591397,-1.336951,-1.1700898,-0.1668612
