,yum_male,yum_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
86,-1.7307307,-1.8492988,"('uninfluential', 'influential')",-0.10050038,-0.08360967,0.04481289,-0.076981634,-0.5954727,-0.6699634,0.0744907
10,-1.6721301,-1.4864746,"('unsympathetic', 'sympathetic')",0.06814525,0.25333205,-0.22275402,-0.21031919,-0.6089129,-0.4811539,-0.127759
73,1.664265,1.5790952,"('helpless', 'self-reliant')",1.3618741,1.1769743,-2.5254188,-2.7106423,0.1669068,0.0151424,0.1517644
66,-1.4745877,-1.2458916,"('inactive', 'active')",-0.7858028,-0.6357648,0.68032444,0.8625094,-0.5266887,-0.3397156,-0.1869731
57,-1.4297074,-1.4478527,"('unimaginative', 'imaginative')",-0.6573029,-0.6526628,-2.2658622,-2.247018,-1.4509576,-1.4491779,-0.0017797
40,-1.3617144,-1.4967847,"('stingy', 'generous')",-0.8910946,-0.9182509,-1.7203526,-1.7426385,-1.3243872,-1.3858914,0.0615042
3,-1.3424457,-1.457937,"('repellent', 'pleasant')",-0.5440479,-0.67641574,-0.19218226,-0.20205207,-0.692892,-0.7788016,0.0859096
8,-1.2527999,-1.5059241,"('unaffectionate', 'affectionate')",-0.6924213,-0.64833885,0.26405856,0.42071584,-0.5603875,-0.5778491,0.0174616
50,1.1719688,1.0916278,"('clumsy', 'skillful')",0.26293948,0.13867188,0.45539564,0.50068986,0.6301013,0.5769965,0.0531048
81,-1.1565686,-0.9555427,"('submissive', 'aggressive')",0.2184319,0.17001218,-0.48923868,-0.7050345,-0.4757918,-0.496855,0.0210632
9,-1.1044568,-1.3403485,"('unaffectionate', 'caring')",0.28711253,0.15667138,0.97777647,0.96410304,0.0534774,-0.0731913,0.1266687
14,-1.0999445,-0.87816066,"('antisocial', 'social')",0.52669793,0.6323284,-0.80033696,-0.7003022,-0.4578612,-0.3153781,-0.1424831
46,-1.0742254,-0.87839746,"('uncompetitive', 'competitive')",1.7772287,1.7338948,-0.0945095,-0.16521111,0.2028313,0.2300954,-0.0272641
59,1.065653,1.0972548,"('foolish', 'wise')",-0.4126042,-0.32902828,0.1649596,0.21507005,0.2726695,0.3277655,-0.055096
56,1.0429629,0.9694244,"('impractical', 'practical')",2.0367131,1.9338688,0.6473807,0.42832112,1.2423523,1.1105381,0.1318142
0,-1.0383972,-1.1027424,"('unsociable', 'sociable')",0.88862854,0.8874954,-0.29894248,-0.36364883,-0.1495704,-0.1929653,0.0433949
88,-1.0202127,-1.0755688,"('low', 'eminent')",0.03937673,-0.074822254,0.09529889,0.0008527655,-0.295179,-0.3831794,0.0880004
42,1.0017906,1.2344375,"('unreliable', 'reliable')",0.8530806,0.91336435,-2.145921,-2.0569232,-0.0970166,0.0302929,-0.1273095
72,-0.9708445,-1.0408673,"('unambitious', 'ambitious')",-0.7501239,-0.77409637,-0.84486896,-0.8939299,-0.8552791,-0.9029645,0.0476854
64,-0.9650055,-0.60517514,"('shy', 'confident')",-0.27015555,-0.19439876,-5.945662,-6.0837383,-2.3936078,-2.2944374,-0.0991704
15,0.9182786,0.876474,"('boring', 'funny')",0.25096413,0.27532357,0.38723963,0.3286777,0.5188274,0.4934917,0.0253357
69,0.8907352,0.7140764,"('lazy', 'industrious')",0.31775534,0.20158917,-0.3847987,-0.5458472,0.274564,0.1232728,0.1512912
1,-0.85262936,-1.1557044,"('unfriendly', 'friendly')",0.10042844,0.13177608,1.3007574,1.3193482,0.1828522,0.0984733,0.0843789
53,-0.83352256,-1.0997615,"('uncreative', 'creative')",0.7064133,0.5858129,0.89834917,0.8829249,0.25708,0.1229921,0.1340879
48,-0.8333365,-1.0729532,"('unintelligent', 'intelligent')",-0.5665012,-0.6798153,0.44115093,0.3019546,-0.3195623,-0.4836046,0.1640423
26,-0.80844146,-0.9033436,"('hardhearted', 'benevolent')",0.31224787,0.39009932,1.1611453,1.3845549,0.2216506,0.2904369,-0.0687863
31,-0.78459716,-0.7293868,"('evil', 'good')",-2.1170764,-1.9556018,-1.4654865,-1.4442482,-1.4557199,-1.3764122,-0.0793077
