,stanley_male,stanley_female,tuple,black_male,black_female,&_male,&_female,decker_male,decker_female,inc_male,inc_female,average_male,average_female,male-female
29,-2.2279882,-2.3360877,"('unfair', 'fair')",-0.26192233,-0.12793157,-0.6796805,-0.66738355,-0.2721415,-0.31388444,-0.6182214,-0.6621404,-0.8119908,-0.8214856,0.0094948
26,2.1009583,1.5998763,"('hardhearted', 'benevolent')",-0.23072019,-0.5644073,1.663022,1.2992398,0.69853014,0.77335876,1.9745693,1.3890498,1.241272,0.8994234,0.3418486
12,1.8942845,1.6291192,"('unsupportive', 'supportive')",0.30953437,0.14267243,-0.48543552,-0.6816458,-0.13403496,-0.43856615,-0.9526566,-1.2796186,0.1263383,-0.1256078,0.2519461
9,1.578042,0.97757584,"('unaffectionate', 'caring')",0.30524087,-0.04949595,-0.21419522,-0.51682407,0.7477474,0.5000231,1.2028672,0.82904243,0.7239405,0.3480643,0.3758762
71,1.4348242,1.4964607,"('diffident', 'self-confident')",0.94929636,0.8569602,0.16755745,-0.029381653,2.5395274,2.6007905,0.72808343,0.51856494,1.1638578,1.0886789,0.0751789
40,1.342658,0.6215962,"('stingy', 'generous')",-0.64894104,-0.9278758,-0.43185383,-0.49313736,-0.51658666,-0.44717076,-1.1010513,-1.3012578,-0.271155,-0.5095691,0.2384141
85,1.3120497,1.1602802,"('insignificant', 'prestigious')",0.03291288,0.006847471,1.6969804,1.7109934,2.6027234,2.9042723,1.0873181,0.93581516,1.3463969,1.3436418,0.0027551
44,-1.235925,-0.8592626,"('prejudiced', 'unprejudiced')",-0.76983124,-0.45067972,-0.6790203,-0.43847752,-0.79358155,-0.7442984,-1.7336051,-1.3578703,-1.0423925,-0.7701177,-0.2722748
22,-1.1754533,-1.5665864,"('untrustworthy', 'trustworthy')",-1.2085692,-1.2801673,-0.9421494,-1.002844,-1.6785315,-1.7602652,-1.0514736,-1.0946069,-1.2112354,-1.3408939,0.1296585
52,-1.1567599,-1.7227023,"('irrational', 'rational')",-0.48129302,-0.7582888,1.354523,1.0913625,1.5974275,1.4930878,0.2652353,-0.34230208,0.3158266,-0.0477686,0.3635952
87,1.0894562,1.138372,"('unsuccessful', 'successful')",1.096064,1.0618281,2.1067636,2.1173477,0.12019322,-0.10869819,1.4156969,1.2223877,1.1656347,1.0862474,0.0793873
49,-1.0636609,-1.0651464,"('unable', 'able')",-1.2118188,-1.2073885,-0.9262933,-0.95248795,-0.3734542,-0.5360489,-0.2538973,0.060367238,-0.7658249,-0.7401409,-0.025684
72,1.0326715,1.1945009,"('unambitious', 'ambitious')",-0.08429935,-0.025255855,-0.967891,-0.74068993,-0.83307624,-0.7211729,-0.6994855,-0.8196526,-0.3104161,-0.2224541,-0.087962
3,-1.0320603,-1.0610842,"('repellent', 'pleasant')",-0.0478419,-0.25729075,-0.32207662,-0.49836192,-1.3818567,-1.5045577,-0.20407863,0.037279896,-0.5975828,-0.6568029,0.0592201
75,-0.95973784,-0.97281873,"('meek', 'impulsive')",0.0370981,0.16071151,0.37511566,0.48119742,1.6783211,1.8361952,-0.060708772,-0.03509166,0.2140177,0.2940388,-0.0800211
8,0.92272735,0.5190027,"('unaffectionate', 'affectionate')",-0.83146316,-1.1418306,0.0961155,-0.042912588,1.5557568,1.482346,0.9428091,0.5907602,0.5371891,0.2814732,0.2557159
46,0.8776321,0.54787195,"('uncompetitive', 'competitive')",0.31220108,0.060579345,-0.6797436,-0.7299291,-3.1160529,-3.3493288,-0.17007273,-0.14177693,-0.5552072,-0.7225167,0.1673095
84,0.8636345,1.1447408,"('inferior', 'superior')",0.647364,0.5965871,0.35805902,0.49461362,0.0701954,0.28741765,0.8340438,1.1149163,0.5546594,0.7276551,-0.1729957
31,-0.85615796,-1.2978907,"('evil', 'good')",-1.4066569,-1.510324,1.1816809,1.0313692,2.4190536,2.7648745,-0.67629546,-1.3260384,0.1323249,-0.0676019,0.1999268
86,0.8217519,0.07270517,"('uninfluential', 'influential')",-0.11367646,-0.6249327,-0.9702411,-1.3739557,-1.4755478,-1.7640224,0.03756965,-0.4759915,-0.3400288,-0.8332394,0.4932106
68,-0.7483031,-0.75374496,"('dependent', 'independent')",-0.33944756,-0.28628838,-0.876244,-0.90196955,-0.37838012,-0.5952575,-0.42222098,-0.29777893,-0.5529191,-0.5670079,0.0140888
37,-0.7374222,-1.0338143,"('fake', 'genuine')",0.54756653,0.4307105,-0.13721119,-0.20624277,-0.18857904,-0.2910657,0.33989677,0.27698568,-0.0351498,-0.1646853,0.1295355
2,0.73627365,0.6952359,"('unlikable', 'likable')",-0.22400576,0.016149968,1.2596333,1.2762207,0.7184085,0.90048563,0.61692345,0.62327117,0.6214466,0.7022727,-0.0808261
30,-0.71871895,-0.8058502,"('intolerant', 'tolerant')",-1.4320159,-1.4519756,-2.0200722,-2.120613,-2.4118345,-2.5054545,0.6078106,0.7300484,-1.1949662,-1.230769,0.0358028
66,0.7081372,0.51826644,"('inactive', 'active')",0.6357793,0.38254368,1.8285707,1.8557284,0.8734833,0.65666246,1.1700711,0.7512119,1.0432083,0.8328825,0.2103258
62,0.6877069,0.5726512,"('incompetent', 'brilliant')",-0.10056235,-0.04197248,-2.2620482,-2.2135267,-2.0224073,-2.1976469,-0.014434209,0.26226044,-0.742349,-0.7236469,-0.0187021
50,-0.66850924,-0.79704267,"('clumsy', 'skillful')",1.5748538,1.5291625,2.5220332,2.4664342,0.49059084,0.5359018,1.1934664,0.98285824,1.022487,0.9434628,0.0790242
1,0.6320806,-0.23149464,"('unfriendly', 'friendly')",-1.0372978,-1.488608,-0.1548728,-0.5106222,1.1243985,1.230549,2.122934,1.5886132,0.5374485,0.1176875,0.419761
63,0.620705,0.19837415,"('unperceptive', 'insightful')",-0.6594015,-0.8321085,-0.34490252,-0.3799011,-1.5867544,-1.765736,1.6484973,1.5509361,-0.0643712,-0.245687,0.1813158
83,0.5883278,0.3330561,"('powerless', 'powerful')",0.031312898,0.06674801,-0.0900186,-0.093467265,-0.5648068,-0.37117118,-0.73404,-0.82689667,-0.153845,-0.1783462,0.0245012
82,-0.5840839,-0.41425574,"('poor', 'rich')",-1.075336,-0.90583193,-1.2645609,-0.98043984,-1.9796506,-1.8378516,5.0477886,5.5774145,0.0288315,0.2878071,-0.2589756
58,0.55249554,-0.059682474,"('undiscriminating', 'discriminating')",-0.5929314,-0.6595559,0.019306954,-0.027802102,-0.4205138,-0.2914148,0.41564715,0.14993422,-0.0051991,-0.1777042,0.1725051
74,0.54648626,0.36508656,"('undedicated', 'dedicated')",0.45520017,0.25272983,-0.31700194,-0.26988542,-0.28345907,-0.23764554,0.29701036,0.108516596,0.1396472,0.0437604,0.0958868
36,0.5441052,-0.0053687133,"('hostile', 'amicable')",-0.26722205,-0.39944237,1.6691303,1.4770476,2.777058,3.1284215,0.4495942,-0.06992847,1.034533,0.8261458,0.2083872
45,-0.53415984,-1.2987744,"('incompetent', 'competent')",-0.5412832,-1.054284,-1.4348111,-1.6654165,-1.7957672,-2.153004,-0.5311309,-0.7836717,-0.9674304,-1.39103,0.4235996
