,prudential_male,prudential_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,male-female
85,2.3592286,1.7573783,"('insignificant', 'prestigious')",1.5754548,1.3226022,0.82454276,0.30558994,1.5864086,1.1285234,0.4578852
86,-2.2101912,-2.2838924,"('uninfluential', 'influential')",0.112243444,-0.15519968,0.033514578,-0.30946878,-0.6881444,-0.916187,0.2280426
69,2.1569088,2.1059492,"('lazy', 'industrious')",0.8467326,0.8398483,-0.31889293,-0.6331796,0.8949161,0.7708726,0.1240435
55,-2.003493,-1.856522,"('incompetent', 'clever')",-0.6367626,-0.84979737,-0.28075808,-0.3643043,-0.9736713,-1.0235412,0.0498699
79,1.9407994,1.6878166,"('wavering', 'unwavering')",-0.2801032,-0.13434958,0.33003968,0.27728665,0.6635786,0.6102512,0.0533274
0,-1.8434957,-2.2068126,"('unsociable', 'sociable')",0.25361562,0.09400458,-0.45614856,-0.6801817,-0.6820095,-0.9309966,0.2489871
73,1.8406947,1.9284862,"('helpless', 'self-reliant')",0.92535496,0.9886413,-3.2140133,-3.13937,-0.1493212,-0.0740808,-0.0752404
66,1.8328416,1.5152293,"('inactive', 'active')",1.3564967,1.1683056,1.5754685,1.0874999,1.5882689,1.2570117,0.3312572
45,-1.736956,-1.5218003,"('incompetent', 'competent')",-0.7648157,-0.7254776,-0.5047284,-0.5726615,-1.0021667,-0.9399797,-0.062187
10,-1.7252913,-1.9212282,"('unsympathetic', 'sympathetic')",-0.5773355,-0.7292397,-0.21440199,-0.27166227,-0.8390095,-0.9740434,0.1350339
48,-1.7234516,-1.8193024,"('unintelligent', 'intelligent')",-0.2810015,-0.4930537,0.5647358,0.4537661,-0.4799058,-0.61953,0.1396242
3,-1.686914,-1.7290673,"('repellent', 'pleasant')",-0.19423671,-0.22497769,0.11360553,0.012736538,-0.5891817,-0.6471028,0.0579211
46,-1.6713908,-1.2948213,"('uncompetitive', 'competitive')",0.8507509,0.78166556,-0.7018644,-0.58862853,-0.5075014,-0.3672614,-0.14024
33,1.6591315,1.4033188,"('wrong', 'right')",1.1277256,1.0269333,-0.3510361,-0.5236636,0.8119404,0.6355295,0.1764109
60,-1.5530968,-1.1866122,"('inefficient', 'efficient')",0.35722405,0.5280576,-0.17788264,0.3164429,-0.4579185,-0.1140373,-0.3438812
42,1.4776702,1.6357543,"('unreliable', 'reliable')",0.9119699,0.9642095,-2.744494,-2.6261392,-0.1182846,-0.0087251,-0.1095595
44,1.3965961,1.7554468,"('prejudiced', 'unprejudiced')",-0.4161753,-0.21575588,-1.5051486,-1.3930807,-0.1749093,0.0488701,-0.2237794
36,1.358791,0.71523803,"('hostile', 'amicable')",-0.097964525,-0.2791593,0.33928257,-0.073828965,0.5333697,0.1207499,0.4126198
82,-1.3291068,-0.6674783,"('poor', 'rich')",-0.6219414,-0.27065685,5.7909064,6.4745007,1.2799528,1.8454552,-0.5655024
