,fiserv_male,fiserv_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-1.9470296,-1.947511,"('distant', 'open')",-0.18849838,-0.12235308,-1.067764,-1.034932,-0.032832
8,-1.7599169,-1.8718911,"('unaffectionate', 'affectionate')",0.1689888,0.3191318,-0.795464,-0.7763797,-0.0190843
19,-1.6738032,-1.6249775,"('inhospitable', 'hospitable')",-0.20836572,-0.14893408,-0.9410844,-0.8869558,-0.0541286
79,-1.5881763,-1.6538404,"('wavering', 'unwavering')",-0.31058893,-0.23733874,-0.9493826,-0.9455896,-0.003793
9,-1.5583847,-1.5049998,"('unaffectionate', 'caring')",0.778825,0.9911766,-0.3897798,-0.2569116,-0.1328682
36,-1.496971,-1.8068237,"('hostile', 'amicable')",-0.27606955,-0.4420084,-0.8865203,-1.1244161,0.2378958
53,-1.4669812,-1.4570544,"('uncreative', 'creative')",0.6682356,0.7030766,-0.3993728,-0.3769889,-0.0223839
5,-1.4033496,-1.2914994,"('distant', 'outgoing')",-0.41906738,-0.2666381,-0.9112085,-0.7790687,-0.1321398
1,-1.3660389,-1.4547403,"('unfriendly', 'friendly')",1.2202262,1.2546515,-0.0729064,-0.1000444,0.027138
31,-1.3287612,-1.4972494,"('evil', 'good')",-1.484336,-1.5394207,-1.4065486,-1.5183351,0.1117865
66,-1.2415587,-1.4078758,"('inactive', 'active')",0.34259596,0.20078434,-0.4494814,-0.6035457,0.1540643
30,1.2044458,1.2056794,"('intolerant', 'tolerant')",1.6528577,1.5049093,1.4286518,1.3552943,0.0733575
60,1.1304303,1.4301716,"('inefficient', 'efficient')",0.6350282,0.75440454,0.8827293,1.092288,-0.2095587
67,1.1221869,1.1272973,"('doubtful', 'determined')",-0.30161804,-0.43322542,0.4102844,0.3470359,0.0632485
10,-1.094389,-0.97185683,"('unsympathetic', 'sympathetic')",-0.23614605,-0.25739223,-0.6652675,-0.6146245,-0.050643
86,-1.0802389,-1.1442107,"('uninfluential', 'influential')",0.016622405,-0.18485056,-0.5318083,-0.6645306,0.1327223
57,-1.0552605,-1.1643997,"('unimaginative', 'imaginative')",-2.3584146,-2.4999151,-1.7068377,-1.8321574,0.1253197
12,-0.97106653,-0.82986623,"('unsupportive', 'supportive')",-1.5935427,-1.507275,-1.2823046,-1.1685706,-0.113734
38,-0.88880664,-0.7343542,"('untruthful', 'truthful')",0.119566634,0.42653233,-0.38462,-0.1539109,-0.2307091
85,-0.88334614,-1.0461919,"('insignificant', 'prestigious')",0.1874204,0.18131931,-0.3479629,-0.4324363,0.0844734
62,0.86848164,1.1689811,"('incompetent', 'brilliant')",0.7759409,1.1003264,0.8222113,1.1346538,-0.3124425
80,0.8047356,0.80252355,"('dominated', 'dominating')",-1.1237091,-1.1779355,-0.1594867,-0.187706,0.0282193
84,0.772604,0.6353778,"('inferior', 'superior')",1.1292346,1.1214045,0.9509193,0.8783911,0.0725282
82,-0.76770294,-0.6484473,"('poor', 'rich')",6.0937843,6.330247,2.6630406,2.8408999,-0.1778593
81,0.7616298,0.94742906,"('submissive', 'aggressive')",-0.027160622,0.09167847,0.3672346,0.5195538,-0.1523192
63,-0.7573733,-0.6362519,"('unperceptive', 'insightful')",1.4442178,1.526994,0.3434223,0.445371,-0.1019487
43,-0.71521616,-0.5959623,"('irresponsible', 'responsible')",0.5784651,0.57418036,-0.0683755,-0.010891,-0.0574845
27,-0.6669435,-0.58909607,"('hardhearted', 'softhearted')",1.2591994,1.2450981,0.2961279,0.328001,-0.0318731
39,0.6632102,0.6495715,"('exploitative', 'cooperative')",-0.013173789,-0.019579193,0.3250182,0.3149962,0.010022
73,0.65191275,0.6364449,"('helpless', 'self-reliant')",-2.938436,-2.8833797,-1.1432617,-1.1234674,-0.0197943
11,-0.64637893,-0.51577896,"('unhelpful', 'helpful')",1.9298267,2.1192784,0.6417239,0.8017497,-0.1600258
88,-0.64188784,-0.6058225,"('low', 'eminent')",0.1976257,0.2149516,-0.2221311,-0.1954354,-0.0266957
23,-0.6269884,-0.5147089,"('insincere', 'sincere')",5.597384,5.7372017,2.4851978,2.6112463,-0.1260485
52,-0.60015166,-0.88689256,"('irrational', 'rational')",-0.24455445,-0.25076395,-0.4223531,-0.5688282,0.1464751
54,-0.5859178,-0.4583137,"('incapable', 'capable')",0.97518194,1.2649332,0.1946321,0.4033098,-0.2086777
0,-0.5695782,-0.69007385,"('unsociable', 'sociable')",-0.06585835,-0.3364559,-0.3177183,-0.5132649,0.1955466
78,-0.54700285,-0.44034618,"('nonresilient', 'resilient')",0.46611613,0.49827078,-0.0404434,0.0289623,-0.0694057
24,-0.5273983,-0.44579953,"('dishonest', 'honest')",0.8867861,0.9609084,0.1796939,0.2575544,-0.0778605
56,0.526893,0.6890549,"('impractical', 'practical')",0.30941784,0.4089735,0.4181554,0.5490142,-0.1308588
21,0.5221826,0.5489566,"('immoral', 'moral')",-0.20405324,-0.327879,0.1590647,0.1105388,0.0485259
58,-0.5209445,-0.6684872,"('undiscriminating', 'discriminating')",0.047504596,-0.08035818,-0.2367199,-0.3744227,0.1377028
16,-0.5006961,-0.6201739,"('unpopular', 'popular')",0.5049592,0.42481506,0.0021316,-0.0976794,0.099811
55,0.49459907,0.57672775,"('incompetent', 'clever')",0.4987055,0.35491967,0.4966523,0.4658237,0.0308286
2,0.49205637,0.5078293,"('unlikable', 'likable')",0.6929853,0.6640647,0.5925208,0.585947,0.0065738
14,0.47030002,0.40297905,"('antisocial', 'social')",-0.3057464,-0.53302914,0.0822768,-0.065025,0.1473018
72,-0.45181847,-0.3596044,"('unambitious', 'ambitious')",-1.0510632,-0.8534187,-0.7514408,-0.6065115,-0.1449293
20,0.41308528,0.36637917,"('rough', 'thoughtful')",1.1438378,1.0029099,0.7784616,0.6846445,0.0938171
77,0.40900958,0.5595044,"('unmotivated', 'motivated')",-0.7413287,-0.6440178,-0.1661596,-0.0422567,-0.1239029
48,0.39289922,0.42231992,"('unintelligent', 'intelligent')",1.242393,1.1938952,0.8176461,0.8081076,0.0095385
28,-0.34799662,-0.37193537,"('disloyal', 'loyal')",0.72603625,0.78639126,0.1890198,0.2072279,-0.0182081
17,-0.33630654,-0.36585635,"('nasty', 'nice')",-0.62045705,-0.61113733,-0.4783818,-0.4884968,0.010115
33,0.33142784,0.17679816,"('wrong', 'right')",-0.65892303,-0.64491385,-0.1637476,-0.2340578,0.0703102
29,-0.32577354,-0.36610675,"('unfair', 'fair')",-0.4687614,-0.7262902,-0.3972675,-0.5461985,0.148931
83,0.3185488,0.28625935,"('powerless', 'powerful')",-0.85920924,-0.92513436,-0.2703302,-0.3194375,0.0491073
71,-0.3160685,-0.34519166,"('diffident', 'self-confident')",0.27198064,0.29258007,-0.0220439,-0.0263058,0.0042619
69,0.309377,0.17796637,"('lazy', 'industrious')",-0.4318428,-0.5014925,-0.0612329,-0.1617631,0.1005302
26,-0.3063457,-0.54448634,"('hardhearted', 'benevolent')",1.1151181,1.0189146,0.4043862,0.2372141,0.1671721
13,0.30511823,0.32649288,"('impolite', 'polite')",0.16226718,0.12106177,0.2336927,0.2237773,0.0099154
34,-0.30496866,-0.3005697,"('mean', 'honorable')",6.0336723,6.063286,2.8643517,2.8813581,-0.0170064
32,-0.29996952,-0.18642344,"('unkind', 'kind')",0.876186,0.89636964,0.2881082,0.3549731,-0.0668649
15,-0.29091036,-0.39522436,"('boring', 'funny')",0.504343,0.34854633,0.1067163,-0.023339,0.1300553
61,-0.28783494,-0.28696564,"('illogical', 'logical')",0.23299852,0.19003479,-0.0274182,-0.0484654,0.0210472
51,-0.28270763,-0.27135062,"('uneducated', 'educated')",1.0325812,0.80958223,0.3749368,0.2691158,0.105821
37,-0.27242088,-0.3122164,"('fake', 'genuine')",0.2885735,0.17589794,0.0080763,-0.0681592,0.0762355
45,-0.25552285,-0.24711996,"('incompetent', 'competent')",0.009112012,-0.05947534,-0.1232054,-0.1532976,0.0300922
74,-0.24045375,-0.2159372,"('undedicated', 'dedicated')",-0.0050097033,-0.17000385,-0.1227317,-0.1929705,0.0702388
4,-0.23864691,-0.29027557,"('disliked', 'liked')",-5.7195544,-5.9016523,-2.9791007,-3.095964,0.1168633
64,0.22416203,0.26358798,"('shy', 'confident')",-5.7546678,-5.8000364,-2.7652528,-2.7682242,0.0029714
50,-0.21580862,-0.18015432,"('clumsy', 'skillful')",0.12341205,0.2916575,-0.0461983,0.0557516,-0.1019499
44,0.21035556,0.22129463,"('prejudiced', 'unprejudiced')",-1.4635311,-1.4806923,-0.6265878,-0.6296988,0.003111
41,-0.18965442,-0.24903871,"('unforgiving', 'forgiving')",0.35671163,0.21578777,0.0835286,-0.0166255,0.1001541
35,-0.18517601,-0.29607096,"('corrupt', 'incorrupt')",-0.58094037,-0.6304116,-0.3830582,-0.4632413,0.0801831
7,-0.17436305,-0.117391095,"('insensitive', 'sensitive')",0.75474757,0.7314342,0.2901922,0.3070216,-0.0168294
