,wells_male,wells_female,tuple,fargo_male,fargo_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
55,-2.4765766,-2.5456939,"('incompetent', 'clever')",-2.231349,-2.2350273,-1.7229664,-1.6203874,-1.1197597,-1.2834768,-1.8876629,-1.9211464,0.0334835
60,-2.4526896,-2.3015401,"('inefficient', 'efficient')",-1.2605188,-1.0642754,-1.6061604,-1.3022105,-0.55808395,-0.8826252,-1.4693632,-1.3876628,-0.0817004
85,2.4218502,2.646819,"('insignificant', 'prestigious')",1.5221577,1.5654826,2.592248,2.6218555,0.58440924,0.88374805,1.7801663,1.9294763,-0.14931
45,-2.2602105,-2.3104246,"('incompetent', 'competent')",-2.0247173,-2.006311,-1.4838574,-1.494932,-1.4648025,-1.7276709,-1.8083971,-1.8848345,0.0764374
43,-2.0807233,-1.9226319,"('irresponsible', 'responsible')",-1.3999568,-1.1263489,-1.5989885,-1.3498127,-0.29526815,-0.3886812,-1.3437341,-1.1968687,-0.1468654
86,-2.0499754,-2.0970602,"('uninfluential', 'influential')",-0.92460203,-0.8306074,-0.7270038,-0.6219712,-0.80386287,-1.0364878,-1.126361,-1.1465316,0.0201706
0,-2.0400712,-2.0680237,"('unsociable', 'sociable')",-1.436356,-1.4126449,-0.64002234,-0.6746378,-0.053862378,-0.26235637,-1.042578,-1.1044157,0.0618377
14,-2.0346384,-1.955535,"('antisocial', 'social')",-1.4900959,-1.3863021,-0.65486765,-0.62868226,-1.0863918,-1.2975812,-1.3164984,-1.3170252,0.0005268
66,1.995034,2.0323927,"('inactive', 'active')",1.6300888,1.7492456,2.5479882,2.5623047,2.4230733,2.482856,2.1490459,2.2066998,-0.0576539
70,-1.9878876,-1.8071543,"('lethargic', 'energetic')",-1.81997,-1.6739113,-1.0787172,-0.9003571,-0.57051986,-0.7497514,-1.3642737,-1.2827936,-0.0814801
10,-1.8896852,-1.6738569,"('unsympathetic', 'sympathetic')",-2.1036482,-1.9008485,-1.5627989,-1.4462394,-0.03343137,-0.30733165,-1.397391,-1.332069,-0.065322
77,-1.8688601,-1.5402944,"('unmotivated', 'motivated')",-0.27661383,0.15110439,-0.0057583004,0.36533135,0.18414459,0.26308638,-0.4917719,-0.190193,-0.3015789
5,1.8673744,1.9390223,"('distant', 'outgoing')",2.3361042,2.5493379,1.6068926,1.6884375,0.33447134,0.42430726,1.5362107,1.6502763,-0.1140656
22,-1.8449737,-1.9587532,"('untrustworthy', 'trustworthy')",-1.7700078,-1.80837,-1.6117313,-1.6427826,-1.8678768,-1.8817089,-1.7736475,-1.8229036,0.0492561
69,1.8202659,1.784183,"('lazy', 'industrious')",1.6711085,1.6735055,1.3067267,1.2730696,0.2870198,0.5233023,1.2712803,1.3135152,-0.0422349
71,1.788248,1.8478914,"('diffident', 'self-confident')",2.3867612,2.661435,1.0099229,1.0326128,0.43099612,0.4964193,1.403982,1.5095897,-0.1056077
35,1.7815088,1.6314094,"('corrupt', 'incorrupt')",1.7217869,1.4964738,1.2547746,1.0740024,-0.05698798,0.043733094,1.1752706,1.0614047,0.1138659
82,-1.7456878,-2.1167166,"('poor', 'rich')",-1.8482229,-1.994326,-1.5134783,-1.6643733,3.6061065,3.3734858,-0.3753206,-0.6004825,0.2251619
28,-1.6915538,-1.399316,"('disloyal', 'loyal')",-0.9916573,-0.6756944,-1.063625,-0.868127,-0.52107954,-0.34926453,-1.0669789,-0.8231004,-0.2438785
46,-1.666515,-1.4418609,"('uncompetitive', 'competitive')",-0.4178967,-0.11705212,-0.6540691,-0.33504546,0.14458013,0.14137778,-0.6484752,-0.4381452,-0.21033
65,-1.6097987,-1.3899552,"('insecure', 'secure')",-1.1931564,-1.2124239,-0.6054554,-0.5522936,-0.7126092,-0.84211326,-1.030255,-0.9991965,-0.0310585
