,american_male,american_female,tuple,express_male,express_female,co_male,co_female,average_male,average_female,male-female
73,1.7405136,1.935846,"('helpless', 'self-reliant')",0.47162586,0.5218629,-3.2512658,-3.0586593,-0.3463755,-0.2003168,-0.1460587
0,-1.5450077,-1.3864944,"('unsociable', 'sociable')",-0.11449062,0.16592738,-0.46811917,-0.2214246,-0.7092059,-0.4806639,-0.228542
77,-1.5441403,-1.1317455,"('unmotivated', 'motivated')",-0.68657094,-0.44052246,-1.707974,-1.4592202,-1.3128951,-1.010496,-0.3023991
49,-1.4550499,-0.70340526,"('unable', 'able')",-0.7025005,-0.24742727,-0.78107244,-0.22813767,-0.9795409,-0.3929901,-0.5865508
47,-1.217019,-1.2634373,"('stupid', 'smart')",0.047151502,0.10201755,5.2958617,5.4887047,1.3753314,1.4424283,-0.0670969
55,-1.1530192,-1.1580664,"('incompetent', 'clever')",-0.55132794,-0.32423487,0.08096143,0.44579327,-0.5411286,-0.3455027,-0.1956259
13,-1.1272352,-0.5503128,"('impolite', 'polite')",0.15246761,0.28509498,-0.013051614,0.14009917,-0.3292731,-0.0417062,-0.2875669
79,1.0992441,0.76552624,"('wavering', 'unwavering')",-0.5258811,-0.6157324,-0.41704756,-0.4933313,0.0521051,-0.1145125,0.1666176
26,1.087172,0.3138518,"('hardhearted', 'benevolent')",1.7902236,1.2651529,1.5858014,0.9198366,1.4877323,0.8329471,0.6547852
60,-1.0825549,-0.5241116,"('inefficient', 'efficient')",0.2575762,0.66523105,-0.48407382,0.07565355,-0.4363508,0.0722577,-0.5086085
46,-1.0193923,-0.6802297,"('uncompetitive', 'competitive')",-0.161028,0.070985824,-1.4057384,-1.2562653,-0.8620529,-0.6218364,-0.2402165
40,1.0155672,0.6873409,"('stingy', 'generous')",0.47732338,0.6673012,-2.2204285,-2.195863,-0.2425126,-0.280407,0.0378944
29,-0.93638194,-0.87775636,"('unfair', 'fair')",-1.1201649,-0.9077228,-0.8450736,-0.68252724,-0.9672068,-0.8226688,-0.144538
16,-0.90067136,-0.9197507,"('unpopular', 'popular')",-0.80101377,-0.66452646,0.034792684,0.19793916,-0.5556308,-0.4621127,-0.0935181
22,-0.8778435,-1.0047438,"('untrustworthy', 'trustworthy')",-0.82199454,-0.6302285,-0.73684406,-0.5544949,-0.8122274,-0.7298224,-0.082405
78,-0.8619968,-0.8650694,"('nonresilient', 'resilient')",-0.61242026,-0.48871338,-0.493878,-0.50787956,-0.6560984,-0.6205541,-0.0355443
53,-0.85098076,-0.70035756,"('uncreative', 'creative')",-1.0044835,-0.75671303,0.5171851,0.49229154,-0.446093,-0.321593,-0.1245
