,ppl_male,ppl_female,tuple,corp_male,corp_female,average_male,average_female,male-female
60,2.0849013,2.0509453,"('inefficient', 'efficient')",0.4816782,0.4972107,1.2832898,1.274078,0.0092118
14,1.9692112,1.7589142,"('antisocial', 'social')",0.62528056,0.12860009,1.2972459,0.9437572,0.3534887
36,-1.9371594,-2.1239645,"('hostile', 'amicable')",-0.52566946,-0.67635936,-1.2314144,-1.400162,0.1687476
79,-1.8384567,-1.654806,"('wavering', 'unwavering')",-1.0379853,-0.64420617,-1.438221,-1.1495061,-0.2887149
31,-1.7486945,-1.5139322,"('evil', 'good')",-1.0366669,-1.0583525,-1.3926806,-1.2861423,-0.1065383
6,-1.7195237,-1.631642,"('distant', 'open')",-1.1444694,-0.80274004,-1.4319966,-1.217191,-0.2148056
39,1.6670228,1.3917024,"('exploitative', 'cooperative')",0.13842508,-0.058611233,0.902724,0.6665456,0.2361784
56,1.6408658,1.6451517,"('impractical', 'practical')",-0.54624367,-0.436578,0.5473111,0.6042868,-0.0569757
35,-1.6334226,-1.2502272,"('corrupt', 'incorrupt')",-1.3262831,-0.8849658,-1.4798529,-1.0675964,-0.4122565
62,1.5759276,1.801116,"('incompetent', 'brilliant')",0.7021582,0.9131229,1.1390429,1.3571194,-0.2180765
21,1.5180922,1.2041883,"('immoral', 'moral')",0.3300425,-0.1792778,0.9240673,0.5124553,0.411612
61,1.3976737,1.2868134,"('illogical', 'logical')",0.94898975,0.7055894,1.1733317,0.9962014,0.1771303
5,-1.3925033,-1.1805401,"('distant', 'outgoing')",-1.0112786,-0.5293215,-1.2018909,-0.8549308,-0.3469601
8,-1.3550959,-1.6696591,"('unaffectionate', 'affectionate')",0.66088647,0.5421983,-0.3471047,-0.5637304,0.2166257
80,1.3496062,1.5611081,"('dominated', 'dominating')",-0.45722973,-0.40017477,0.4461882,0.5804667,-0.1342785
1,-1.2108941,-1.5348991,"('unfriendly', 'friendly')",1.4290849,1.2015377,0.1090954,-0.1666807,0.2757761
87,1.210373,1.3106939,"('unsuccessful', 'successful')",0.9608532,1.1989131,1.0856131,1.2548034,-0.1691903
3,1.1397283,0.8293856,"('repellent', 'pleasant')",1.3083535,0.940003,1.224041,0.8846943,0.3393467
81,1.1321362,1.0486555,"('submissive', 'aggressive')",-0.47588214,-0.5373188,0.328127,0.2556683,0.0724587
55,1.0893853,0.9688479,"('incompetent', 'clever')",1.0069717,0.5388252,1.0481784,0.7538365,0.2943419
76,1.0809108,1.1933069,"('anxious', 'daring')",-0.45204467,-0.37913138,0.3144331,0.4070878,-0.0926547
77,1.0279223,0.9742349,"('unmotivated', 'motivated')",-0.70488274,-0.88861936,0.1615198,0.0428078,0.118712
52,-1.0057586,-0.99206126,"('irrational', 'rational')",-0.52288455,-0.37301233,-0.7643216,-0.6825368,-0.0817848
26,-0.99157965,-1.4652537,"('hardhearted', 'benevolent')",1.775432,1.2662419,0.3919262,-0.0995059,0.4914321
2,0.9911206,0.70748883,"('unlikable', 'likable')",0.7365019,0.42557937,0.8638113,0.5665341,0.2972772
65,0.96031487,1.0084078,"('insecure', 'secure')",-0.38416982,-0.119990736,0.2880725,0.4442086,-0.1561361
66,-0.8961284,-0.8933184,"('inactive', 'active')",0.022727028,0.035989825,-0.4367007,-0.4286643,-0.0080364
18,-0.83927584,-0.98399377,"('disagreeable', 'welcoming')",-0.1903391,-0.40900478,-0.5148075,-0.6964993,0.1816918
42,0.83833283,1.0846663,"('unreliable', 'reliable')",-3.5764418,-3.482387,-1.3690544,-1.1988604,-0.170194
30,0.8378996,0.697581,"('intolerant', 'tolerant')",1.106869,0.99689066,0.9723843,0.8472358,0.1251485
59,-0.8302559,-0.48850268,"('foolish', 'wise')",-0.6240548,-0.04535068,-0.7271553,-0.2669267,-0.4602286
20,0.8249178,0.7777575,"('rough', 'thoughtful')",0.73503023,0.5817056,0.779974,0.6797315,0.1002425
75,-0.813115,-0.55479145,"('meek', 'impulsive')",-0.9817959,-0.68635863,-0.8974555,-0.6205751,-0.2768804
9,-0.81217766,-1.0501641,"('unaffectionate', 'caring')",1.232428,1.2025814,0.2101251,0.0762087,0.1339164
46,0.78650653,0.53545856,"('uncompetitive', 'competitive')",-0.15177359,-0.5865506,0.3173665,-0.025546,0.3429125
63,0.7832795,0.7745048,"('unperceptive', 'insightful')",1.1712201,1.0862867,0.9772497,0.9303957,0.046854
53,-0.7668439,-0.898697,"('uncreative', 'creative')",0.48536703,0.39382306,-0.1407384,-0.252437,0.1116986
85,-0.75219625,-1.0067892,"('insignificant', 'prestigious')",-0.20590998,-0.56939566,-0.4790531,-0.7880924,0.3090393
0,0.7460197,0.38319677,"('unsociable', 'sociable')",0.31838182,-0.049274825,0.5322008,0.166961,0.3652398
13,0.72850126,0.6556736,"('impolite', 'polite')",-0.11371718,-0.34673563,0.307392,0.154469,0.152923
