,sempra_male,sempra_female,tuple,energy_male,energy_female,average_male,average_female,male-female
86,-2.2355096,-2.1513913,"('uninfluential', 'influential')",-0.23982346,-0.16001464,-1.2376666,-1.1557029,-0.0819637
10,-1.9473078,-1.43641,"('unsympathetic', 'sympathetic')",-0.6766273,-0.35848588,-1.3119676,-0.8974479,-0.4145197
0,-1.6014149,-1.4876939,"('unsociable', 'sociable')",-0.4930131,-0.4026355,-1.047214,-0.9451647,-0.1020493
57,-1.5547315,-1.4770467,"('unimaginative', 'imaginative')",-3.2052832,-3.1854718,-2.3800073,-2.3312593,-0.048748
1,-1.5537006,-2.0176082,"('unfriendly', 'friendly')",1.9364904,1.6876367,0.1913949,-0.1649857,0.3563806
9,-1.5434418,-1.7634944,"('unaffectionate', 'caring')",1.8798485,1.8702849,0.1682034,0.0533953,0.1148081
8,-1.454072,-1.7896423,"('unaffectionate', 'affectionate')",1.2554915,1.1150506,-0.0992903,-0.3372959,0.2380056
19,-1.412031,-1.0574547,"('inhospitable', 'hospitable')",-0.53597635,-0.49347678,-0.9740037,-0.7754657,-0.198538
45,-1.274384,-1.1469327,"('incompetent', 'competent')",-0.20012872,-0.117297426,-0.7372563,-0.6321151,-0.1051412
6,-1.261353,-1.3786814,"('distant', 'open')",0.19947216,0.1811814,-0.5309404,-0.59875,0.0678096
66,-1.2592852,-1.3370245,"('inactive', 'active')",-0.41553965,-0.38883537,-0.8374124,-0.8629299,0.0255175
51,-1.2246358,-0.77891076,"('uneducated', 'educated')",-0.3618986,-0.25471485,-0.7932673,-0.5168128,-0.2764545
5,-1.1866806,-1.075681,"('distant', 'outgoing')",0.117674544,0.18518856,-0.534503,-0.4452462,-0.0892568
12,-1.182004,-1.1516234,"('unsupportive', 'supportive')",-1.8150628,-1.6582057,-1.4985334,-1.4049146,-0.0936188
44,1.1703697,1.0741322,"('prejudiced', 'unprejudiced')",-1.0384707,-1.0310996,0.0659495,0.0215163,0.0444332
79,-1.1131291,-1.0873666,"('wavering', 'unwavering')",-0.058429215,-0.017188435,-0.5857792,-0.5522775,-0.0335017
53,-1.0915312,-1.356323,"('uncreative', 'creative')",0.83709407,0.6674503,-0.1272185,-0.3444363,0.2172178
23,-1.0473402,-0.99515367,"('insincere', 'sincere')",6.6220474,6.860647,2.7873535,2.9327469,-0.1453934
73,0.9987406,0.96694875,"('helpless', 'self-reliant')",-3.1375432,-3.2664583,-1.0694013,-1.1497548,0.0803535
61,-0.9753214,-0.93882895,"('illogical', 'logical')",0.4289108,0.37119296,-0.2732053,-0.283818,0.0106127
70,-0.9603795,-0.39058745,"('lethargic', 'energetic')",-0.1639901,0.15729415,-0.5621848,-0.1166466,-0.4455382
11,-0.95495385,-0.6137897,"('unhelpful', 'helpful')",1.6828821,2.0897636,0.3639641,0.737987,-0.3740229
43,-0.9548846,-0.6281535,"('irresponsible', 'responsible')",0.54454386,0.8367398,-0.2051704,0.1042931,-0.3094635
46,-0.9378477,-0.71407604,"('uncompetitive', 'competitive')",-0.95270604,-0.848879,-0.9452769,-0.7814775,-0.1637994
69,0.8836351,0.26202333,"('lazy', 'industrious')",-0.47392347,-0.7707069,0.2048558,-0.2543418,0.4591976
13,-0.8189814,-0.33031383,"('impolite', 'polite')",-0.49846736,-0.17280415,-0.6587244,-0.251559,-0.4071654
