,pepco_male,pepco_female,tuple,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
36,-1.5675449,-1.326504,"('hostile', 'amicable')",-1.2416236,-1.2695233,0.6334721,0.7338492,-0.7252321,-0.620726,-0.1045061
6,-1.5621488,-1.4408238,"('distant', 'open')",-0.9728149,-1.0978233,0.50337267,0.61549777,-0.677197,-0.6410498,-0.0361472
39,1.3466126,1.3666193,"('exploitative', 'cooperative')",0.12807842,0.1803011,-0.06874757,-0.026428947,0.4686478,0.5068305,-0.0381827
60,1.3234981,1.1244488,"('inefficient', 'efficient')",0.93575567,1.0423988,-0.17504428,-0.19968052,0.6947365,0.6557224,0.0390141
42,1.2395045,1.1300538,"('unreliable', 'reliable')",1.5224577,1.5588889,-2.417173,-2.4892764,0.1149298,0.0665554,0.0483744
19,-1.2364936,-1.1593187,"('inhospitable', 'hospitable')",-0.9327771,-0.9767151,-0.13364708,0.019050995,-0.7676393,-0.7056609,-0.0619784
16,-1.2118553,-1.0989907,"('unpopular', 'popular')",-1.200742,-1.0618008,0.27921203,0.3998697,-0.7111284,-0.5869739,-0.1241545
85,-1.2115519,-0.98008347,"('insignificant', 'prestigious')",-0.08262095,-0.11355144,0.9129182,1.1174752,-0.1270849,0.0079468,-0.1350317
56,1.1718333,1.1148268,"('impractical', 'practical')",0.51043,0.7503908,-0.3070456,-0.19189367,0.4584059,0.5577747,-0.0993688
31,-1.109681,-0.9898699,"('evil', 'good')",-1.4499621,-1.4476528,-0.89670813,-0.74926203,-1.1521171,-1.0622616,-0.0898555
8,-1.107681,-1.074339,"('unaffectionate', 'affectionate')",-0.2809699,-0.46643746,0.84706604,0.8485332,-0.1805283,-0.2307478,0.0502195
1,-1.0547298,-1.1798469,"('unfriendly', 'friendly')",0.22177151,0.03520886,1.8716997,1.8809451,0.3462471,0.2454357,0.1008114
81,1.0253007,1.0377293,"('submissive', 'aggressive')",1.3871284,1.638409,-0.86985826,-0.81056523,0.5141903,0.6218577,-0.1076674
35,-1.0080639,-0.6985366,"('corrupt', 'incorrupt')",-1.4872364,-1.3448602,-0.012373164,0.18042013,-0.8358912,-0.6209922,-0.214899
86,-0.9999205,-1.2855054,"('uninfluential', 'influential')",-0.19528466,-0.24257807,-0.24847785,-0.31900874,-0.4812277,-0.6156974,0.1344697
52,-0.994036,-0.85998243,"('irrational', 'rational')",-1.0388454,-1.05868,0.0046941657,0.036341686,-0.6760624,-0.6274403,-0.0486221
21,0.96314704,0.739073,"('immoral', 'moral')",0.3678182,0.41139358,-0.75068074,-0.78126264,0.1934282,0.123068,0.0703602
70,0.9236319,0.83833396,"('lethargic', 'energetic')",1.5107069,1.5760187,0.8686181,0.853482,1.1009856,1.0892782,0.0117074
30,0.921481,0.8104942,"('intolerant', 'tolerant')",1.7487137,1.889286,1.1282793,1.2081894,1.2661579,1.3026565,-0.0364986
5,-0.91465515,-0.78029585,"('distant', 'outgoing')",-0.9022397,-0.97425467,-0.31039804,-0.2062166,-0.7090976,-0.653589,-0.0555086
53,-0.90943563,-1.081355,"('uncreative', 'creative')",0.32745266,0.04540605,1.1624863,1.1147063,0.1935011,0.0262525,0.1672486
79,-0.8907035,-0.7624493,"('wavering', 'unwavering')",-1.500315,-1.5603349,-0.16430157,-0.031985875,-0.8517733,-0.7849233,-0.06685
28,-0.8667161,-0.888942,"('disloyal', 'loyal')",-0.065411754,-0.024176398,0.98893255,1.1673344,0.0189349,0.0847387,-0.0658038
76,0.8101181,0.76891685,"('anxious', 'daring')",0.9332536,1.0606333,0.037608095,0.11190538,0.59366,0.6471518,-0.0534918
2,0.80604374,0.99101526,"('unlikable', 'likable')",1.6092647,1.8348945,0.66947865,0.8859393,1.0282624,1.2372831,-0.2090207
73,0.7904527,0.8027666,"('helpless', 'self-reliant')",0.26341066,0.22233513,-3.0297527,-3.0794656,-0.6586298,-0.6847879,0.0261581
44,0.74753714,0.88928133,"('prejudiced', 'unprejudiced')",-0.6849691,-0.55555993,-1.4144597,-1.3659511,-0.4506306,-0.3440766,-0.106554
26,-0.7359774,-0.6714018,"('hardhearted', 'benevolent')",1.8326851,1.9865366,1.8568838,1.9961203,0.9845304,1.1037517,-0.1192213
62,0.73129773,0.71420217,"('incompetent', 'brilliant')",0.6293285,0.81196445,-0.19555998,-0.08600231,0.3883554,0.4800548,-0.0916994
49,-0.7238479,-0.6841963,"('unable', 'able')",-1.1720476,-0.97411615,-0.7418011,-0.61300045,-0.8792322,-0.7571043,-0.1221279
71,-0.70322484,-0.6895476,"('diffident', 'self-confident')",0.9125007,0.8339472,0.5023485,0.6300382,0.2372081,0.2581459,-0.0209378
43,0.69900507,0.56927973,"('irresponsible', 'responsible')",0.45397252,0.45563632,0.5536269,0.61864656,0.5688682,0.5478542,0.021014
51,-0.6872935,-0.93252826,"('uneducated', 'educated')",0.6619794,0.5591207,0.4121191,0.40477815,0.128935,0.0104569,0.1184781
9,-0.678132,-0.8050795,"('unaffectionate', 'caring')",0.48891494,0.24339174,1.2590951,1.2183764,0.356626,0.2188962,0.1377298
82,-0.6582011,-0.74105006,"('poor', 'rich')",0.57570755,0.62584835,5.523055,5.7995176,1.8135204,1.8947719,-0.0812515
80,0.5996221,0.5950727,"('dominated', 'dominating')",0.47291481,0.53918195,-1.3345003,-1.4263,-0.0873211,-0.0973485,0.0100274
22,0.57593834,0.4129936,"('untrustworthy', 'trustworthy')",0.0066519976,0.09233158,-0.79802096,-0.8847295,-0.0718102,-0.1264681,0.0546579
68,-0.5572356,-0.7091461,"('dependent', 'independent')",-0.8657549,-0.95036775,-0.5352898,-0.6087011,-0.6527601,-0.7560716,0.1033115
25,-0.5568964,-0.62268984,"('egoistic', 'altruistic')",0.6582505,0.5611075,1.6542886,1.7791259,0.5852143,0.5725145,0.0126998
77,0.5313237,0.23338452,"('unmotivated', 'motivated')",0.61425227,0.5654973,-1.1387111,-1.218959,0.0022883,-0.1400257,0.142314
12,0.5294936,0.2827875,"('unsupportive', 'supportive')",0.58014834,0.38665843,-1.3258127,-1.4310697,-0.0720569,-0.2538746,0.1818177
14,0.50745386,0.36340135,"('antisocial', 'social')",1.7240741,2.0289197,-0.6605412,-0.5503039,0.5236623,0.6140057,-0.0903434
64,0.492961,0.44377518,"('shy', 'confident')",0.9294805,0.9986586,-6.274532,-6.4396157,-1.6173635,-1.6657273,0.0483638
13,0.491663,0.2968146,"('impolite', 'polite')",0.41298154,0.36470377,-0.21498261,-0.28019798,0.2298873,0.1271068,0.1027805
78,-0.4897235,-0.7693162,"('nonresilient', 'resilient')",0.22732951,0.013121419,0.23111606,0.2222075,-0.010426,-0.1779958,0.1675698
54,-0.46628878,-0.44453928,"('incapable', 'capable')",0.28468284,0.18728657,0.90568286,1.0652175,0.241359,0.2693216,-0.0279626
24,0.4600302,0.46488696,"('dishonest', 'honest')",-0.3015226,-0.28540212,0.4151054,0.5101605,0.1912043,0.2298818,-0.0386775
59,-0.44867724,-0.16810437,"('foolish', 'wise')",-0.16690539,-0.13286062,0.46241027,0.498293,-0.0510575,0.065776,-0.1168335
65,0.4257588,0.35421985,"('insecure', 'secure')",0.58896095,0.61390257,-0.43383622,-0.4648478,0.1936278,0.1677582,0.0258696
83,-0.42195684,-0.4332188,"('powerless', 'powerful')",0.50583994,0.6240217,-0.91838044,-0.8014543,-0.2781658,-0.2035505,-0.0746153
18,-0.38795394,-0.44288644,"('disagreeable', 'welcoming')",0.03488548,0.050573274,-0.11204003,-0.09816696,-0.1550362,-0.1634934,0.0084572
41,0.38385546,0.2745364,"('unforgiving', 'forgiving')",0.18307401,0.42425495,0.41366112,0.39666268,0.3268635,0.3651514,-0.0382879
88,-0.38223147,-0.21636201,"('low', 'eminent')",0.14761275,0.41733745,0.14981046,0.2953443,-0.0282694,0.1654399,-0.1937093
40,0.37649265,0.13253593,"('stingy', 'generous')",0.77135736,0.5232758,-0.93409175,-1.075058,0.0712528,-0.1397488,0.2110016
57,-0.36416224,-0.6042316,"('unimaginative', 'imaginative')",0.029363476,0.032722212,-2.1307862,-2.2696462,-0.8218617,-0.9470518,0.1251901
46,0.3619684,0.04897439,"('uncompetitive', 'competitive')",1.1549287,1.1270772,-0.38622344,-0.4190529,0.3768912,0.2523329,0.1245583
67,0.36149397,0.5509778,"('doubtful', 'determined')",0.57385945,0.8256737,-0.8053177,-0.6376457,0.0433452,0.2463353,-0.2029901
66,-0.35369724,-0.3695319,"('inactive', 'active')",0.742717,0.6109983,1.2737428,1.3373508,0.5542542,0.5262724,0.0279818
38,-0.35271797,-0.2735628,"('untruthful', 'truthful')",-0.74389076,-0.6429906,-0.07268724,0.043696377,-0.3897653,-0.2909523,-0.098813
55,0.3498386,0.13377249,"('incompetent', 'clever')",0.2624062,0.38045004,-0.09759866,-0.06575607,0.1715487,0.1494888,0.0220599
4,-0.34836712,-0.27493358,"('disliked', 'liked')",-0.5504423,-0.29671058,-6.029641,-5.886566,-2.3094835,-2.1527368,-0.1567467
11,0.34759375,0.32451725,"('unhelpful', 'helpful')",-0.44641283,-0.27187964,1.6676017,1.7681309,0.5229275,0.6069228,-0.0839953
58,-0.34636894,-0.480569,"('undiscriminating', 'discriminating')",0.81488484,0.8465418,0.31172845,0.3058243,0.2600815,0.2239324,0.0361491
69,-0.33196098,-0.14792778,"('lazy', 'industrious')",0.048498645,0.08242229,-0.46990106,-0.41009796,-0.2511211,-0.1585345,-0.0925866
63,0.31057444,0.15197998,"('unperceptive', 'insightful')",1.5418605,1.4368104,1.0380945,0.94792104,0.9635098,0.8455705,0.1179393
50,-0.29719308,-0.15515846,"('clumsy', 'skillful')",0.050682142,0.01879848,0.1915092,0.17538956,-0.0183339,0.0130099,-0.0313438
87,0.27872986,0.35924143,"('unsuccessful', 'successful')",0.43628985,0.6354667,0.36843568,0.47511736,0.3611518,0.4899418,-0.12879
29,-0.27634606,-0.2683873,"('unfair', 'fair')",-0.7861601,-0.7190626,-0.46519288,-0.48057878,-0.509233,-0.4893429,-0.0198901
84,0.2574837,0.35518363,"('inferior', 'superior')",0.14374876,0.18302399,0.9332043,0.9490869,0.4448123,0.4957649,-0.0509526
32,0.25663885,0.2506721,"('unkind', 'kind')",0.62241054,0.637904,0.73709625,0.8108674,0.5387152,0.5664812,-0.027766
45,-0.24577329,-0.37077793,"('incompetent', 'competent')",-0.034878533,0.2682723,-0.485554,-0.36172107,-0.2554019,-0.1547422,-0.1006597
15,-0.23271936,-0.019250264,"('boring', 'funny')",-1.1508802,-0.94614303,0.23028527,0.37474906,-0.3844381,-0.1968814,-0.1875567
74,0.22357559,0.07733352,"('undedicated', 'dedicated')",0.21672814,0.3191245,0.23789014,0.33989227,0.2260646,0.2454501,-0.0193855
34,-0.20684975,-0.22322911,"('mean', 'honorable')",-0.03984955,-0.12566808,5.9816904,6.172564,1.9116637,1.9412223,-0.0295586
33,0.18549839,0.11393287,"('wrong', 'right')",0.5062323,0.28783393,-0.39146048,-0.47987252,0.1000901,-0.0260352,0.1261253
