,lennar_male,lennar_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-1.9862189,-2.109246,"('distant', 'open')",-0.69528604,-1.2149783,-1.3407525,-1.6621122,0.3213597
66,-1.673908,-1.5655651,"('inactive', 'active')",-0.1262305,-0.12369203,-0.9000692,-0.8446286,-0.0554406
5,-1.4647571,-1.4889448,"('distant', 'outgoing')",-0.75012326,-1.2510028,-1.1074402,-1.3699738,0.2625336
86,-1.4608182,-1.730922,"('uninfluential', 'influential')",-0.33398294,-0.0529022,-0.8974006,-0.8919121,-0.0054885
79,-1.393046,-1.7394682,"('wavering', 'unwavering')",-0.6726228,-0.7576647,-1.0328344,-1.2485664,0.215732
1,-1.3504927,-1.6692414,"('unfriendly', 'friendly')",1.181208,0.5036234,-0.0846424,-0.582809,0.4981666
19,-1.241602,-1.3202814,"('inhospitable', 'hospitable')",-0.6520506,-0.8174104,-0.9468263,-1.0688459,0.1220196
54,-1.1598707,-0.8932959,"('incapable', 'capable')",0.6405932,0.9301127,-0.2596388,0.0184084,-0.2780472
85,-1.1357484,-1.6663609,"('insignificant', 'prestigious')",-0.46696705,-1.5219566,-0.8013577,-1.5941586,0.7928009
53,-1.1229234,-1.4335618,"('uncreative', 'creative')",0.22175108,0.015736172,-0.4505861,-0.7089128,0.2583267
36,-1.0928432,-1.6410534,"('hostile', 'amicable')",-0.35657004,-1.1854289,-0.7247066,-1.4132411,0.6885345
14,1.0417064,1.2278608,"('antisocial', 'social')",0.18523078,0.45561603,0.6134686,0.8417384,-0.2282698
88,-0.9990497,-0.7989421,"('low', 'eminent')",-0.41867092,-0.24793634,-0.7088603,-0.5234392,-0.1854211
30,0.9969076,0.9279267,"('intolerant', 'tolerant')",0.90146464,0.89615357,0.9491861,0.9120401,0.037146
81,0.9874269,1.4897319,"('submissive', 'aggressive')",-0.5998064,0.16208416,0.1938102,0.8259081,-0.6320979
31,-0.9848381,-1.4269867,"('evil', 'good')",-0.98685145,-1.9348284,-0.9858448,-1.6809075,0.6950627
43,-0.9661612,-0.4555554,"('irresponsible', 'responsible')",0.30306268,1.0090629,-0.3315493,0.2767537,-0.608303
62,0.9374784,1.3827051,"('incompetent', 'brilliant')",0.4675215,1.2064235,0.7025,1.2945642,-0.5920642
35,-0.92290866,-1.2400588,"('corrupt', 'incorrupt')",-0.6257986,-1.3563368,-0.7743536,-1.2981977,0.5238441
55,0.83744025,1.0135263,"('incompetent', 'clever')",0.529459,1.0935594,0.6834496,1.0535429,-0.3700933
27,-0.8217338,-0.7723933,"('hardhearted', 'softhearted')",1.114772,1.0597076,0.1465191,0.1436572,0.0028619
9,-0.78743273,-1.06069,"('unaffectionate', 'caring')",1.2135649,1.0788007,0.2130661,0.0090553,0.2040108
75,-0.7564284,-0.64661896,"('meek', 'impulsive')",-0.90649927,-1.134932,-0.8314638,-0.8907755,0.0593117
26,-0.73589283,-0.88080275,"('hardhearted', 'benevolent')",1.3371613,0.8168737,0.3006342,-0.0319645,0.3325987
58,-0.7219963,-0.85686606,"('undiscriminating', 'discriminating')",0.2628021,-0.045515563,-0.2295971,-0.4511908,0.2215937
38,-0.7213854,-0.5222349,"('untruthful', 'truthful')",-0.6499707,-0.7165786,-0.6856781,-0.6194068,-0.0662713
72,-0.7194056,-0.73121107,"('unambitious', 'ambitious')",-0.57552505,-0.10845579,-0.6474653,-0.4198334,-0.2276319
49,0.7074131,0.88327944,"('unable', 'able')",0.019157246,0.2709328,0.3632852,0.5771061,-0.2138209
13,-0.6779292,-0.3198161,"('impolite', 'polite')",-0.78567505,-0.26316026,-0.7318021,-0.2914882,-0.4403139
29,-0.67747575,-0.4157713,"('unfair', 'fair')",-0.48070592,-0.5948608,-0.5790908,-0.505316,-0.0737748
68,-0.6703112,-0.3136344,"('dependent', 'independent')",-0.9243799,-0.7525342,-0.7973455,-0.5330843,-0.2642612
16,-0.6628101,-1.035248,"('unpopular', 'popular')",0.0026794896,-0.3803884,-0.3300653,-0.7078182,0.3777529
