,wyeth_male,wyeth_female,tuple,average_male,average_female,male-female
77,-2.513647,-2.2762318,"('unmotivated', 'motivated')",-2.5136471,-2.2762318,-0.2374153
81,-2.0870178,-1.8050691,"('submissive', 'aggressive')",-2.0870178,-1.8050691,-0.2819487
64,-2.0234416,-1.99347,"('shy', 'confident')",-2.0234416,-1.99347,-0.0299716
21,-2.0031655,-1.7717664,"('immoral', 'moral')",-2.0031655,-1.7717664,-0.2313991
10,-1.9840261,-1.9816679,"('unsympathetic', 'sympathetic')",-1.9840261,-1.9816679,-0.0023582
60,-1.6818503,-1.3078685,"('inefficient', 'efficient')",-1.6818503,-1.3078685,-0.3739818
48,-1.6472032,-1.4476998,"('unintelligent', 'intelligent')",-1.6472032,-1.4476998,-0.1995034
15,1.5669473,1.2841455,"('boring', 'funny')",1.5669473,1.2841455,0.2828018
3,-1.517321,-1.3717374,"('repellent', 'pleasant')",-1.517321,-1.3717374,-0.1455836
13,-1.4947906,-1.2062927,"('impolite', 'polite')",-1.4947906,-1.2062927,-0.2884979
36,1.4593127,0.9085835,"('hostile', 'amicable')",1.4593127,0.9085835,0.5507292
28,-1.4436287,-1.4604735,"('disloyal', 'loyal')",-1.4436287,-1.4604735,0.0168448
34,1.4432125,1.4765382,"('mean', 'honorable')",1.4432125,1.4765382,-0.0333257
35,1.4074103,1.0824686,"('corrupt', 'incorrupt')",1.4074103,1.0824686,0.3249417
46,-1.4054291,-1.2621564,"('uncompetitive', 'competitive')",-1.4054291,-1.2621564,-0.1432727
0,-1.3705,-1.5650026,"('unsociable', 'sociable')",-1.3705,-1.5650026,0.1945026
12,-1.3702899,-1.422646,"('unsupportive', 'supportive')",-1.3702899,-1.422646,0.0523561
26,1.3609762,1.0842887,"('hardhearted', 'benevolent')",1.3609762,1.0842887,0.2766875
55,-1.2902085,-1.24011,"('incompetent', 'clever')",-1.2902085,-1.24011,-0.0500985
86,-1.2665532,-1.6716425,"('uninfluential', 'influential')",-1.2665532,-1.6716425,0.4050893
43,-1.2546574,-1.0849969,"('irresponsible', 'responsible')",-1.2546574,-1.0849969,-0.1696605
57,-1.1899261,-1.6334195,"('unimaginative', 'imaginative')",-1.1899261,-1.6334195,0.4434934
18,-1.138857,-1.0305165,"('disagreeable', 'welcoming')",-1.138857,-1.0305165,-0.1083405
62,-1.1215216,-0.7628216,"('incompetent', 'brilliant')",-1.1215216,-0.7628216,-0.3587
51,-1.1152296,-0.8684315,"('uneducated', 'educated')",-1.1152296,-0.8684315,-0.2467981
85,1.0437505,0.7718402,"('insignificant', 'prestigious')",1.0437505,0.7718402,0.2719103
11,-1.0408605,-0.76605195,"('unhelpful', 'helpful')",-1.0408605,-0.7660519,-0.2748086
68,-1.0381997,-1.1421299,"('dependent', 'independent')",-1.0381997,-1.1421299,0.1039302
69,1.0355206,1.1359749,"('lazy', 'industrious')",1.0355206,1.1359749,-0.1004543
70,-1.0263523,-1.0892918,"('lethargic', 'energetic')",-1.0263523,-1.0892918,0.0629395
40,-1.0025308,-1.0748855,"('stingy', 'generous')",-1.0025308,-1.0748855,0.0723547
14,-0.95077246,-0.85767263,"('antisocial', 'social')",-0.9507725,-0.8576726,-0.0930999
65,-0.87967575,-0.6154778,"('insecure', 'secure')",-0.8796757,-0.6154778,-0.2641979
88,-0.8611833,-0.829421,"('low', 'eminent')",-0.8611833,-0.829421,-0.0317623
38,-0.8597642,-0.8233998,"('untruthful', 'truthful')",-0.8597642,-0.8233998,-0.0363644
22,-0.84160495,-1.0619477,"('untrustworthy', 'trustworthy')",-0.8416049,-1.0619477,0.2203428
76,-0.81770384,-0.5071513,"('anxious', 'daring')",-0.8177038,-0.5071513,-0.3105525
47,0.8089288,0.7430472,"('stupid', 'smart')",0.8089288,0.7430472,0.0658816
78,-0.795199,-0.64209634,"('nonresilient', 'resilient')",-0.795199,-0.6420963,-0.1531027
45,-0.7930403,-0.9430492,"('incompetent', 'competent')",-0.7930403,-0.9430492,0.1500089
32,-0.7686634,-0.7450198,"('unkind', 'kind')",-0.7686634,-0.7450198,-0.0236436
24,-0.7635977,-0.8978817,"('dishonest', 'honest')",-0.7635977,-0.8978817,0.134284
30,-0.7592902,-0.6316711,"('intolerant', 'tolerant')",-0.7592902,-0.6316711,-0.1276191
