,northrop_male,northrop_female,tuple,grumman_male,grumman_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.8501396,-3.044168,"('unsympathetic', 'sympathetic')",-3.5530045,-3.4628346,-0.554134,-0.36877286,-2.3190926,-2.2919253,-0.0271673
45,-2.2568014,-2.4421086,"('incompetent', 'competent')",-2.7732635,-2.7909424,-0.20129606,-0.35747287,-1.7437868,-1.8635081,0.1197213
43,-2.00419,-2.1640863,"('irresponsible', 'responsible')",-3.285187,-3.3306735,0.30100068,0.17990053,-1.6627922,-1.7716196,0.1088274
69,1.9911416,1.9402431,"('lazy', 'industrious')",2.9933443,2.87333,-0.21092278,-0.35203692,1.5911876,1.4871788,0.1040088
0,-1.8646452,-1.9302793,"('unsociable', 'sociable')",-2.2178156,-2.167314,-0.46712914,-0.52049977,-1.51653,-1.5393643,0.0228343
57,-1.8326858,-2.0026674,"('unimaginative', 'imaginative')",-2.343942,-2.352614,-3.178399,-3.2706647,-2.4516756,-2.541982,0.0903064
35,1.7080252,1.7516747,"('corrupt', 'incorrupt')",3.11258,2.9778113,-0.42940366,-0.45677108,1.4637338,1.4242384,0.0394954
13,-1.7077818,-1.6961683,"('impolite', 'polite')",-2.6261778,-2.6161544,-0.7144979,-0.65903866,-1.6828192,-1.6571204,-0.0256988
30,-1.6863612,-1.7042148,"('intolerant', 'tolerant')",-1.9707294,-1.9789554,0.51358783,0.43310243,-1.0478342,-1.083356,0.0355218
46,-1.6636795,-1.861038,"('uncompetitive', 'competitive')",-2.798978,-2.7382274,-0.7280826,-0.7700625,-1.7302467,-1.7897758,0.0595291
86,-1.6551316,-1.7751567,"('uninfluential', 'influential')",-2.3136797,-2.2934194,-0.71073574,-0.6414793,-1.5598489,-1.5700185,0.0101696
70,-1.6518619,-1.6157141,"('lethargic', 'energetic')",-1.9378264,-1.8548727,-0.016777448,0.118305035,-1.2021553,-1.1174273,-0.084728
82,-1.6265959,-1.6519477,"('poor', 'rich')",-1.8891987,-1.8584989,5.6322565,5.947398,0.7054873,0.8123172,-0.1068299
25,1.5705026,1.559852,"('egoistic', 'altruistic')",1.2277025,1.1702384,1.4746228,1.2565479,1.424276,1.3288794,0.0953966
63,-1.5625353,-1.647961,"('unperceptive', 'insightful')",-2.1730971,-2.1067748,0.40093902,0.5207733,-1.1115645,-1.0779875,-0.033577
33,1.5215695,1.4152614,"('wrong', 'right')",1.9280287,1.8206981,-0.5435562,-0.56338483,0.9686807,0.8908583,0.0778224
3,-1.5113956,-1.5433086,"('repellent', 'pleasant')",-1.661661,-1.5606122,0.780217,0.6375368,-0.7976132,-0.8221281,0.0245149
56,-1.4486725,-1.5289397,"('impractical', 'practical')",-1.4450306,-1.3666724,-0.69379324,-0.67803633,-1.1958321,-1.1912162,-0.0046159
41,-1.3754221,-1.5728582,"('unforgiving', 'forgiving')",-2.2511768,-2.2995732,-0.2155855,-0.33905607,-1.2807281,-1.4038291,0.123101
23,-1.3744658,-1.5395652,"('insincere', 'sincere')",-2.19036,-2.2236934,5.2278123,5.4760375,0.5543288,0.5709263,-0.0165975
22,-1.3621212,-1.465952,"('untrustworthy', 'trustworthy')",-1.8491282,-1.8693169,-1.2343632,-1.2263337,-1.4818708,-1.5205342,0.0386634
51,-1.344456,-1.2181194,"('uneducated', 'educated')",-1.1821009,-1.1180389,0.1362349,0.29261953,-0.796774,-0.6811796,-0.1155944
42,-1.3247759,-1.4491196,"('unreliable', 'reliable')",-0.3911266,-0.44681364,-3.0170164,-3.0816474,-1.5776396,-1.6591935,0.0815539
14,-1.3144101,-1.352094,"('antisocial', 'social')",-1.6472232,-1.6002368,-0.023544192,-0.22351497,-0.9950592,-1.0586153,0.0635561
85,1.2238415,1.102897,"('insignificant', 'prestigious')",1.6372787,1.5202448,0.0058976673,-0.21323621,0.9556727,0.8033018,0.1523709
71,1.1887001,1.2021141,"('diffident', 'self-confident')",0.89342165,0.9469623,0.41683725,0.39256647,0.8329864,0.8472143,-0.0142279
55,-1.1732489,-1.3315945,"('incompetent', 'clever')",-2.188116,-2.2394505,0.39207873,0.28249654,-0.9897621,-1.0961828,0.1064207
60,-1.1525549,-1.1791247,"('inefficient', 'efficient')",-1.9679416,-1.9401089,-0.038125493,0.069752224,-1.052874,-1.0164938,-0.0363802
7,-1.0319904,-1.0816255,"('insensitive', 'sensitive')",-1.958594,-1.9085212,0.22506742,0.26450735,-0.921839,-0.9085464,-0.0132926
76,-1.0022026,-1.0194236,"('anxious', 'daring')",-1.3392191,-1.2969398,-0.16160527,-0.10787541,-0.8343423,-0.8080796,-0.0262627
28,-0.98679644,-1.2375106,"('disloyal', 'loyal')",-1.3576674,-1.484531,0.7026408,0.72193766,-0.5472744,-0.6667013,0.1194269
53,-0.9705246,-0.94202423,"('uncreative', 'creative')",-1.331681,-1.3020926,0.39540294,0.33323637,-0.6356009,-0.6369601,0.0013592
21,-0.96919405,-1.1734722,"('immoral', 'moral')",-2.1407928,-2.1528544,-0.45148513,-0.5950033,-1.1871573,-1.30711,0.1199527
75,0.9377452,1.0018082,"('meek', 'impulsive')",1.5095314,1.5641323,-0.4091663,-0.49753267,0.6793701,0.6894693,-0.0100992
32,-0.9130645,-0.8605294,"('unkind', 'kind')",-1.8872508,-1.8528056,0.3840727,0.36638027,-0.8054142,-0.7823183,-0.0230959
65,-0.9031984,-1.12119,"('insecure', 'secure')",-1.8184841,-1.9183706,-0.20139837,-0.14552453,-0.9743603,-1.061695,0.0873347
27,-0.87667716,-0.6641064,"('hardhearted', 'softhearted')",-1.3945123,-1.2833283,0.8806238,1.0122733,-0.4635219,-0.3117205,-0.1518014
11,-0.8641464,-0.9944899,"('unhelpful', 'helpful')",-2.3471766,-2.3417766,1.6797814,1.7359204,-0.5105139,-0.5334487,0.0229348
1,-0.8605529,-0.84063905,"('unfriendly', 'friendly')",-1.5124185,-1.507204,0.94738835,0.9368758,-0.4751944,-0.4703225,-0.0048719
77,-0.8548412,-0.934376,"('unmotivated', 'motivated')",-0.2626823,-0.17316805,-0.6820888,-0.72075695,-0.5998708,-0.6094337,0.0095629
52,0.8174352,0.6113404,"('irrational', 'rational')",0.019506022,-0.16383418,0.18789124,-0.07923728,0.3416108,0.1227563,0.2188545
47,-0.80186015,-0.88883084,"('stupid', 'smart')",-1.1435193,-1.1088128,4.755362,4.8893833,0.9366608,0.9639132,-0.0272524
20,-0.7980753,-0.7365537,"('rough', 'thoughtful')",-0.53262186,-0.49159718,0.95180076,1.0208292,-0.1262988,-0.0691072,-0.0571916
24,-0.7616844,-0.75276756,"('dishonest', 'honest')",-2.481858,-2.5296452,0.26667047,0.38915756,-0.9922907,-0.9644184,-0.0278723
62,-0.7403741,-0.82340556,"('incompetent', 'brilliant')",-1.7134328,-1.6626054,0.46466818,0.4708052,-0.6630462,-0.6717353,0.0086891
44,0.7321815,0.7301209,"('prejudiced', 'unprejudiced')",1.0619235,0.9564918,-1.3312254,-1.4177128,0.1542932,0.0896333,0.0646599
15,0.72921586,0.5778321,"('boring', 'funny')",0.0012531821,-0.10503824,-0.16358082,-0.24005061,0.1889627,0.0775811,0.1113816
12,-0.6735378,-0.7401892,"('unsupportive', 'supportive')",-1.6257315,-1.6038687,-1.9386456,-2.0523925,-1.4126383,-1.4654835,0.0528452
81,-0.67013496,-0.82872295,"('submissive', 'aggressive')",-0.94739145,-1.0232292,-0.5105294,-0.61917454,-0.7093519,-0.8237089,0.114357
78,-0.66995597,-0.68969154,"('nonresilient', 'resilient')",-0.098514006,0.06005058,0.45453802,0.57233846,-0.104644,-0.0191008,-0.0855432
36,0.6640784,0.40049887,"('hostile', 'amicable')",0.7099397,0.3964151,-0.1286954,-0.34506163,0.4151076,0.1506175,0.2644901
40,-0.66248626,-0.5469811,"('stingy', 'generous')",-0.75002074,-0.7266407,-1.9662884,-2.0393202,-1.1262652,-1.104314,-0.0219512
58,-0.64089525,-0.5916183,"('undiscriminating', 'discriminating')",-1.4473226,-1.3590835,-0.13770998,-0.06740227,-0.7419759,-0.6727014,-0.0692745
49,-0.6339654,-0.6653268,"('unable', 'able')",-0.72918576,-0.6867118,-0.3775502,-0.23240447,-0.5802338,-0.5281477,-0.0520861
59,0.61051226,0.5931114,"('foolish', 'wise')",1.0789168,1.028961,-0.014257469,0.0031853202,0.5583905,0.5417525,0.016638
29,-0.6083092,-0.48839307,"('unfair', 'fair')",-0.12038878,-0.033324733,-0.37022895,-0.42056695,-0.366309,-0.3140949,-0.0522141
74,-0.5903392,-0.70557815,"('undedicated', 'dedicated')",-0.6861689,-0.68115467,-0.17041163,-0.29895198,-0.4823066,-0.5618949,0.0795883
68,-0.5364611,-0.3798243,"('dependent', 'independent')",-0.21243514,-0.14475134,-0.8220724,-0.65026706,-0.5236562,-0.3916142,-0.132042
38,-0.52771115,-0.62722194,"('untruthful', 'truthful')",-0.9989155,-1.0397227,-0.13818677,-0.21311569,-0.5549378,-0.6266868,0.071749
48,-0.5125777,-0.4324047,"('unintelligent', 'intelligent')",-1.9386401,-1.8356665,0.5757112,0.8154757,-0.6251689,-0.4841985,-0.1409704
72,-0.48930943,-0.37055156,"('unambitious', 'ambitious')",-1.023248,-0.9302215,-0.6983377,-0.50458026,-0.736965,-0.6017844,-0.1351806
67,0.4863597,0.6091138,"('doubtful', 'determined')",1.4829736,1.5080014,-0.2382793,-0.3241048,0.577018,0.5976702,-0.0206522
31,0.4789368,0.4515499,"('evil', 'good')",0.5404539,0.4758051,-0.9868011,-1.1344889,0.0108632,-0.0690446,0.0799078
66,0.4254626,0.48712948,"('inactive', 'active')",0.5095515,0.50282514,0.41064477,0.5006343,0.448553,0.496863,-0.04831
34,-0.39579865,-0.39591995,"('mean', 'honorable')",-1.3129027,-1.2272503,5.021432,5.3427377,1.1042435,1.2398558,-0.1356123
79,0.37478405,0.28358415,"('wavering', 'unwavering')",0.9171684,0.7968616,-0.45712358,-0.3635106,0.2782763,0.2389784,0.0392979
73,0.37223125,0.4546053,"('helpless', 'self-reliant')",1.2755852,1.3050919,-3.1397986,-3.1570508,-0.4973274,-0.4657845,-0.0315429
54,0.36556265,0.3329325,"('incapable', 'capable')",0.6213802,0.55968225,0.7985258,0.8481762,0.5951562,0.5802636,0.0148926
88,-0.36176413,-0.49649298,"('low', 'eminent')",-0.41147646,-0.49456915,-0.554329,-0.5629293,-0.4425232,-0.5179971,0.0754739
26,-0.3542884,-0.2803882,"('hardhearted', 'benevolent')",-0.2646441,-0.2667379,1.2128165,1.1939907,0.1979613,0.2156215,-0.0176602
80,-0.32216522,-0.28525543,"('dominated', 'dominating')",-0.36691344,-0.29377115,-0.7463934,-0.73059857,-0.4784907,-0.4365417,-0.041949
64,-0.32074454,-0.44944993,"('shy', 'confident')",-0.14840241,-0.24980882,-5.8073306,-6.189533,-2.0921593,-2.296264,0.2041047
19,-0.3118708,-0.32574213,"('inhospitable', 'hospitable')",-0.11306396,-0.10007695,-0.5653607,-0.5048516,-0.3300985,-0.3102235,-0.019875
61,-0.30083245,-0.39688066,"('illogical', 'logical')",-1.3823252,-1.4396296,0.6383912,0.52506965,-0.3482555,-0.4371468,0.0888913
16,0.28316,0.23925352,"('unpopular', 'popular')",0.045853004,-0.035204895,0.3253032,0.1975713,0.2181054,0.1338733,0.0842321
84,0.24555068,0.20450784,"('inferior', 'superior')",0.44194078,0.38720056,1.0626371,1.1674606,0.5833762,0.5863897,-0.0030135
50,-0.238859,-0.3822088,"('clumsy', 'skillful')",0.7989027,0.7285076,0.19324689,0.31894398,0.2510969,0.2217476,0.0293493
37,-0.23262006,-0.27110717,"('fake', 'genuine')",-0.4995775,-0.5404256,-0.19177905,-0.018198788,-0.3079922,-0.2765772,-0.031415
9,-0.21362558,-0.20932262,"('unaffectionate', 'caring')",-1.1015558,-1.0989242,1.091893,1.1419991,-0.0744295,-0.0554159,-0.0190136
18,-0.2073177,-0.108875126,"('disagreeable', 'welcoming')",-1.086174,-1.1010653,-0.7127619,-0.7223374,-0.6687512,-0.6440926,-0.0246586
8,0.17889419,0.21785806,"('unaffectionate', 'affectionate')",-0.9995111,-1.0873911,0.4668997,0.48693034,-0.1179058,-0.1275342,0.0096284
2,0.15258889,0.14329977,"('unlikable', 'likable')",-0.23119849,-0.25332153,0.81892776,0.5715941,0.2467727,0.1538574,0.0929153
6,0.15026288,0.10387014,"('distant', 'open')",0.16910845,0.120058395,-0.6955593,-0.71531,-0.125396,-0.1637938,0.0383978
4,-0.13805357,-0.2056669,"('disliked', 'liked')",0.64477247,0.547851,-6.515819,-6.9686375,-2.0030333,-2.2088178,0.2057845
5,0.1364496,0.19413628,"('distant', 'outgoing')",0.5109204,0.47234184,-0.69941634,-0.6997423,-0.0173488,-0.0110881,-0.0062607
17,-0.12812656,-0.2980921,"('nasty', 'nice')",-0.51682097,-0.5579043,-0.80049753,-0.7465441,-0.481815,-0.5341802,0.0523652
87,0.11361645,0.06404694,"('unsuccessful', 'successful')",0.1405746,0.09056993,1.0585918,1.0804589,0.4375943,0.4116919,0.0259024
39,0.10269889,-0.005919181,"('exploitative', 'cooperative')",-0.535527,-0.6611731,0.39564922,0.31384146,-0.012393,-0.1177503,0.1053573
