,amgen_male,amgen_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-1.2754126,-1.8289621,"('unsympathetic', 'sympathetic')",-0.12343034,-0.27368563,-0.6994215,-1.0513239,0.3519024
78,-1.2412823,-1.1384158,"('nonresilient', 'resilient')",0.16651873,0.19970097,-0.5373818,-0.4693574,-0.0680244
1,-1.2038674,-1.1893362,"('unfriendly', 'friendly')",1.2135203,1.383892,0.0048264,0.0972779,-0.0924515
57,-1.1675016,-1.6419932,"('unimaginative', 'imaginative')",-2.1702178,-2.2804701,-1.6688597,-1.9612317,0.292372
53,-1.1243168,-1.4504843,"('uncreative', 'creative')",0.5969077,0.6873344,-0.2637046,-0.3815749,0.1178703
45,-1.0052772,-1.4263705,"('incompetent', 'competent')",-0.10765225,-0.4283474,-0.5564647,-0.927359,0.3708943
31,-1.0021008,-0.70844156,"('evil', 'good')",-1.3827909,-1.4863265,-1.1924459,-1.097384,-0.0950619
86,-0.9976988,-1.1993201,"('uninfluential', 'influential')",0.09909995,-0.12828067,-0.4492994,-0.6638004,0.214501
2,0.9625807,0.5851573,"('unlikable', 'likable')",0.92686415,0.8387348,0.9447224,0.711946,0.2327764
6,-0.9460008,-0.7055108,"('distant', 'open')",-0.4386005,-0.4266099,-0.6923007,-0.5660604,-0.1262403
0,-0.943746,-1.378284,"('unsociable', 'sociable')",0.062367518,-0.19877315,-0.4406892,-0.7885286,0.3478394
77,-0.90661836,-0.6947515,"('unmotivated', 'motivated')",-0.96742207,-0.99651235,-0.9370202,-0.845632,-0.0913882
72,-0.88030857,-0.76308984,"('unambitious', 'ambitious')",-1.2962204,-1.128935,-1.0882645,-0.9460124,-0.1422521
46,-0.7881605,-1.1254634,"('uncompetitive', 'competitive')",-0.13967977,-0.20460929,-0.4639201,-0.6650363,0.2011162
73,0.7487805,1.0452551,"('helpless', 'self-reliant')",-3.1223323,-2.844199,-1.1867759,-0.8994719,-0.287304
17,-0.7484359,-0.7927264,"('nasty', 'nice')",-0.3273576,-0.5339423,-0.5378968,-0.6633344,0.1254376
84,0.7376342,0.81139094,"('inferior', 'superior')",0.85375017,0.94779354,0.7956922,0.8795922,-0.0839
40,-0.7347097,-0.4684541,"('stingy', 'generous')",-1.9346031,-1.7476448,-1.3346564,-1.1080494,-0.226607
9,-0.73380554,-0.8105462,"('unaffectionate', 'caring')",0.63110214,0.5598265,-0.0513517,-0.1253599,0.0740082
12,-0.7219553,-0.9888342,"('unsupportive', 'supportive')",-1.5948718,-1.8218985,-1.1584135,-1.4053663,0.2469528
