,newmont_male,newmont_female,tuple,corp_male,corp_female,average_male,average_female,male-female
73,2.2273245,2.226524,"('helpless', 'self-reliant')",-2.9808419,-2.6987345,-0.3767587,-0.2361052,-0.1406535
1,-2.0872803,-2.2812936,"('unfriendly', 'friendly')",1.4499071,1.5036656,-0.3186866,-0.388814,0.0701274
86,-1.8713179,-2.2329185,"('uninfluential', 'influential')",-0.26822293,-0.76927835,-1.0697703,-1.5010984,0.4313281
31,-1.4976447,-2.0599794,"('evil', 'good')",-0.8794316,-0.91787726,-1.1885381,-1.4889283,0.3003902
8,-1.3514642,-1.4611647,"('unaffectionate', 'affectionate')",0.60769796,0.78415525,-0.3718831,-0.3385047,-0.0333784
76,1.3228385,1.258377,"('anxious', 'daring')",0.04145049,-0.04256232,0.6821445,0.6079073,0.0742372
48,-1.3175194,-1.1607312,"('unintelligent', 'intelligent')",0.86251837,0.95161206,-0.2275005,-0.1045596,-0.1229409
53,-1.2812378,-1.3219799,"('uncreative', 'creative')",0.30863884,0.29303557,-0.4862995,-0.5144721,0.0281726
42,1.2733761,0.95575684,"('unreliable', 'reliable')",-2.4858353,-2.6364236,-0.6062296,-0.8403333,0.2341037
25,-1.1727331,-0.9283726,"('egoistic', 'altruistic')",1.1826212,1.2090818,0.0049441,0.1403546,-0.1354105
0,-1.142426,-1.5674472,"('unsociable', 'sociable')",0.07653165,-0.4469826,-0.5329472,-1.0072149,0.4742677
36,-1.0451642,-1.043682,"('hostile', 'amicable')",-0.42107767,-0.29182628,-0.7331209,-0.6677541,-0.0653668
77,-1.0300484,-1.0740234,"('unmotivated', 'motivated')",-0.6687872,-0.98236984,-0.8494178,-1.0281966,0.1787788
88,-1.0154161,-1.1312855,"('low', 'eminent')",-0.5940962,-0.53472334,-0.8047562,-0.8330045,0.0282483
32,-0.9917069,-1.1430614,"('unkind', 'kind')",0.53795373,0.56198937,-0.2268766,-0.290536,0.0636594
9,-0.98574626,-0.8587759,"('unaffectionate', 'caring')",1.2012625,1.3790622,0.1077581,0.2601431,-0.152385
49,-0.9773587,-0.7047586,"('unable', 'able')",-0.44519132,-0.20434383,-0.711275,-0.4545512,-0.2567238
28,-0.9691763,-0.68682027,"('disloyal', 'loyal')",0.83755815,0.9985104,-0.0658091,0.1558451,-0.2216542
57,-0.9666288,-1.3805814,"('unimaginative', 'imaginative')",-2.7530909,-3.2284806,-1.8598598,-2.3045311,0.4446713
78,-0.9170433,-0.5976329,"('nonresilient', 'resilient')",0.37846258,0.3801947,-0.2692904,-0.1087191,-0.1605713
26,-0.9023409,-1.2577991,"('hardhearted', 'benevolent')",1.5722438,1.3487407,0.3349515,0.0454708,0.2894807
44,0.8920513,0.7555252,"('prejudiced', 'unprejudiced')",-1.5596699,-1.6111289,-0.3338093,-0.4278019,0.0939926
19,-0.80654305,-0.8565259,"('inhospitable', 'hospitable')",-0.6662719,-0.48686898,-0.7364075,-0.6716974,-0.0647101
6,-0.7871575,-0.71535015,"('distant', 'open')",-0.33143544,-0.18332651,-0.5592965,-0.4493383,-0.1099582
27,-0.77142537,-1.1874768,"('hardhearted', 'softhearted')",1.312301,1.1314642,0.2704378,-0.0280063,0.2984441
15,-0.7117456,-1.1121429,"('boring', 'funny')",-0.029738309,0.11749625,-0.370742,-0.4973233,0.1265813
